scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Actinidia liangguangensis,Á½¹ãâ¨ºïÌÒ,4,5,9,11,Actinidiaceae,Actinidia,WD
Actinidia macrosperma,´ó×Ñâ¨ºïÌÒ,4,5,9,10,Actinidiaceae,Actinidia,WD
Actinidia melliana,ÃÀÀöâ¨ºïÌÒ,5,6,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis,ºì¾¥â¨ºïÌÒ,4,5,9,11,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis var. coriacea,¸ïÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia trichogyna,Ã«Èïâ¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia valvata,¶Ôİàâ¨ºïÌÒ,5,6,8,9,Actinidiaceae,Actinidia,WD
Actinodaphne acuminata,ÄÏÍ¶»ÆÈâéª,2,3,NA,NA,Lauraceae,Actinodaphne,WD
Actinodaphne koshepangii,¹ã¶«»ÆÈâéª,11,11,NA,NA,Lauraceae,Actinodaphne,WD
Actinodaphne lecomtei,ÁøÒ¶»ÆÈâéª,8,9,10,11,Lauraceae,Actinodaphne,WD
Actinodaphne pilosa,Ã«»ÆÈâéª,8,12,1,3,Lauraceae,Actinodaphne,WD
Actinoschoenus chinensis,ÖĞ»ªĞÇËëÉ¯,9,10,4,5,Cyperaceae,Actinoschoenus,CB
Actinoschoenus thouarsii,ĞÇËëÉ¯,9,10,4,5,Cyperaceae,NA,NA
Actinoscirpus grossus,´óË‘²İ,7,10,7,10,Cyperaceae,Actinoscirpus,CB
Actinostemma tenerum,ºĞ×Ó²İ,7,11,7,11,Cucurbitaceae,Actinostemma,CB
Adenanthera microsperma,º£ºì¶¹,4,7,7,10,Fabaceae,NA,NA
Adenanthera pavonina var. microsperma,Ğ¡×Ñº£ºì¶¹,4,7,7,10,Fabaceae,Adenanthera,WD
Adenia heterophylla,ÒìÒ¶İôÁ«,1,7,8,10,Passifloraceae,Adenia,CB
Adenophora liliifolia,ĞÂ½®É³²Î,7,8,NA,NA,Campanulaceae,Adenophora,CB
Adenophora morrisonensis,Ì¨ÍåÉ³²Î,7,11,9,11,Campanulaceae,Adenophora,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,7,11,NA,NA,Campanulaceae,Adenophora,CB
Adenophora sinensis,ÖĞ»ªÉ³²Î,9,11,NA,NA,Campanulaceae,Adenophora,CB
Adenophora stricta,´¨Î÷É³²Î,8,10,NA,NA,Campanulaceae,Adenophora,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,9,NA,NA,Campanulaceae,Adenophora,CB
Adenosma glutinosum,Ã«÷êÏã,7,10,7,10,Scrophulariaceae,Adenosma,CB
Adenosma indianum,Çò»¨Ã«ÉäÏã,9,11,9,11,Scrophulariaceae,Adenosma,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Asteraceae,Adenostemma,CB
Adina pilulifera,Ë®ÍÅ»¨,6,7,NA,NA,Rubiaceae,Adina,WD
Adina rubella,Ï¸Ò¶Ë®ÍÅ»¨,5,12,5,12,Rubiaceae,Adina,WD
Adinandra bockiana,´¨ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adinandra bockiana var. acutifolia,¼âİà´¨ÑîÍ©,6,8,9,11,Theaceae,Adinandra,WD
Adinandra elegans,³¤¹£ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma,Á½¹ãÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. jubata,³¤Ã«ÑîÍ©,5,6,NA,NA,Theaceae,Adinandra,WD
Adinandra glischroloma var. macrosepala,´óİàÑîÍ©,5,7,7,9,Theaceae,Adinandra,WD
Adinandra hainanensis,º£ÄÏÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra hirta,´ÖÃ«ÑîÍ©,4,5,7,8,Theaceae,Adinandra,WD
Adinandra millettii,ÑîÍ©,5,7,8,10,Theaceae,Adinandra,WD
Adinandra nitida,ÁÁÒ¶ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Aegiceras corniculatum,À¯Öò¹û,12,2,10,12,Myrsinaceae,Aegiceras,WD
Aeginetia indica,Ò°İÔ,8,10,8,10,Orobanchaceae,Aeginetia,CB
Aerva glabrata,ÉÙÃ«°×»¨ÜÈ,4,10,4,10,Amaranthaceae,Aerva,CB
Aerva sanguinolenta,°×»¨ÜÈ,4,12,4,12,Amaranthaceae,Aerva,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,10,3,12,5,Gesneriaceae,Aeschynanthus,WD
Aesculus chinensis var. wilsonii,ÌìÊ¦Àõ,4,5,9,10,Hippocastanaceae,Aesculus,WD
Afgekia filipes,ÖíÑü¶¹,7,8,9,11,Fabaceae,Afgekia,WD
Aganosma marginata,Ïã»¨ÌÙ,3,9,7,2,Apocynaceae,Aganosma,WD
Agastache rugosa,Ş½Ïã,6,9,9,11,Lamiaceae,Agastache,CB
Aglaia lawii,ÍûÚÓÑÂÄ¦,5,12,1,12,Meliaceae,Aglaia,WD
Aglaia odorata,Ã××ĞÀ¼,5,12,7,3,Meliaceae,Aglaia,WD
Aglaonema modestum,¹ã¶«ÍòÄêÇà,5,5,10,11,Araceae,NA,NA
Agrimonia eupatoria,,6,6,7,7,Rosaceae,NA,NA
Agrimonia nipponica var. occidentalis,Ğ¡»¨ÁúÑ¿²İ,8,11,8,11,Rosaceae,Agrimonia,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Rosaceae,Agrimonia,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,7,12,7,12,Rosaceae,Agrimonia,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,6,11,6,11,Poaceae,Agrostis,CB
Agrostis infirma,ÓñÉ½¼ô¹ÉÓ±,NA,NA,11,11,Poaceae,Agrostis,CB
Aidia canthioides,Ïãéª,4,6,5,2,Rubiaceae,Aidia,WD
Aidia cochinchinensis,ÜçÊ÷,3,6,5,2,Rubiaceae,Aidia,WD
Aidia henryi,ºàÊÏÏãéª,3,6,5,2,Rubiaceae,NA,NA
Aidia oxyodonta,¼âİàÜçÊ÷,4,9,5,10,Rubiaceae,Aidia,WD
Aidia pycnantha,¶àÃ«Üç²İÊ÷,3,9,4,12,Rubiaceae,Aidia,WD
Aidia racemosa,×Ü×´Üç²İÊ÷,NA,NA,NA,NA,Rubiaceae,NA,NA
Ailanthus altissima,³ô´»,4,5,8,10,Simaroubaceae,Ailanthus,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ailanthus fordii,³£ÂÌ³ô´»,NA,NA,12,4,Simaroubaceae,Ailanthus,WD
Ailanthus triphysa,ÁëÄÏ³ô´»,10,11,1,3,Simaroubaceae,Ailanthus,WD
Ainsliaea caesia,À¶ÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,11,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea gracilis,ÏËÖ¦ÍÃ¶ù·ç,9,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,7,8,7,8,Asteraceae,Ainsliaea,CB
Ainsliaea macroclinidioides,µÆÌ¨ÍÃ¶ù·ç,8,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea plantaginifolia,³µÇ°ÍÃ¶ù·ç,8,10,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea ramosa,Á«ãûÍÃ¶ù·ç,5,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea spicata,Ï¸ËëÍÃ¶ù·ç,4,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea trinervis,ÈıÂöÍÃ¶ù·ç,7,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea walkeri,»ªÄÏÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ajuga decumbens,½ğ´¯Ğ¡²İ,3,7,5,11,Lamiaceae,Ajuga,CB
Ajuga decumbens var. oblancifolia,½ğ´¯Ğ¡²İÏÁÒ¶±äÖÖ,NA,NA,NA,NA,Lamiaceae,Ajuga,CB
Ajuga macrosperma,´ó×Ñ½î¹Ç²İ,1,3,3,5,Lamiaceae,Ajuga,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,4,6,5,7,Lamiaceae,Ajuga,CB
Akebia longeracemosa,³¤ĞòÄ¾Í¨,3,4,8,8,Lardizabalaceae,Akebia,WD
Akebia quinata,Ä¾Í¨,4,5,6,8,Lardizabalaceae,Akebia,WD
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,4,5,7,8,Lardizabalaceae,Akebia,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,Lardizabalaceae,Akebia,WD
Alangium barbatum,÷×Ã«°Ë½Ç·ã,5,6,7,9,Alangiaceae,Alangium,WD
Alangium chinense,°Ë½Ç·ã,5,6,9,11,Alangiaceae,Alangium,WD
Alangium chinense subsp. strigosum,·üÃ«°Ë½Ç·ã,6,7,8,9,Alangiaceae,Alangium,WD
Alangium faberi,Ğ¡»¨°Ë½Ç·ã,6,8,9,11,Alangiaceae,Alangium,WD
Alangium faberi var. heterophyllum,ÒìÒ¶°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium faberi var. platyphyllum,À«Ò¶°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium kurzii,Ã«°Ë½Ç·ã,5,6,9,11,Alangiaceae,Alangium,WD
Alangium kurzii var. handelii,ÔÆÉ½°Ë½Ç·ã,5,5,8,8,Alangiaceae,Alangium,WD
Alangium kwangsiense,¹ãÎ÷°Ë½Ç·ã,5,6,8,9,Alangiaceae,Alangium,WD
Alangium platanifolium,,3,7,7,9,Alangiaceae,NA,NA
Alangium salviifolium,ÍÁÌ³Ê÷,2,4,6,8,Alangiaceae,Alangium,WD
Albizia chinensis,éºÊ÷,3,5,6,12,Fabaceae,Albizia,WD
Albizia corniculata,ÌìÏãÌÙ,4,7,8,11,Fabaceae,Albizia,WD
Albizia garrettii,»ÆÃ«ºÏ»¶,5,5,8,10,Fabaceae,Albizia,WD
Albizia odoratissima,ÏãºÏ»¶,4,7,6,10,Fabaceae,Albizia,WD
Albizia procera,»Æ¶¹Ê÷,5,9,9,2,Fabaceae,Albizia,WD
Alcea rosea,Êñ¿û,4,8,NA,NA,Malvaceae,Alcea,CB
Alchornea davidii,É½Âé¸Ë,4,5,6,7,Euphorbiaceae,Alchornea,WD
Alchornea rugosa,ÓğÂöÉ½Âé¸Ë,1,12,1,12,Euphorbiaceae,Alchornea,WD
Alchornea tiliifolia,é²Ò¶É½Âé¸Ë,4,6,6,7,Euphorbiaceae,Alchornea,WD
Alchornea trewioides,ºì±³É½Âé¸Ë,3,5,6,8,Euphorbiaceae,Alchornea,WD
Alectra arvensis,ºÚİô,NA,NA,NA,NA,Scrophulariaceae,Alectra,CB
Aletris scopulorum,¶Ì±ú·ÛÌõ¶ù²Ë,1,4,4,4,Liliaceae,Aletris,CB
Aletris spicata,·ÛÌõ¶ù²Ë,4,5,6,7,Liliaceae,Aletris,CB
Aleurites moluccanus,Ê¯Àõ,3,11,3,11,Euphorbiaceae,Aleurites,WD
Alisma canaliculatum,Õ­Ò¶ÔóĞº,5,10,5,10,Alismataceae,Alisma,CB
Alleizettella leucocarpa,°×¹ûÏãéª,4,6,6,2,Rubiaceae,Alleizettella,WD
Allium chinense,ËŠÍ·,10,12,NA,NA,Liliaceae,Allium,CB
Allium hookeri,¿íÒ¶¾Â,8,12,8,12,Liliaceae,Allium,CB
Allium thunbergii,ÇòĞò¾Â,8,10,8,10,Liliaceae,Allium,CB
Allium tuberosum,¾Â,5,10,5,10,Liliaceae,Allium,CB
Allium wallichii,¶àĞÇ¾Â,6,9,NA,NA,Liliaceae,Allium,CB
Allomorphia balansae,ÒìĞÎÄ¾,6,9,10,12,Melastomataceae,Allomorphia,WD
Allophylus viridis,ÒìÄ¾»¼,8,9,11,11,Sapindaceae,Allophylus,WD
Alloteropsis semialata,Ã«Ó±²İ,2,8,2,8,Poaceae,Alloteropsis,CB
Alniphyllum fortunei,³àÑîÒ¶,4,7,8,10,Styracaceae,Alniphyllum,WD
Alnus trabeculosa,½­ÄÏèçÄ¾,5,6,7,8,Betulaceae,Alnus,WD
Alocasia cucullata,¼âÎ²Óó,5,5,NA,NA,Araceae,Alocasia,CB
Alocasia odora,º£Óó,1,12,NA,NA,Araceae,Alocasia,CB
Alpinia blepharocalyx,ÔÆÄÏ²İŞ¢,3,7,4,12,Zingiberaceae,Alpinia,CB
Alpinia blepharocalyx var. glabrior,¹âÒ¶ÔÆÄÏ²İŞ¢,3,7,4,11,Zingiberaceae,Alpinia,CB
Alpinia brevis,Ğ¡»¨É½½ª,8,8,10,12,Zingiberaceae,Alpinia,CB
Alpinia calcarata,¾à»¨É½½ª,5,6,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia conghuaensis,´Ó»¯É½½ª,NA,NA,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia galanga,ºì¶¹Ş¢,8,8,9,11,Zingiberaceae,Alpinia,CB
Alpinia graminifolia,ÏÁÒ¶É½½ª,5,6,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia hainanensis,²İ¶¹Ş¢,4,6,5,8,Zingiberaceae,Alpinia,CB
Alpinia intermedia,¹âÒ¶É½½ª,6,6,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia japonica,É½½ª,4,8,7,2,Zingiberaceae,Alpinia,CB
Alpinia jianganfeng,¼ı¸Ë·ç,4,6,6,11,Zingiberaceae,NA,NA
Alpinia kwangsiensis,³¤±úÉ½½ª,4,8,4,8,Zingiberaceae,Alpinia,CB
Alpinia maclurei,¼ÙÒæÖÇ,3,7,4,10,Zingiberaceae,Alpinia,CB
Alpinia oblongifolia,»ªÉ½½ª,5,7,6,12,Zingiberaceae,Alpinia,CB
Alpinia officinarum,¸ßÁ¼½ª,4,9,5,11,Zingiberaceae,Alpinia,CB
Alpinia ovata,ÂÑ´½É½½ª,NA,NA,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia oxyphylla,ÒæÖÇ,3,5,4,9,Zingiberaceae,Alpinia,CB
Alpinia pumila,»¨Ò¶É½½ª,4,6,6,11,Zingiberaceae,Alpinia,CB
Alpinia shimadae,ÃÜËëÉ½½ª,5,5,7,7,Zingiberaceae,Alpinia,CB
Alpinia stachyodes,ÃÜ°úÉ½½ª,6,8,6,8,Zingiberaceae,Alpinia,CB
Alpinia stachyodes var. yangchunensis,Ñô´ºÉ½½ª,NA,NA,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia strobiliformis var. glabra,¹âÒ¶ÇòËëÉ½½ª,NA,NA,NA,NA,Zingiberaceae,Alpinia,CB
Alpinia zerumbet,ÑŞÉ½½ª,4,6,7,10,Zingiberaceae,Alpinia,CB
Alstonia rostrata,Åè¼ÜÊ÷,4,7,8,12,Apocynaceae,Alstonia,WD
Altingia chinensis,Ş¦Ê÷,3,4,NA,NA,Hamamelidaceae,Altingia,WD
Altingia gracilipes,Ï¸±úŞ¦Ê÷,4,5,NA,NA,Hamamelidaceae,Altingia,WD
Altingia multinervis,³àË®Ş¦Ê÷,3,5,6,8,Hamamelidaceae,Altingia,WD
Altingia obovata,º£ÄÏŞ¦Ê÷,3,3,NA,NA,Hamamelidaceae,Altingia,WD
Altingia siamensis,Á­¹âŞ¦Ê÷,4,6,11,12,Hamamelidaceae,Altingia,WD
Alysicarpus vaginalis,Á´¼Ô¶¹,9,9,9,11,Fabaceae,Alysicarpus,CB
Alyxia levinei,½îÌÙ,3,8,8,6,Apocynaceae,Alyxia,WD
Alyxia odorata,º£ÄÏÁ´ÖéÌÙ,8,10,12,4,Apocynaceae,Alyxia,WD
Alyxia siamensis,³¤ĞòÁ´ÖéÌÙ,5,7,7,12,Apocynaceae,Alyxia,WD
Alyxia sinensis,Á´ÖéÌÙ,4,9,5,11,Apocynaceae,Alyxia,WD
Amaranthus viridis,Öå¹ûÜÈ,6,10,NA,NA,Amaranthaceae,Amaranthus,CB
Ambroma augusta,°ºÌìÁ«,3,8,NA,NA,Sterculiaceae,Ambroma,WD
Amischotolype hispida,´©ÇÊ»¨,7,8,9,10,Commelinaceae,Amischotolype,CB
Amitostigma gracile,ÎŞÖùÀ¼,6,7,9,10,Orchidaceae,Amitostigma,CB
Ammannia auriculata,¶ú»ùË®ÜÈ,8,10,8,12,Lythraceae,Ammannia,CB
Ammannia baccifera,Ë®ÜÈ²Ë,11,3,11,3,Lythraceae,Ammannia,CB
Amomum austrosinense,ÈıÒ¶¶¹Ş¢,6,6,NA,NA,Zingiberaceae,Amomum,CB
Amomum longiligulare,º£ÄÏÉ°ÈÊ,4,6,6,9,Zingiberaceae,Amomum,CB
Amomum muricarpum,ğà¹û¶¹Ş¢,5,9,6,12,Zingiberaceae,Amomum,CB
Amomum villosum,É°ÈÊ,5,6,8,9,Zingiberaceae,Amomum,CB
Amorphophallus dunnii,ÄÏÉß°ô,3,4,7,8,Araceae,Amorphophallus,CB
Amorphophallus konjac,Ä¥Óó,4,4,NA,NA,Araceae,Amorphophallus,CB
Amorphophallus paeoniifolius,ğà±úÄ¥Óó,4,5,10,11,Araceae,Amorphophallus,CB
Amorphophallus variabilis,Ò°Ä¥Óó,7,7,NA,NA,Araceae,Amorphophallus,CB
Ampelopsis cantoniensis,¹ã¶«ÉßÆÏÌÑ,4,7,8,11,Vitaceae,Ampelopsis,WD
Ampelopsis chaffanjonii,ÓğÒ¶ÉßÆÏÌÑ,5,7,7,9,Vitaceae,Ampelopsis,WD
Ampelopsis delavayana,ÈıÁÑÉßÆÏÌÑ,6,8,9,11,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa,ÉßÆÏÌÑ,4,8,7,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. brevipedunculata,¶«±±ÉßÆÏÌÑ,7,8,9,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. hancei,¹âÒ¶ÉßÆÏÌÑ,4,6,8,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. heterophylla,ÒìÒ¶ÉßÆÏÌÑ,4,6,7,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. kulingensis,êôÁëÉßÆÏÌÑ,5,7,8,9,Vitaceae,Ampelopsis,WD
