scientific name,genus name,family name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Aconitum macrorhynchum,NA,Ranunculaceae,Ï¸Ò¶ÎÚÍ·,8,9,NA,NA,CB
Aconitum monanthum,Aconitum,Ranunculaceae,¸ßÉ½ÎÚÍ·,7,8,8,9,CB
Aconitum paniculigerum,Aconitum,Ranunculaceae,Ô²×¶ÎÚÍ·,8,9,NA,NA,CB
Aconitum raddeanum,Aconitum,Ranunculaceae,´ó°úÎÚÍ·,7,8,NA,NA,CB
Aconitum sczukinii,NA,Ranunculaceae,¿íÒ¶ÂûÎÚÍ·,8,9,NA,NA,CB
Aconitum tschangbaischanense,NA,Ranunculaceae,³¤°×ÎÚÍ·,NA,NA,NA,NA,CB
Aconitum villosum,NA,Ranunculaceae,°×Ã«ÎÚÍ·,8,9,9,9,CB
Aconitum villosum var. amurense,NA,Ranunculaceae,²øÈÆ°×Ã«ÎÚÍ·,NA,NA,NA,NA,CB
Aconitum volubile,Aconitum,Ranunculaceae,ÂûÎÚÍ·,8,9,NA,NA,CB
Acorus calamus,Acorus,Araceae,İÅÆÑ,5,6,6,7,CB
Actaea asiatica,Actaea,Ranunculaceae,ÀàÒ¶ÉıÂé,5,6,7,9,CB
Actaea erythrocarpa,NA,Ranunculaceae,ºì¹ûÀàÒ¶ÉıÂé,5,6,7,8,CB
Actinidia arguta,NA,Actinidiaceae,ÈíÔæâ¨ºïÌÒ,4,4,8,10,WD
Actinidia kolomikta,Actinidia,Actinidiaceae,¹·Ôæâ¨ºïÌÒ,5,7,9,10,WD
Actinidia polygama,NA,Actinidiaceae,¸ğÔæâ¨ºïÌÒ,6,7,9,10,WD
Actinostemma tenerum,NA,Cucurbitaceae,ºĞ×Ó²İ,8,9,9,10,CB
Adenocaulon himalaicum,Adenocaulon,Asteraceae,ºÍÉĞ²Ë,7,10,7,10,CB
Adenophora divaricata,Adenophora,Campanulaceae,Õ¹Ö¦É³²Î,8,9,9,10,CB
Adenophora gmelinii,Adenophora,Campanulaceae,ÏÁÒ¶É³²Î,7,8,9,9,CB
Adenophora pereskiifolia,Adenophora,Campanulaceae,³¤°×É³²Î,7,8,8,9,CB
Adenophora polyantha,Adenophora,Campanulaceae,¹âİàÉ³²Î,7,9,9,10,CB
Adenophora remotiflora,Adenophora,Campanulaceae,±¡Ò¶ÜùÆs,7,8,9,10,CB
Adenophora stenanthina,Adenophora,Campanulaceae,³¤ÖùÉ³²Î,8,9,9,10,CB
Adenophora stenophylla,Adenophora,Campanulaceae,É¨ÖãÉ³²Î,7,9,9,9,CB
Adenophora tetraphylla,NA,Campanulaceae,ÂÖÒ¶É³²Î,7,8,8,9,CB
Adenophora trachelioides,NA,Campanulaceae,ÜùÆs,7,8,9,10,CB
Adlumia asiatica,NA,Papaveraceae,ºÉ°üÌÙ,7,9,8,9,CB
Adonis amurensis,NA,Ranunculaceae,²à½ğÕµ»¨,3,4,NA,NA,CB
Adonis ramosa,Adonis,Ranunculaceae,ÁÉ¼ª²à½ğÕµ»¨,3,4,NA,NA,CB
Adoxa moschatellina,Adoxa,Adoxaceae,Îå¸£»¨,4,7,7,8,CB
Aegopodium alpestre,NA,Apiaceae,¶«±±Ñò½ÇÇÛ,5,7,7,8,CB
Agastache rugosa,NA,Lamiaceae,Ş½Ïã,6,9,9,11,CB
Agrimonia coreana,Agrimonia,Rosaceae,ÍĞÒ¶ÁúÑ¿²İ,7,8,7,8,CB
Agrimonia pilosa,Agrimonia,Rosaceae,ÁúÑ¿²İ,5,12,5,12,CB
Agriophyllum squarrosum,Agriophyllum,Chenopodiaceae,É³Åî,8,10,8,10,CB
Agrostis clavata,NA,Poaceae,»ª±±¼ô¹ÉÓ±,6,8,6,8,CB
Agrostis divaricatissima,Agrostis,Poaceae,ÆçĞò¼ô¹ÉÓ±,7,8,7,8,CB
Agrostis flaccida,Agrostis,Poaceae,ÈáÈí¼ô¹ÉÓ±,7,8,7,8,CB
Agrostis gigantea,NA,Poaceae,¾ŞĞò¼ô¹ÉÓ±,6,11,6,11,CB
Agrostis vinealis,Agrostis,Poaceae,Ã¢¼ô¹ÉÓ±,8,9,8,9,CB
Alisma orientale,NA,Alismataceae,¶«·½ÔóĞº,7,8,8,9,CB
Alisma plantago-aquatica,NA,Alismataceae,ÔóĞº,5,10,5,10,CB
Allium anisopodium,Allium,Liliaceae,°«¾Â,7,9,7,9,CB
Allium bidentatum,Allium,Liliaceae,É°¾Â,7,8,7,9,CB
Allium caespitosum,Allium,Liliaceae,ÊèÉú¾Â,6,8,6,8,CB
Allium condensatum,NA,Liliaceae,»Æ»¨¾Â,7,8,9,10,CB
Allium ledebourianum,NA,Liliaceae,Ó²Æ¤´Ğ,7,8,6,9,CB
Allium listera,NA,Liliaceae,¶ÔÒ¶É½´Ğ,6,8,6,8,CB
Allium monanthum,NA,Liliaceae,µ¥»¨Ş¯,4,5,5,5,CB
Allium neriniflorum,NA,Liliaceae,³¤¹£ºÏ±»¾Â,7,8,9,10,CB
Allium polyrhizum,NA,Liliaceae,¼î¾Â,7,8,6,8,CB
Allium ramosum,NA,Liliaceae,Ò°¾Â,8,9,6,9,CB
Allium sacculiferum,NA,Liliaceae,³¯ÏÊŞ¯,8,9,NA,NA,CB
Allium senescens,NA,Liliaceae,É½¾Â,7,8,8,9,CB
Allium spirale,NA,Liliaceae,Å¤Ò¶¾Â,7,8,NA,NA,CB
Allium splendens,NA,Liliaceae,Àö¾Â,6,6,NA,NA,CB
Allium strictum,NA,Liliaceae,»Ô¾Â,7,8,7,8,CB
Allium tenuissimum,Allium,Liliaceae,Ï¸Ò¶¾Â,6,7,8,9,CB
Allium thunbergii,Allium,Liliaceae,ÇòĞò¾Â,8,9,9,10,CB
Allium victorialis,Allium,Liliaceae,ÆŒ´Ğ,5,5,8,8,CB
Alnus hirsuta,NA,Betulaceae,ÁÉ¶«èçÄ¾,5,7,7,8,WD
Alnus japonica,NA,Betulaceae,ÈÕ±¾èçÄ¾,5,7,7,8,WD
Alnus mandshurica,NA,Betulaceae,¶«±±èçÄ¾,5,7,7,8,WD
Alyssum canescens,NA,Brassicaceae,»ÒÃ«Í¥Üù,6,9,7,10,CB
Alyssum lenense,Alyssum,Brassicaceae,±±·½Í¥Üù,5,6,7,8,CB
Amethystea caerulea,Amethystea,Lamiaceae,Ë®¼¬Õë,7,9,9,10,CB
Ampelopsis aconitifolia,Ampelopsis,Vitaceae,ÎÚÍ·Ò¶ÉßÆÏÌÑ,5,6,8,9,WD
Ampelopsis delavayana var. glabra,NA,Vitaceae,ÕÆÁÑÉßÆÏÌÑ,5,6,7,9,WD
Ampelopsis glandulosa var. brevipedunculata,NA,Vitaceae,¶«±±ÉßÆÏÌÑ,7,8,9,10,WD
Ampelopsis humulifolia,Ampelopsis,Vitaceae,È„Ò¶ÉßÆÏÌÑ,5,7,5,9,WD
Ampelopsis japonica,Ampelopsis,Vitaceae,°×İü,5,6,7,9,WD
Amphicarpaea bracteata subsp. edgeworthii,NA,Fabaceae,Á½ĞÍ¶¹,NA,NA,NA,NA,CB
Amygdalus triloba,NA,Rosaceae,ÓÜÒ¶Ã·,4,5,5,7,WD
Androsace filiformis,Androsace,Primulaceae,¶«±±µãµØÃ·,5,6,6,7,CB
Androsace gmelinii,Androsace,Primulaceae,Ğ¡µãµØÃ·,6,6,NA,NA,CB
Androsace umbellata,Androsace,Primulaceae,µãµØÃ·,4,5,6,6,CB
Anemarrhena asphodeloides,NA,Liliaceae,ÖªÄ¸,5,6,8,9,CB
Anemone amurensis,Anemone,Ranunculaceae,ºÚË®ÒøÁ«»¨,5,5,NA,NA,CB
Anemone baicalensis,Anemone,Ranunculaceae,Ã«¹ûÒøÁ«»¨,4,7,NA,NA,CB
Anemone baicalensis var. rossii,NA,Ranunculaceae,Ï¸¾¥ÒøÁ«»¨,5,7,NA,NA,CB
Anemone dichotoma,Anemone,Ranunculaceae,¶şÆçÒøÁ«»¨,6,6,6,7,CB
Anemone narcissiflora subsp. crinita,NA,Ranunculaceae,³¤Ã«ÒøÁ«»¨,5,7,NA,NA,CB
Anemone raddeana,Anemone,Ranunculaceae,¶à±»ÒøÁ«»¨,4,5,NA,NA,CB
Anemone reflexa,NA,Ranunculaceae,·´İàÒøÁ«»¨,4,5,NA,NA,CB
Anemone umbrosa,Anemone,Ranunculaceae,ÒõµØÒøÁ«»¨,5,6,NA,NA,CB
Angelica amurensis,Angelica,Apiaceae,ºÚË®µ±¹é,7,8,8,9,CB
Angelica anomala,NA,Apiaceae,ÏÁÒ¶µ±¹é,7,8,8,9,CB
Angelica cartilaginomarginata,Angelica,Apiaceae,³¤ÇÊµ±¹é,7,8,8,9,CB
Angelica cincta,NA,Apiaceae,ºş±±µ±¹é,8,8,NA,NA,CB
Angelica dahurica,Angelica,Apiaceae,°×ÜÆ,7,8,8,9,CB
Angelica decursiva,NA,Apiaceae,²ñ»¨Ç°ºú,8,9,9,11,CB
Angelica gigas,Angelica,Apiaceae,³¯ÏÊµ±¹é,7,8,8,9,CB
Angelica polymorpha,Angelica,Apiaceae,¹ÕÇÛ,8,9,9,10,CB
Anthoxanthum glabrum,NA,Poaceae,¹âïûÏã²İ,6,9,6,9,CB
Anthoxanthum monticola,NA,Poaceae,¸ßÉ½Ã©Ïã,7,8,7,8,CB
Anthoxanthum odoratum,Anthoxanthum,Poaceae,»Æ»¨Ã©,7,8,5,8,CB
Anthoxanthum odoratum subsp. alpinum,NA,Poaceae,ÈÕ±¾»Æ»¨Ã©,6,8,6,8,CB
Anthriscus sylvestris,Anthriscus,Apiaceae,¶ë²Î,4,5,4,5,CB
Anthriscus sylvestris subsp. nemorosa,NA,Apiaceae,´Ì¹û¶ë²Î,NA,NA,NA,NA,CB
Apocynum venetum,NA,Apocynaceae,ÂŞ²¼Âé,4,9,7,12,WD
Aquilegia japonica,NA,Ranunculaceae,°×É½ñï¶·²Ë,7,7,NA,NA,CB
Aquilegia oxysepala,Aquilegia,Ranunculaceae,¼âİàñï¶·²Ë,5,6,7,7,CB
Aquilegia parviflora,Aquilegia,Ranunculaceae,Ğ¡»¨ñï¶·²Ë,6,6,NA,NA,CB
Aquilegia viridiflora,NA,Ranunculaceae,ñï¶·²Ë,5,7,7,8,CB
Arabidopsis halleri subsp. gemmifera,NA,Brassicaceae,Ò¶Ñ¿Êó¶ú½æ,NA,NA,NA,NA,CB
Arabidopsis lyrata subsp. kamchatica,NA,Brassicaceae,ÇÙÒ¶Êó¶ú½æ,NA,NA,NA,NA,CB
Arabis halleri,NA,Brassicaceae,Ô²Ò¶ÄÏ½æ,NA,NA,NA,NA,CB
Arabis hirsuta,NA,Brassicaceae,Ó²Ã«ÄÏ½æ,4,8,5,9,CB
Arabis pendula,NA,Brassicaceae,´¹¹ûÄÏ½æ,6,8,7,9,CB
Aralia continentalis,NA,Araliaceae,¶«±±ÍÁµ±¹é,7,8,9,10,CB
Aralia elata,Aralia,Araliaceae,˜BÄ¾,6,8,9,10,WD
Aralia elata var. glabrescens,NA,Araliaceae,ÁÉ¶«˜BÄ¾,NA,NA,NA,NA,WD
Arctous ruber,Arctous,Ericaceae,ºì±±¼«¹û,7,7,8,8,WD
Arenaria juncea var. glabra,NA,Caryophyllaceae,ÎŞÃ«ÀÏÅ£½î,NA,NA,NA,NA,CB
Arisaema amurense,Arisaema,Araceae,¶«±±ÄÏĞÇ,6,7,7,8,CB
Arisaema heterophyllum,Arisaema,Araceae,ÌìÄÏĞÇ,6,9,6,9,CB
Arisaema serratum,Arisaema,Araceae,Ï¸³İÄÏĞÇ,5,6,NA,NA,CB
Aristida adscensionis,Aristida,Poaceae,ÈıÃ¢²İ,7,9,7,9,CB
Aristolochia contorta,Aristolochia,Aristolochiaceae,±±Âí¶µÁå,7,8,9,10,CB
Aristolochia manshuriensis,Aristolochia,Aristolochiaceae,Ä¾Í¨Âí¶µÁå,6,7,8,9,WD
Armeniaca mandshurica,Armeniaca,Rosaceae,¶«±±ĞÓ,4,4,5,7,WD
Armeniaca sibirica,NA,Rosaceae,É½ĞÓ,3,4,6,7,WD
Armeniaca vulgaris,NA,Rosaceae,ĞÓ,3,4,6,7,WD
Artemisia adamsii,Artemisia,Asteraceae,¶«±±Ë¿ÁÑİï,8,10,8,10,CB
Artemisia anethifolia,NA,Asteraceae,¼îİï,7,9,7,9,CB
Artemisia anethoides,Artemisia,Asteraceae,İªÂÜİï,7,9,7,9,CB
Artemisia argyi,Artemisia,Asteraceae,°¬,8,10,8,10,CB
Artemisia argyi var. gracilis,NA,Asteraceae,³¯ÏÊ°¬,NA,NA,NA,NA,CB
Artemisia aurata,NA,Asteraceae,»Æ½ğİï,8,10,8,10,CB
Artemisia brachyphylla,Artemisia,Asteraceae,¸ßÁëİï,7,9,7,9,CB
Artemisia campestris,NA,Asteraceae,»ÄÒ°İï,7,10,7,10,WD
Artemisia capillaris,NA,Asteraceae,Òğ³Âİï,8,10,8,10,CB
Artemisia carvifolia,Artemisia,Asteraceae,Çàİï,7,10,7,10,CB
Artemisia desertorum,NA,Asteraceae,É³İï,8,10,8,10,CB
Artemisia eriopoda,NA,Asteraceae,ÄÏÄµİï,8,10,8,10,CB
Artemisia frigida,Artemisia,Asteraceae,Àäİï,8,10,8,10,CB
Artemisia gmelinii,Artemisia,Asteraceae,Ï¸ÁÑÒ¶Á«İï,8,10,8,10,WD
Artemisia igniaria,Artemisia,Asteraceae,Æç¾¥İï,8,10,8,10,WD
Artemisia integrifolia,Artemisia,Asteraceae,ÁøÒ¶İï,8,10,8,10,CB
Artemisia japonica,Artemisia,Asteraceae,Äµİï,8,10,8,10,CB
Artemisia keiskeana,Artemisia,Asteraceae,ÈC&#x0000E027;,7,10,7,10,WD
Artemisia lagocephala,Artemisia,Asteraceae,°×É½İï,7,10,7,10,WD
Artemisia lancea,Artemisia,Asteraceae,°«İï,8,10,8,10,CB
Artemisia latifolia,NA,Asteraceae,¿íÒ¶İï,7,10,7,10,CB
Artemisia lavandulifolia,NA,Asteraceae,Ò°°¬İï,7,10,7,10,CB
Artemisia manshurica,Artemisia,Asteraceae,¶«±±Äµİï,8,10,8,10,CB
Artemisia mongolica,NA,Asteraceae,ÃÉ¹Åİï,8,10,8,10,CB
Artemisia oxycephala,Artemisia,Asteraceae,¹âÉ³İï,8,10,8,10,WD
Artemisia oxycephala var. sporadantha,NA,Asteraceae,Êè»¨¹âÉ³İï,NA,NA,NA,NA,WD
Artemisia palustris,Artemisia,Asteraceae,ºÚİï,8,10,8,10,CB
Artemisia pubescens,Artemisia,Asteraceae,ÈáÃ«İï,8,10,8,10,CB
Artemisia pubescens var. coracina,NA,Asteraceae,ºÚÈáÃ«İï,NA,NA,NA,NA,CB
Artemisia rubripes,Artemisia,Asteraceae,ºì×ãİï,8,10,8,10,CB
Artemisia sacrorum,NA,Asteraceae,°×Á«İï,8,10,8,10,WD
Artemisia sacrorum var. incana,NA,Asteraceae,»ÒÁ«İï,NA,NA,NA,NA,WD
Artemisia sacrorum var. messerschmidtiana,NA,Asteraceae,ÃÜÃ«°×Á«İï,NA,NA,NA,NA,WD
Artemisia scoparia,Artemisia,Asteraceae,ÖíÃ«İï,7,10,7,10,CB
Artemisia selengensis,Artemisia,Asteraceae,İäİï,7,10,7,10,CB
Artemisia sieversiana,Artemisia,Asteraceae,´ó×Ñİï,7,9,7,9,CB
Artemisia stolonifera,NA,Asteraceae,¿íÒ¶É½İï,7,10,7,10,CB
Artemisia subulata,NA,Asteraceae,ÏßÒ¶İï,7,10,7,10,CB
Artemisia sylvatica,Artemisia,Asteraceae,ÒõµØİï,8,9,8,9,CB
Artemisia tanacetifolia,NA,Asteraceae,ÁÑÒ¶İï,7,9,7,9,CB
Artemisia vestita,Artemisia,Asteraceae,Ã«Á«İï,9,10,9,10,WD
Artemisia viridissima,Artemisia,Asteraceae,ÁÖ°¬İï,7,10,7,10,CB
Arthraxon hispidus,Arthraxon,Poaceae,İ£²İ,8,10,8,10,CB
Arthraxon hispidus var. centrasiaticus,NA,Poaceae,ÖĞÑÇİ£²İ,8,9,8,9,CB
Aruncus sylvester,Aruncus,Rosaceae,¼ÙÉıÂé,5,7,7,9,CB
Arundinella hirta,Arundinella,Poaceae,Ã«¸ÑÒ°¹Å²İ,9,11,9,11,CB
Asarum heterotropoides,NA,Aristolochiaceae,¿âÒ³Ï¸ĞÁ,5,5,NA,NA,CB
Asarum sieboldii,NA,Aristolochiaceae,ºº³ÇÏ¸ĞÁ,4,5,NA,NA,CB
Asparagus brachyphyllus,Asparagus,Liliaceae,ÅÊÔ®ÌìÃÅ¶¬,5,6,7,8,CB
Asparagus dauricus,Asparagus,Liliaceae,ĞË°²ÌìÃÅ¶¬,5,6,7,8,CB
Asparagus oligoclonos,NA,Liliaceae,ÄÏÓñ´ø,5,6,7,8,CB
Asparagus schoberioides,Asparagus,Liliaceae,ÁúĞë²Ë,5,6,8,9,CB
Aster ageratoides var. heterophyllus,NA,Asteraceae,ÈıÂö×ÏİÒÒìÒ¶±äÖÖ,NA,NA,NA,NA,CB
Aster alpinus,Aster,Asteraceae,¸ßÉ½×ÏİÒ,6,9,6,9,CB
Aster maackii,Aster,Asteraceae,Ô²°ú×ÏİÒ,8,10,8,10,CB
Aster tataricus,NA,Asteraceae,×ÏİÒ,7,10,7,10,CB
Astilbe chinensis,NA,Saxifragaceae,ÂäĞÂ¸¾,7,8,9,9,CB
Astilbe grandis,Astilbe,Saxifragaceae,´óÂäĞÂ¸¾,6,9,6,9,CB
Astilboides tabularis,Astilboides,Saxifragaceae,´óÒ¶×Ó,6,7,8,9,CB
Astragalus adsurgens,NA,Fabaceae,Ğ±¾¥»ÆêÈ,6,8,8,10,CB
Astragalus chinensis,NA,Fabaceae,»ª»ÆêÈ,6,7,7,8,CB
Astragalus complanatus,NA,Fabaceae,±³±â»ÆêÈ,7,9,8,10,CB
Astragalus dahuricus,NA,Fabaceae,´ïÎÚÀï»ÆêÈ,7,9,8,10,CB
Astragalus galactites,Astragalus,Fabaceae,Èé°×»¨»ÆêÈ,5,6,6,8,CB
Astragalus melilotoides,NA,Fabaceae,²İÄ¾éØ×´»ÆêÈ,7,8,8,9,CB
Astragalus melilotoides var. tenuis,NA,Fabaceae,Ï¸Ò¶»ÆêÈ,NA,NA,NA,NA,CB
Astragalus miniatus,Astragalus,Fabaceae,Ï¸Èõ»ÆêÈ,6,8,6,8,CB
Astragalus scaberrimus,Astragalus,Fabaceae,²ÚÒ¶»ÆêÈ,4,8,5,9,CB
Astragalus uliginosus,Astragalus,Fabaceae,ÊªµØ»ÆêÈ,6,7,8,9,CB
Asyneuma japonicum,Asyneuma,Campanulaceae,ÄÁ¸ù²İ,7,8,9,9,CB
Atractylodes coreana,Atractylodes,Asteraceae,³¯ÏÊ²ÔÊõ,8,10,8,10,CB
Atractylodes japonica,NA,Asteraceae,¹Ø²ÔÊõ,8,10,8,10,CB
Atractylodes lancea,Atractylodes,Asteraceae,²ÔÊõ,7,10,7,10,CB
Atraphaxis manshurica,NA,Polygonaceae,¶«±±Ä¾Ş¤,7,9,7,9,WD
Atriplex centralasiatica,NA,Chenopodiaceae,ÖĞÑÇ±õŞ¼,7,8,8,9,CB
Atriplex fera,Atriplex,Chenopodiaceae,Ò°±õŞ¼,7,8,8,9,CB
Atriplex sibirica,Atriplex,Chenopodiaceae,Î÷²®ÀûÑÇ±õŞ¼,7,8,8,9,CB
Axyris amaranthoides,NA,Chenopodiaceae,ÖáŞ¼,8,9,8,9,CB
Barbarea hongii,NA,Brassicaceae,ºéÊÏÉ½½æ,NA,NA,7,7,CB
Barbarea orthoceras,Barbarea,Brassicaceae,É½½æ,5,8,5,8,CB
Barnardia japonica,Barnardia,Liliaceae,ÃàÔæ¶ù,7,11,7,11,CB
Bassia dasyphylla,Bassia,Chenopodiaceae,Îí±ùŞ¼,7,9,7,9,CB
Batrachium kauffmanii,NA,Ranunculaceae,³¤Ò¶Ë®Ã«İ¢,6,9,7,10,CB
Batrachium trichophyllum,NA,Ranunculaceae,Ã«±úË®Ã«İ¢,NA,NA,NA,NA,CB
Belamcanda chinensis,NA,Iridaceae,Éä¸É,7,9,8,10,CB
Berberis amurensis,NA,Berberidaceae,»ÆÂ«Ä¾,4,5,8,9,WD
Berberis poiretii,NA,Berberidaceae,Ï¸Ò¶Ğ¡éŞ,5,6,7,9,WD
Betula costata,NA,Betulaceae,Ë¶èë,5,6,7,9,WD
Betula dahurica,NA,Betulaceae,ºÚèë,6,7,7,8,WD
Betula ermanii,NA,Betulaceae,ÔÀèë,6,7,7,8,WD
Betula fruticosa,NA,Betulaceae,²ñèë,6,7,7,8,WD
Betula ovalifolia,NA,Betulaceae,ÓÍèë,6,7,7,8,WD
Betula platyphylla,NA,Betulaceae,°×èë,6,7,7,9,WD
Betula schmidtii,NA,Betulaceae,ÈüºÚèë,6,6,7,8,WD
Bidens cernua,NA,Asteraceae,ÁøÒ¶¹íÕë²İ,6,10,6,10,CB
Bidens maximovicziana,NA,Asteraceae,ÓğÒ¶¹íÕë²İ,NA,NA,NA,NA,CB
Bidens parviflora,NA,Asteraceae,Ğ¡»¨¹íÕë²İ,6,10,6,10,CB
Boehmeria spicata,Boehmeria,Urticaceae,Ğ¡³àÂé,6,8,8,9,CB
Bolboschoenus yagara,NA,Cyperaceae,¾£Èı¶ ,NA,NA,5,7,CB
Boschniakia rossica,Boschniakia,Orobanchaceae,²İÜÊÈØ,7,8,7,8,CB
Brachybotrys paridiformis,NA,Boraginaceae,É½ÇÑ×Ó,6,9,6,9,CB
Bromus inermis,Bromus,Poaceae,ÎŞÃ¢È¸Âó,6,8,6,8,CB
Bromus pumpellianus,Bromus,Poaceae,½ôËëÈ¸Âó,7,9,7,9,CB
Brylkinia caudata,Brylkinia,Poaceae,±âËë²İ,7,9,7,9,CB
Bupleurum angustissimum,NA,Apiaceae,ÏßÒ¶²ñºú,6,7,8,9,CB
Bupleurum chinense,NA,Apiaceae,±±²ñºú,7,9,9,10,CB
Bupleurum euphorbioides,Bupleurum,Apiaceae,´ó°ú²ñºú,7,7,8,9,CB
Bupleurum komarovianum,Bupleurum,Apiaceae,³¤°×²ñºú,7,8,8,9,CB
Bupleurum longiradiatum,NA,Apiaceae,´óÒ¶²ñºú,7,8,8,9,CB
Bupleurum scorzonerifolium,NA,Apiaceae,ºì²ñºú,7,9,7,9,CB
Butomus umbellatus,NA,Butomaceae,»¨İş,7,9,7,9,CB
Calamagrostis epigeios,Calamagrostis,Poaceae,·÷×ÓÃ©,5,9,5,9,CB
Calamagrostis kengii,Calamagrostis,Poaceae,¶«±±·÷×ÓÃ©,7,8,7,8,CB
Calamagrostis macrolepis,NA,Poaceae,´ó·÷×ÓÃ©,7,9,7,9,CB
Calamagrostis pseudophragmites,Calamagrostis,Poaceae,¼ÙÎ­·÷×ÓÃ©,7,9,7,9,CB
Calla palustris,NA,Araceae,Ë®Óó,6,7,7,8,CB
Callistephus chinensis,NA,Asteraceae,´ä¾Õ,8,10,8,10,CB
Callitriche hermaphroditica,NA,Callitrichaceae,ÏßÒ¶Ë®Âí³İ,NA,NA,NA,NA,CB
Callitriche palustris,NA,Callitrichaceae,Ë®Âí³İ,NA,NA,NA,NA,CB
Callitriche palustris var. elegans,NA,Callitrichaceae,¶«±±Ë®Âí³İ,NA,NA,1,12,CB
Caltha palustris,Caltha,Ranunculaceae,Â¿Ìã²İ,5,9,6,10,CB
Caltha palustris var. membranacea,NA,Ranunculaceae,Ä¤Ò¶Â¿Ìã²İ,NA,NA,NA,NA,CB
Caltha palustris var. sibirica,NA,Ranunculaceae,Èı½ÇÒ¶Â¿Ìã²İ,NA,NA,NA,NA,CB
Calypso bulbosa,Calypso,Orchidaceae,²¼´üÀ¼,5,6,NA,NA,CB
Calystegia pellita,NA,Convolvulaceae,ÌÙ³¤Ãç,7,9,8,10,CB
Calystegia pubescens,NA,Convolvulaceae,ÈáÃ«´òÍë»¨,8,8,NA,NA,CB
Camelina microcarpa,Camelina,Brassicaceae,Ğ¡¹ûÑÇÂéÜù,4,5,5,8,CB
Campanula glomerata,Campanula,Campanulaceae,±±½®·çÁå²İ,7,9,9,10,CB
Campanula glomerata subsp. cephalotes,NA,Campanulaceae,¾Û»¨·çÁå²İ,NA,NA,NA,NA,CB
Campanula punctata,Campanula,Campanulaceae,×Ï°ß·çÁå²İ,6,7,7,9,CB
Caragana arborescens,NA,Fabaceae,Ê÷½õ¼¦¶ù,5,6,8,9,WD
Caragana microphylla,NA,Fabaceae,Ğ¡Ò¶½õ¼¦¶ù,5,6,7,8,WD
