Chinese name,scientific name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,scientific name,Genus name,woodiness
¿àÌõéÊ,Acer ginnala subsp. theiferum,5,5,9,9,Aceraceae,Acer ginnala subsp. theiferum,Acer,WD
½¨Ê¼éÊ,Acer henryi,4,4,9,9,Aceraceae,Acer henryi,Acer,WD
ÁÙ°²éÊ,Acer linganense,4,5,9,9,Aceraceae,Acer linganense,Acer,WD
³¤±úéÊ,Acer longipes,4,4,9,9,Aceraceae,Acer longipes,Acer,WD
Ã«¹ûéÊ,Acer maximowiczianum,4,4,9,9,Aceraceae,Acer maximowiczianum,Acer,WD
ÎåÁÑéÊ,Acer oliverianum,5,5,9,9,Aceraceae,Acer oliverianum,Acer,WD
¼¦×¦éÊ,Acer palmatum,5,5,9,9,Aceraceae,Acer palmatum,Acer,WD
Ï¡»¨éÊ,Acer pauciflorum,5,5,9,9,Aceraceae,Acer pauciflorum,Acer,WD
Îå½Ç·ã,Acer pictum subsp. mono,NA,NA,9,9,Aceraceae,Acer pictum subsp. mono,Acer,WD
½­ÄÏÉ«Ä¾·ã,Acer pictum subsp. pubigerum,4,4,9,9,Aceraceae,Acer pictum subsp. pubigerum,Acer,WD
Ã«ÂöéÊ,Acer pubinerve,4,4,10,10,Aceraceae,Acer pubinerve,Acer,WD
è¾Ò¶éÊ,Acer robustum,5,5,9,9,Aceraceae,Acer robustum,Acer,WD
ÖĞ»ªéÊ,Acer sinense,NA,NA,NA,NA,Aceraceae,Acer sinense,Acer,WD
ÌìÄ¿éÊ,Acer sinopurpurascens,4,4,9,9,Aceraceae,Acer sinopurpurascens,Acer,WD
²èÌõ·ã,Acer tataricum subsp. ginnala,5,5,10,10,Aceraceae,Acer tataricum subsp. ginnala,Acer,WD
Ôª±¦éÊ,Acer truncatum,4,4,8,8,Aceraceae,Acer truncatum,Acer,WD
´óÒ¶Ö±Ã¢²İ,Achnatherum coreanum,9,9,11,11,Poaceae,Achnatherum coreanum,Achnatherum,CB
¾©Ã¢²İ,Achnatherum pekinense,7,7,10,10,Poaceae,Achnatherum pekinense,Achnatherum,CB
Å£Ï¥,Achyranthes bidentata,7,9,9,10,Amaranthaceae,Achyranthes bidentata,Achyranthes,CB
ÉÙÃ«Å£Ï¥,Achyranthes bidentata var. japonica,NA,NA,NA,NA,Amaranthaceae,Achyranthes bidentata var. japonica,Achyranthes,CB
ÁøÒ¶Å£Ï¥,Achyranthes longifolia,9,11,9,11,Amaranthaceae,Achyranthes longifolia,Achyranthes,CB
´óÂéÒ¶ÎÚÍ·,Aconitum cannabifolium,8,9,NA,NA,Ranunculaceae,Aconitum cannabifolium,Aconitum,CB
ÎÚÍ·,Aconitum carmichaelii,9,10,NA,NA,Ranunculaceae,Aconitum carmichaelii,Aconitum,CB
»ÆÉ½ÎÚÍ·,Aconitum carmichaelii var. hwangshanicum,NA,NA,NA,NA,Ranunculaceae,Aconitum carmichaelii var. hwangshanicum,Aconitum,CB
Õ¹Ã«ÎÚÍ·,Aconitum carmichaelii var. truppelianum,NA,NA,NA,NA,Ranunculaceae,Aconitum carmichaelii var. truppelianum,Aconitum,CB
¸ÓÍîÎÚÍ·,Aconitum finetianum,8,9,10,10,Ranunculaceae,Aconitum finetianum,Aconitum,CB
¹ÏÒ¶ÎÚÍ·,Aconitum hemsleyanum,8,10,NA,NA,Ranunculaceae,Aconitum hemsleyanum,Aconitum,CB
´¨¶õÎÚÍ·,Aconitum henryi,9,10,NA,NA,Ranunculaceae,Aconitum henryi,Aconitum,CB
»¨İãÎÚÍ·,Aconitum scaposum,8,8,NA,NA,Ranunculaceae,Aconitum scaposum,Aconitum,CB
ÏÁ¿ø¸ßÎÚÍ·,Aconitum sinomontanum var. angustius,NA,NA,NA,NA,Ranunculaceae,Aconitum sinomontanum var. angustius,Aconitum,CB
İÅÆÑ,Acorus calamus,6,9,NA,NA,Araceae,Acorus calamus,Acorus,CB
½ğÇ®ÆÑ,Acorus gramineus,5,6,7,8,Araceae,Acorus gramineus,Acorus,CB
Ê¯İÅÆÑ,Acorus tatarinowii,NA,NA,NA,NA,Araceae,Acorus tatarinowii,Acorus,CB
ÀàÒ¶ÉıÂé,Actaea asiatica,5,6,7,9,Ranunculaceae,Actaea asiatica,Actaea,CB
ÈíÔæâ¨ºïÌÒ,Actinidia arguta,NA,NA,NA,NA,Actinidiaceae,Actinidia arguta,Actinidia,WD
Ó²³İâ¨ºïÌÒ,Actinidia callosa,NA,NA,NA,NA,Actinidiaceae,Actinidia callosa,Actinidia,WD
ÒìÉ«â¨ºïÌÒ,Actinidia callosa var. discolor,NA,NA,NA,NA,Actinidiaceae,Actinidia callosa var. discolor,Actinidia,WD
¾©Àæâ¨ºïÌÒ,Actinidia callosa var. henryi,NA,NA,NA,NA,Actinidiaceae,Actinidia callosa var. henryi,Actinidia,WD
ÖĞ»ªâ¨ºïÌÒ,Actinidia chinensis,NA,NA,NA,NA,Actinidiaceae,Actinidia chinenssis,Actinidia,WD
Ã«»¨â¨ºïÌÒ,Actinidia eriantha,5,6,11,11,Actinidiaceae,Actinidia eriantha,Actinidia,WD
Ğ¡Ò¶â¨ºïÌÒ,Actinidia lanceolata,5,5,11,11,Actinidiaceae,Actinidia lanceolata,Actinidia,WD
À«Ò¶â¨ºïÌÒ,Actinidia latifolia,3,6,11,11,Actinidiaceae,Actinidia latifolia,Actinidia,WD
´ó×Ñâ¨ºïÌÒ,Actinidia macrosperma,4,5,9,10,Actinidiaceae,Actinidia macrosperma,Actinidia,WD
Ã·Ò¶â¨ºïÌÒ,Actinidia macrosperma var. mumoides,NA,NA,NA,NA,Actinidiaceae,Actinidia macrosperma var. mumoides,Actinidia,WD
ºÚÈïâ¨ºïÌÒ,Actinidia melanandra,5,6,NA,NA,Actinidiaceae,Actinidia melanandra,Actinidia,WD
ÎŞ÷×â¨ºïÌÒ,Actinidia melanandra var. glabrescens,NA,NA,NA,NA,Actinidiaceae,Actinidia melanandra var. glabrescens,Actinidia,WD
¸ğÔæâ¨ºïÌÒ,Actinidia polygama,6,7,9,10,Actinidiaceae,Actinidia polygama,Actinidia,WD
ºì¾¥â¨ºïÌÒ,Actinidia rubricaulis,4,5,NA,NA,Actinidiaceae,Actinidia rubricaulis,Actinidia,WD
¸ïÒ¶â¨ºïÌÒ,Actinidia rubricaulis var. coriacea,NA,NA,NA,NA,Actinidiaceae,Actinidia rubricaulis var. coriacea,Actinidia,WD
Çå·çÌÙâ¨ºïÌÒ,Actinidia sabiifolia,NA,NA,NA,NA,Actinidiaceae,Actinidia sabiifolia,Actinidia,WD
¶Ôİàâ¨ºïÌÒ,Actinidia valvata,5,5,NA,NA,Actinidiaceae,Actinidia valvata,Actinidia,WD
ºĞ×Ó²İ,Actinostemma tenerum,7,9,9,11,Cucurbitaceae,Actinostemma tenerum,Actinostemma,CB
ºÍÉĞ²Ë,Adenocaulon himalaicum,6,11,6,11,Asteraceae,Adenocaulon himalaicum,Adenocaulon,CB
ĞÄÒ¶É³²Î,Adenophora cordifolia,7,8,NA,NA,Campanulaceae,Adenophora cordifolia,Adenophora,CB
¶õÎ÷É³²Î,Adenophora hubeiensis,8,9,NA,NA,Campanulaceae,Adenophora hubeiensis,Adenophora,CB
»ª¶«ĞÓÒ¶É³²Î,Adenophora petiolata subsp. huadungensis,NA,NA,NA,NA,Campanulaceae,Adenophora petiolata subsp. huadungensis,Adenophora,CB
ĞÓÒ¶É³²Î,Adenophora petiolata subsp. hunanensis,7,9,NA,NA,Campanulaceae,Adenophora petiolata subsp. hunanensis,Adenophora,CB
¹âİàÉ³²Î,Adenophora polyantha,8,10,NA,NA,Campanulaceae,Adenophora polyantha,Adenophora,CB
Ê¯É³²Î,Adenophora polyantha subsp. scabricalyx,8,10,NA,NA,Campanulaceae,Adenophora polyantha subsp. scabricalyx,Adenophora,CB
±¡Ò¶ÜùÆs,Adenophora remotiflora,7,8,NA,NA,Campanulaceae,Adenophora remotiflora,Adenophora,CB
ÖĞ»ªÉ³²Î,Adenophora sinensis,8,10,NA,NA,Campanulaceae,Adenophora sinensis,Adenophora,CB
´¨Î÷É³²Î,Adenophora stricta,8,10,9,9,Campanulaceae,Adenophora stricta,Adenophora,CB
´¨Î÷É³²Î,Adenophora stricta,8,10,9,9,Campanulaceae,Adenophora stricta subsp. aurita,Adenophora,CB
ÂÖÒ¶É³²Î,Adenophora tetraphylla,7,9,NA,NA,Campanulaceae,Adenophora tetraphylla,Adenophora,CB
ÜùÆs,Adenophora trachelioides,7,9,NA,NA,Campanulaceae,Adenophora trachelioides,Adenophora,CB
ÏÂÌï¾Õ,Adenostemma lavenia,8,10,8,10,Asteraceae,Adenostemma lavenia,Adenostemma,CB
Ë®ÍÅ»¨,Adina pilulifera,6,7,NA,NA,Rubiaceae,Adina pilulifera,Adina,WD
Ï¸Ò¶Ë®ÍÅ»¨,Adina rubella,5,12,5,12,Rubiaceae,Adina rubella,Adina,WD
ÑîÍ©,Adinandra millettii,5,7,8,10,Theaceae,Adinandra millettii,Adinandra,WD
Ò°İÔ,Aeginetia indica,4,8,8,10,Orobanchaceae,Aeginetia indica,Aeginetia,CB
ÖĞ¹úÒ°İÔ,Aeginetia sinensis,4,6,6,8,Orobanchaceae,Aeginetia sinensis,Aeginetia,CB
ºÏÃÈ,Aeschynomene indica,7,8,8,10,Fabaceae,Aeschynomene indica,Aeschynomene,CB
Ş½Ïã,Agastache rugosa,6,9,9,11,Lamiaceae,Agastache rugosa,Agastache,CB
Ğ¡»¨ÁúÑ¿²İ,Agrimonia nipponica var. occidentalis,8,11,8,11,Rosaceae,Agrimonia nipponica var. occidentalis,Agrimonia,CB
ÁúÑ¿²İ,Agrimonia pilosa,5,12,5,12,Rosaceae,Agrimonia pilosa,Agrimonia,CB
»ÆÁúÎ²,Agrimonia pilosa var. nepalensis,NA,NA,NA,NA,Rosaceae,Agrimonia pilosa var. nepalensis,Agrimonia,CB
É³Åî,Agriophyllum squarrosum,8,10,8,10,Chenopodiaceae,Agriophyllum squarrosum,Agriophyllum,CB
ÆÕÍ¨¼ô¹ÉÓ±,Agrostis canina,6,11,6,11,Poaceae,Agrostis canina,Agrostis,CB
»ª±±¼ô¹ÉÓ±,Agrostis clavata,6,11,6,11,Poaceae,Agrostis clavata,Agrostis,CB
¾ŞĞò¼ô¹ÉÓ±,Agrostis gigantea,6,11,6,11,Poaceae,Agrostis gigantea,Agrostis,CB
ÓñÉ½¼ô¹ÉÓ±,Agrostis infirma,NA,NA,11,11,Poaceae,Agrostis infirma,Agrostis,CB
¶à»¨¼ô¹ÉÓ±,Agrostis micrantha,8,8,8,8,Poaceae,Agrostis micrantha,Agrostis,CB
Ì¨Íå¼ô¹ÉÓ±,Agrostis sozanensis,6,11,6,11,Poaceae,Agrostis sozanensis,Agrostis,CB
Ã¢¼ô¹ÉÓ±,Agrostis vinealis,8,9,8,9,Poaceae,Agrostis vinealis,Agrostis,CB
³ô´»,Ailanthus altissima,4,5,8,10,Simaroubaceae,Ailanthus altissima,Ailanthus,WD
Ì¨Íå³ô´»,Ailanthus altissima var. tanakai,NA,NA,NA,NA,Simaroubaceae,Ailanthus altissima var. tanakai,Ailanthus,WD
ĞÓÏãÍÃ¶ù·ç,Ainsliaea fragrans,11,12,NA,NA,Asteraceae,Ainsliaea fragrans,Ainsliaea,CB
µÆÌ¨ÍÃ¶ù·ç,Ainsliaea macroclinidioides,8,11,NA,NA,Asteraceae,Ainsliaea macroclinidioides,Ainsliaea,CB
½ğ´¯Ğ¡²İ,Ajuga decumbens,3,7,5,11,Lamiaceae,Ajuga decumbens,Ajuga,CB
ÏßÒ¶½î¹Ç²İ,Ajuga linearifolia,4,5,5,10,Lamiaceae,Ajuga linearifolia,Ajuga,CB
×Ï±³½ğÅÌ,Ajuga nipponensis,1,6,3,7,Lamiaceae,Ajuga nipponensis,Ajuga,CB
Ä¾Í¨,Akebia quinata,4,5,6,8,Lardizabalaceae,Akebia quinata,Akebia,WD
ÈıÒ¶Ä¾Í¨,Akebia trifoliata,4,5,7,8,Lardizabalaceae,Akebia trifoliata,Akebia,WD
°×Ä¾Í¨,Akebia trifoliata subsp. australis,4,5,6,9,Lardizabalaceae,Akebia trifoliata subsp. australis,Akebia,WD
°Ë½Ç·ã,Alangium chinense,5,6,7,11,Alangiaceae,Alangium chinense,Alangium,WD
Ï¡»¨°Ë½Ç·ã,Alangium chinense subsp. pauciflorum,NA,NA,NA,NA,Alangiaceae,Alangium chinense subsp. pauciflorum,Alangium,WD
·üÃ«°Ë½Ç·ã,Alangium chinense subsp. strigosum,6,7,8,9,Alangiaceae,Alangium chinense subsp. strigosum,Alangium,WD
ÉîÁÑ°Ë½Ç·ã,Alangium chinense subsp. triangulare,NA,NA,NA,NA,Alangiaceae,Alangium chinense subsp. triangulare,Alangium,WD
Ã«°Ë½Ç·ã,Alangium kurzii,5,6,9,9,Alangiaceae,Alangium kurzii,Alangium,WD
ÔÆÉ½°Ë½Ç·ã,Alangium kurzii var. handelii,5,5,8,8,Alangiaceae,Alangium kurzii var. handelii,Alangium,WD
¹ÏÄ¾,Alangium platanifolium,3,7,7,9,Alangiaceae,NA,NA,NA
Êñ¿û,Alcea rosea,2,8,NA,NA,Malvaceae,Alcea rosea,Alcea,CB
É½Âé¸Ë,Alchornea davidii,3,5,6,7,Euphorbiaceae,Alchornea davidii,Alchornea,WD
·ÛÌõ¶ù²Ë,Aletris spicata,4,5,6,7,Liliaceae,Aletris spicata,Aletris,CB
¶«·½ÔóĞº,Alisma orientale,5,9,5,9,Alismataceae,Alisma orientale,Alisma,CB
ËŠÍ·,Allium chinense,10,11,10,11,Liliaceae,Allium chinense,Allium,CB
¶ÔÒ¶É½´Ğ,Allium listera,NA,NA,NA,NA,Liliaceae,Allium listera,Allium,CB
¶àÒ¶¾Â,Allium plurifoliatum,8,10,8,10,Liliaceae,Allium plurifoliatum,Allium,CB
Ï¸Ò¶¾Â,Allium tenuissimum,7,9,7,9,Liliaceae,Allium tenuissimum,Allium,CB
ÆŒ´Ğ,Allium victorialis,6,8,6,8,Liliaceae,Allium victorialis,Allium,CB
³àÑîÒ¶,Alniphyllum fortunei,4,7,8,10,Styracaceae,Alniphyllum fortunei,Alniphyllum,WD
èçÄ¾,Alnus cremastogyne,NA,NA,NA,NA,Betulaceae,Alnus cremastogyne,Alnus,WD
½­ÄÏèçÄ¾,Alnus trabeculosa,NA,NA,NA,NA,Betulaceae,Alnus trabeculosa,Alnus,WD
¿´ÂóÄï,Alopecurus aequalis,4,8,4,8,Poaceae,Alopecurus aequalis,Alopecurus,CB
ÈÕ±¾¿´ÂóÄï,Alopecurus japonicus,2,5,2,5,Poaceae,Alopecurus japonicus,Alopecurus,CB
É½½ª,Alpinia japonica,4,8,7,12,Zingiberaceae,Alpinia japonica,Alpinia,CB
Á«×Ó²İ,Alternanthera sessilis,5,7,7,9,Amaranthaceae,Alternanthera sessilis,Alternanthera,CB
°¼Í·ÜÈ,Amaranthus blitum,7,8,8,9,Amaranthaceae,Amaranthus blitum,Amaranthus,CB
ÂÌËëÜÈ,Amaranthus hybridus,7,8,9,10,Amaranthaceae,Amaranthus hybridus,Amaranthus,CB
´ÌÜÈ,Amaranthus spinosus,7,11,7,11,Amaranthaceae,Amaranthus spinosus,Amaranthus,CB
Ì©É½ÜÈ,Amaranthus taishanensis,NA,NA,NA,NA,Amaranthaceae,Amaranthus taishanensis,Amaranthus,CB
¶«ÑÇÌÆé¦,Amelanchier asiatica,4,5,8,9,Rosaceae,Amelanchier asiatica,Amelanchier,WD
ÌÆé¦,Amelanchier sinica,5,5,9,10,Rosaceae,Amelanchier sinica,Amelanchier,WD
Ë®¼¬Õë,Amethystea caerulea,8,9,9,10,Lamiaceae,Amethystea caerulea,Amethystea,CB
ÎŞÖùÀ¼,Amitostigma gracile,6,7,9,10,Orchidaceae,Amitostigma gracile,Amitostigma,CB
¶ú»ùË®ÜÈ,Ammannia auriculata,8,12,8,12,Lythraceae,Ammannia auriculata,Ammannia,CB
Ë®ÜÈ²Ë,Ammannia baccifera,8,10,9,12,Lythraceae,Ammannia baccifera,Ammannia,CB
¶à»¨Ë®ÜÈ²Ë,Ammannia multiflora,7,8,9,9,Lythraceae,Ammannia multiflora,Ammannia,CB
Ä¥Óó,Amorphophallus konjac,4,4,NA,NA,Araceae,Amorphophallus konjac,Amorphophallus,CB
Ò°Ä¥Óó,Amorphophallus variabilis,7,7,NA,NA,Araceae,Amorphophallus variabilis,Amorphophallus,CB
¹ã¶«ÉßÆÏÌÑ,Ampelopsis cantoniensis,4,7,8,11,Vitaceae,Ampelopsis cantoniensis,Ampelopsis,WD
ÓğÒ¶ÉßÆÏÌÑ,Ampelopsis chaffanjonii,NA,NA,NA,NA,Vitaceae,Ampelopsis chaffanjonii,Ampelopsis,WD
ÈıÁÑÉßÆÏÌÑ,Ampelopsis delavayana,6,8,9,11,Vitaceae,Ampelopsis delavayana,Ampelopsis,WD
ÕÆÁÑÉßÆÏÌÑ,Ampelopsis delavayana var. glabra,5,6,7,9,Vitaceae,Ampelopsis delavayana var. glabra,Ampelopsis,WD
Ã«ÈıÁÑÉßÆÏÌÑ,Ampelopsis delavayana var. setulosa,6,7,9,11,Vitaceae,Ampelopsis delavayana var. setulosa,Ampelopsis,WD
ÉßÆÏÌÑ,Ampelopsis glandulosa,4,8,7,10,Vitaceae,Ampelopsis glandulosa,Ampelopsis,WD
¶«±±ÉßÆÏÌÑ,Ampelopsis glandulosa var. brevipedunculata,NA,NA,NA,NA,Vitaceae,Ampelopsis glandulosa var. brevipedunculata,Ampelopsis,WD
¹âÒ¶ÉßÆÏÌÑ,Ampelopsis glandulosa var. hancei,4,6,8,10,Vitaceae,Ampelopsis glandulosa var. hancei,Ampelopsis,WD
ÒìÒ¶ÉßÆÏÌÑ,Ampelopsis glandulosa var. heterophylla,4,6,7,10,Vitaceae,Ampelopsis glandulosa var. heterophylla,Ampelopsis,WD
êôÁëÉßÆÏÌÑ,Ampelopsis glandulosa var. kulingensis,5,7,8,9,Vitaceae,Ampelopsis glandulosa var. kulingensis,Ampelopsis,WD
È„Ò¶ÉßÆÏÌÑ,Ampelopsis humulifolia,5,7,5,9,Vitaceae,Ampelopsis humulifolia,Ampelopsis,WD
°×İü,Ampelopsis japonica,5,6,7,9,Vitaceae,Ampelopsis japonica,Ampelopsis,WD
´óÒ¶ÉßÆÏÌÑ,Ampelopsis megalophylla,6,8,7,10,Vitaceae,Ampelopsis megalophylla,Ampelopsis,WD
ÈáÃ«´óÒ¶ÉßÆÏÌÑ,Ampelopsis megalophylla var. jiangxiensis,5,7,NA,NA,Vitaceae,Ampelopsis megalophylla var. jiangxiensis,Ampelopsis,WD
Á½ĞÍ¶¹,Amphicarpaea bracteata subsp. edgeworthii,8,11,8,11,Fabaceae,Amphicarpaea bracteata subsp. edgeworthii,Amphicarpaea,CB
Ë®¸Ê²İ,Amsonia elliptica,6,6,NA,NA,Apocynaceae,Amsonia elliptica,Amsonia,CB
É½ÌÒ,Amygdalus davidiana,3,4,7,8,Rosaceae,Amygdalus davidiana,Amygdalus,WD
ÌÒ,Amygdalus persica,3,4,8,9,Rosaceae,Amygdalus persica,Amygdalus,WD
ÓÜÒ¶Ã·,Amygdalus triloba,4,5,5,7,Rosaceae,Amygdalus triloba,Amygdalus,WD
»ÆÏÙÏãÇà,Anaphalis aureopunctata,7,9,9,10,Asteraceae,Anaphalis aureopunctata,Anaphalis,CB
»ÆÏÙÏãÇà³µÇ°Ò¶±äÖÖ,Anaphalis aureopunctata var. plantaginifolia,NA,NA,NA,NA,Asteraceae,Anaphalis aureopunctata var. plantaginifolia,Anaphalis,CB
Öé¹âÏãÇà,Anaphalis margaritacea,8,11,8,11,Asteraceae,Anaphalis margaritacea,Anaphalis,CB
ÏãÇà,Anaphalis sinica,6,9,8,10,Asteraceae,Anaphalis sinica,Anaphalis,CB
ÏãÇàÃŞÃ«±äÖÖ,Anaphalis sinica var. lanata,NA,NA,NA,NA,Asteraceae,Anaphalis sinica var. lanata,Anaphalis,CB
µãµØÃ·,Androsace umbellata,2,4,5,6,Primulaceae,Androsace umbellata,Androsace,CB
¶ìÕÆ²İ,Anemone flaccida,4,6,NA,NA,Ranunculaceae,Anemone flaccida,Anemone,CB
´òÆÆÍë»¨»¨,Anemone hupehensis,7,10,NA,NA,Ranunculaceae,Anemone hupehensis,Anemone,CB
ÇïÄµµ¤,Anemone hupehensis var. japonica,NA,NA,NA,NA,Ranunculaceae,Anemone hupehensis var. japonica,Anemone,CB
ÖØ³İµ±¹é,Angelica biserrata,8,9,9,10,Apiaceae,Angelica biserrata,Angelica,CB
³¤ÇÊµ±¹é,Angelica cartilaginomarginata,8,9,9,10,Apiaceae,Angelica cartilaginomarginata,Angelica,CB
¹ÇÔµµ±¹é,Angelica cartilaginomarginata var. foliosa,NA,NA,NA,NA,Apiaceae,Angelica cartilaginomarginata var. foliosa,Angelica,CB
º¼°×ÜÆ,Angelica dahurica cv. Hangbaizhi,NA,NA,NA,NA,Apiaceae,Angelica dahurica cv. Hangbaizhi,Angelica,CB
²ñ»¨Ç°ºú,Angelica decursiva,NA,NA,NA,NA,Apiaceae,Angelica decursiva,Angelica,CB
¹ÕÇÛ,Angelica polymorpha,8,9,9,10,Apiaceae,Angelica polymorpha,Angelica,CB
µ±¹é,Angelica sinensis,6,7,7,9,Apiaceae,Angelica sinensis,Angelica,CB
½ğÏß²İ,Antenoron filiforme,7,8,9,10,Polygonaceae,Antenoron filiforme,Antenoron,CB
½ğÏß²İ,Antenoron filiforme,7,8,9,10,Polygonaceae,Rubia membranacea,Rubia,CB
¶ÌÃ«½ğÏß²İ,Antenoron filiforme var. neofiliforme,NA,NA,NA,NA,Polygonaceae,Antenoron filiforme var. neofiliforme,Antenoron,CB
¹âïûÏã²İ,Anthoxanthum glabrum,6,9,6,9,Poaceae,Anthoxanthum glabrum,Anthoxanthum,CB
¶ë²Î,Anthriscus sylvestris,4,5,4,5,Apiaceae,Anthriscus sylvestris,Anthriscus,CB
ÈÕ±¾ÎåÔÂ²è,Antidesma japonicum,4,6,7,9,Euphorbiaceae,Antidesma japonicum,Antidesma,WD
É½µØÎåÔÂ²è,Antidesma montanum,4,7,7,11,Euphorbiaceae,Antidesma montanum,Antidesma,WD
²ÚÒ¶Ê÷,Aphananthe aspera,3,5,8,10,Ulmaceae,Aphananthe aspera,Aphananthe,WD
ÍÁˆK¶ù,Apios fortunei,6,8,9,10,Fabaceae,Apios fortunei,Apios,CB
ÈğÊÏĞ¨Ó±²İ,Apocopis wrightii,NA,NA,NA,NA,Poaceae,Apocopis wrightii,Apocopis,CB
ÂŞ²¼Âé,Apocynum venetum,4,9,7,12,Apocynaceae,Apocynum venetum,Apocynum,WD
Êó¶ú½æ,Arabidopsis thaliana,4,6,NA,NA,Brassicaceae,Arabidopsis thaliana,Arabidopsis,CB
ÙéÙëÄÏ½æ,Arabis flagellosa,3,3,4,4,Brassicaceae,Arabis flagellosa,Arabis,CB
³İÒ¶ÄÏ½æ,Arabis serrata,5,8,5,8,Brassicaceae,Arabis serrata,Arabis,CB
»ÆÃ«˜BÄ¾,Aralia chinensis,7,9,9,12,Araliaceae,Aralia chinensis,Aralia,WD
Ê³ÓÃÍÁµ±¹é,Aralia cordata,7,8,9,10,Araliaceae,Aralia cordata,Aralia,CB
Í·Ğò˜BÄ¾,Aralia dasyphylla,8,10,10,12,Araliaceae,Aralia dasyphylla,Aralia,WD
Ì¨ÍåÃ«˜BÄ¾,Aralia decaisneana,10,1,12,2,Araliaceae,Aralia decaisneana,Aralia,WD
¼¬¾¥˜BÄ¾,Aralia echinocaulis,6,8,9,11,Araliaceae,Aralia echinocaulis,Aralia,WD
˜BÄ¾,Aralia elata,6,8,9,10,Araliaceae,Aralia elata,Aralia,WD
ÈáÃ«ÁúÑÛ¶À»î,Aralia henryi,7,8,9,11,Araliaceae,Aralia henryi,Aralia,CB
Âí³¦×ÓÊ÷,Aralia tomentella,NA,NA,NA,NA,Araliaceae,Aralia tomentella,Aralia,WD
Å£İò,Arctium lappa,6,9,6,9,Asteraceae,Arctium lappa,Arctium,CB
¾Å¹ÜÑª,Ardisia brevicaulis,6,7,10,12,Myrsinaceae,Ardisia brevicaulis,Ardisia,WD
ÖìÉ°¸ù,Ardisia crenata,5,6,10,12,Myrsinaceae,Ardisia crenata,Ardisia,WD
°ÙÁ½½ğ,Ardisia crispa,5,6,10,12,Myrsinaceae,Ardisia crispa,Ardisia,WD
×Ï½ğÅ£,Ardisia japonica,5,6,11,12,Myrsinaceae,Ardisia japonica,Ardisia,WD
½õ»¨×Ï½ğÅ£,Ardisia violacea,NA,NA,NA,NA,Myrsinaceae,Ardisia violacea,Ardisia,WD
ÎŞĞÄ²Ë,Arenaria serpyllifolia,6,8,8,9,Caryophyllaceae,Arenaria serpyllifolia,Arenaria,CB
¶«±±ÄÏĞÇ,Arisaema amurense,5,5,9,9,Araceae,Arisaema amurense,Arisaema,CB
µÆÌ¨Á«,Arisaema bockii,NA,NA,NA,NA,Araceae,Arisaema bockii,Arisaema,CB
³¤ĞĞÌìÄÏĞÇ,Arisaema consanguineum,4,5,NA,NA,Araceae,Arisaema consanguineum,Arisaema,CB
ÔÆÌ¨ÄÏĞÇ,Arisaema du-bois-reymondiae,4,5,NA,NA,Araceae,Arisaema du-bois-reymondiae,Arisaema,CB
Ò»°ÑÉ¡ÄÏĞÇ,Arisaema erubescens,5,7,9,9,Araceae,Arisaema erubescens,Arisaema,CB
ÌìÄÏĞÇ,Arisaema heterophyllum,4,5,7,9,Araceae,Arisaema heterophyllum,Arisaema,CB
