scientific name,Chinese name,genus name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Allium anisopodium var. zimmermannianum,²Úİã¾Â,NA,Liliaceae,6,9,6,9,CB
Allium bidentatum,É°¾Â,Allium,Liliaceae,7,8,7,9,CB
Allium condensatum,»Æ»¨¾Â,NA,Liliaceae,7,8,10,10,CB
Allium ledebourianum,Ó²Æ¤´Ğ,NA,Liliaceae,6,9,6,9,CB
Allium listera,¶ÔÒ¶É½´Ğ,NA,Liliaceae,6,8,6,8,CB
Allium longistylum,³¤Öù¾Â,Allium,Liliaceae,8,9,8,9,CB
Allium monanthum,µ¥»¨Ş¯,NA,Liliaceae,4,5,5,5,CB
Allium mongolicum,ÃÉ¹Å¾Â,NA,Liliaceae,6,7,8,9,CB
Allium neriniflorum,³¤¹£ºÏ±»¾Â,NA,Liliaceae,7,8,9,10,CB
Allium prostratum,ÃÉ¹ÅÒ°¾Â,NA,Liliaceae,7,8,7,8,CB
Allium ramosum,Ò°¾Â,NA,Liliaceae,8,9,6,9,CB
Allium sacculiferum,³¯ÏÊŞ¯,NA,Liliaceae,8,9,NA,NA,CB
Allium senescens,É½¾Â,NA,Liliaceae,7,8,8,9,CB
Allium spirale,Å¤Ò¶¾Â,NA,Liliaceae,7,8,NA,NA,CB
Allium spurium,ÑÒ¾Â,NA,Liliaceae,7,8,NA,NA,CB
Allium tenuissimum,Ï¸Ò¶¾Â,Allium,Liliaceae,6,7,8,9,CB
Allium thunbergii,ÇòĞò¾Â,Allium,Liliaceae,8,9,9,10,CB
Allium tuberosum,¾Â,NA,Liliaceae,7,8,8,9,CB
Allium victorialis,ÆŒ´Ğ,Allium,Liliaceae,5,5,8,8,CB
Alnus hirsuta,ÁÉ¶«èçÄ¾,NA,Betulaceae,5,7,7,8,WD
Alnus japonica,ÈÕ±¾èçÄ¾,NA,Betulaceae,5,7,7,8,WD
Alnus mandshurica,¶«±±èçÄ¾,NA,Betulaceae,5,7,7,8,WD
Amethystea caerulea,Ë®¼¬Õë,Amethystea,Lamiaceae,8,9,9,10,CB
Amitostigma gracile,ÎŞÖùÀ¼,Amitostigma,Orchidaceae,6,7,9,10,CB
Ammannia baccifera,Ë®ÜÈ²Ë,NA,Lythraceae,8,10,9,12,CB
Ampelopsis aconitifolia,ÎÚÍ·Ò¶ÉßÆÏÌÑ,Ampelopsis,Vitaceae,6,7,7,9,WD
Ampelopsis delavayana var. glabra,ÕÆÁÑÉßÆÏÌÑ,NA,Vitaceae,5,6,7,9,WD
Ampelopsis glandulosa var. brevipedunculata,¶«±±ÉßÆÏÌÑ,NA,Vitaceae,7,8,9,10,WD
Ampelopsis glandulosa var. heterophylla,ÒìÒ¶ÉßÆÏÌÑ,NA,Vitaceae,4,6,7,10,WD
Ampelopsis humulifolia,È„Ò¶ÉßÆÏÌÑ,Ampelopsis,Vitaceae,6,7,8,9,WD
Ampelopsis japonica,°×İü,Ampelopsis,Vitaceae,6,7,8,9,WD
Amphicarpaea bracteata subsp. edgeworthii,Á½ĞÍ¶¹,NA,Fabaceae,NA,NA,NA,NA,CB
Amygdalus davidiana,É½ÌÒ,NA,Rosaceae,3,4,7,8,WD
Amygdalus persica,ÌÒ,NA,Rosaceae,3,4,8,9,WD
Amygdalus triloba,ÓÜÒ¶Ã·,NA,Rosaceae,4,5,5,7,WD
Androsace filiformis,¶«±±µãµØÃ·,Androsace,Primulaceae,5,5,6,6,CB
Androsace umbellata,µãµØÃ·,Androsace,Primulaceae,4,5,6,6,CB
Anemarrhena asphodeloides,ÖªÄ¸,NA,Liliaceae,5,6,8,9,CB
Anemone amurensis,ºÚË®ÒøÁ«»¨,Anemone,Ranunculaceae,5,5,6,7,CB
Anemone baicalensis,Ã«¹ûÒøÁ«»¨,Anemone,Ranunculaceae,5,6,6,7,CB
Anemone baicalensis var. rossii,Ï¸¾¥ÒøÁ«»¨,NA,Ranunculaceae,5,6,NA,NA,CB
Anemone raddeana,¶à±»ÒøÁ«»¨,Anemone,Ranunculaceae,4,5,NA,NA,CB
Anemone reflexa,·´İàÒøÁ«»¨,NA,Ranunculaceae,5,5,6,6,CB
Anemone umbrosa,ÒõµØÒøÁ«»¨,Anemone,Ranunculaceae,5,6,6,7,CB
Angelica amurensis,ºÚË®µ±¹é,Angelica,Apiaceae,7,8,8,9,CB
Angelica anomala,ÏÁÒ¶µ±¹é,NA,Apiaceae,7,8,8,9,CB
Angelica cartilaginomarginata,³¤ÇÊµ±¹é,Angelica,Apiaceae,8,9,9,10,CB
Angelica cincta,ºş±±µ±¹é,NA,Apiaceae,8,8,NA,NA,CB
Angelica dahurica,°×ÜÆ,Angelica,Apiaceae,7,8,8,9,CB
Angelica decursiva,²ñ»¨Ç°ºú,NA,Apiaceae,8,9,9,11,CB
Angelica gigas,³¯ÏÊµ±¹é,Angelica,Apiaceae,7,8,8,9,CB
Angelica polymorpha,¹ÕÇÛ,Angelica,Apiaceae,8,9,9,10,CB
Anthoxanthum glabrum,¹âïûÏã²İ,NA,Poaceae,6,9,6,9,CB
Anthoxanthum monticola,¸ßÉ½Ã©Ïã,NA,Poaceae,7,8,7,8,CB
Anthriscus sylvestris,¶ë²Î,Anthriscus,Apiaceae,4,5,4,5,CB
Anthriscus sylvestris subsp. nemorosa,´Ì¹û¶ë²Î,NA,Apiaceae,NA,NA,NA,NA,CB
Apocynum venetum,ÂŞ²¼Âé,NA,Apocynaceae,6,8,9,10,WD
Aquilegia japonica,°×É½ñï¶·²Ë,NA,Ranunculaceae,7,7,8,8,CB
Aquilegia oxysepala,¼âİàñï¶·²Ë,Aquilegia,Ranunculaceae,5,6,7,7,CB
Aquilegia viridiflora,ñï¶·²Ë,NA,Ranunculaceae,5,7,7,8,CB
Aquilegia viridiflora var. atropurpurea,×Ï»¨ñï¶·²Ë,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aquilegia yabeana,»ª±±ñï¶·²Ë,Aquilegia,Ranunculaceae,6,7,7,9,CB
Arabis hirsuta,Ó²Ã«ÄÏ½æ,NA,Brassicaceae,4,8,5,9,CB
Arabis pendula,´¹¹ûÄÏ½æ,NA,Brassicaceae,6,8,7,9,CB
Aralia continentalis,¶«±±ÍÁµ±¹é,NA,Araliaceae,7,8,8,10,CB
Aralia cordata,Ê³ÓÃÍÁµ±¹é,NA,Araliaceae,NA,NA,NA,NA,CB
Aralia elata,˜BÄ¾,Aralia,Araliaceae,8,8,9,9,WD
Aralia elata var. glabrescens,ÁÉ¶«˜BÄ¾,NA,Araliaceae,NA,NA,NA,NA,WD
Arenaria juncea,ÀÏÅ£½î,NA,Caryophyllaceae,7,8,8,9,CB
Arenaria juncea var. glabra,ÎŞÃ«ÀÏÅ£½î,NA,Caryophyllaceae,NA,NA,NA,NA,CB
Arisaema amurense,¶«±±ÄÏĞÇ,Arisaema,Araceae,5,6,8,9,CB
Arisaema heterophyllum,ÌìÄÏĞÇ,Arisaema,Araceae,5,6,8,9,CB
Arisaema serratum,Ï¸³İÄÏĞÇ,Arisaema,Araceae,5,6,NA,NA,CB
Aristida adscensionis,ÈıÃ¢²İ,Aristida,Poaceae,7,10,7,10,CB
Aristolochia contorta,±±Âí¶µÁå,Aristolochia,Aristolochiaceae,7,8,9,10,CB
Aristolochia manshuriensis,Ä¾Í¨Âí¶µÁå,Aristolochia,Aristolochiaceae,5,5,8,9,WD
Armeniaca mandshurica,¶«±±ĞÓ,Armeniaca,Rosaceae,4,5,7,7,WD
Armeniaca mandshurica var. glabra,¹âÒ¶¶«±±ĞÓ,NA,Rosaceae,NA,NA,NA,NA,WD
Armeniaca sibirica,É½ĞÓ,NA,Rosaceae,4,4,6,7,WD
Armeniaca sibirica var. pleniflora,ÁÉÄşĞÓ,NA,Rosaceae,NA,NA,NA,NA,WD
Armeniaca vulgaris,ĞÓ,NA,Rosaceae,4,4,6,7,WD
Armeniaca vulgaris var. ansu,Ò°ĞÓ,NA,Rosaceae,NA,NA,NA,NA,WD
Artemisia anethifolia,¼îİï,NA,Asteraceae,7,8,8,9,CB
Artemisia anethoides,İªÂÜİï,Artemisia,Asteraceae,7,8,8,9,CB
Artemisia angustissima,ÏÁÒ¶Äµİï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia argyi,°¬,Artemisia,Asteraceae,8,9,9,10,CB
Artemisia argyi var. gracilis,³¯ÏÊ°¬,NA,Asteraceae,NA,NA,NA,NA,CB
Artemisia aurata,»Æ½ğİï,NA,Asteraceae,8,11,8,11,CB
Artemisia brachyloba,É½İï,Artemisia,Asteraceae,8,9,9,10,WD
Artemisia brachyphylla,¸ßÁëİï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia capillaris,Òğ³Âİï,NA,Asteraceae,8,9,9,10,CB
Artemisia carvifolia,Çàİï,Artemisia,Asteraceae,6,9,6,9,CB
Artemisia chienshanica,Ç§É½İï,Artemisia,Asteraceae,8,8,9,9,WD
Artemisia desertorum,É³İï,NA,Asteraceae,8,10,8,10,CB
Artemisia dracunculus,Áúİï,Artemisia,Asteraceae,7,10,7,10,WD
Artemisia eriopoda,ÄÏÄµİï,NA,Asteraceae,7,8,9,10,CB
Artemisia freyniana,ÂÌèÎ³İÒ¶İï,Artemisia,Asteraceae,8,10,8,10,WD
Artemisia frigida,Àäİï,Artemisia,Asteraceae,8,9,9,10,CB
Artemisia gmelinii,Ï¸ÁÑÒ¶Á«İï,Artemisia,Asteraceae,8,9,9,10,WD
Artemisia halodendron,ÑÎİï,NA,Asteraceae,6,7,8,9,WD
Artemisia igniaria,Æç¾¥İï,Artemisia,Asteraceae,8,8,9,10,WD
Artemisia indica,ÎåÔÂ°¬,Artemisia,Asteraceae,8,10,8,10,WD
Artemisia integrifolia,ÁøÒ¶İï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia japonica,Äµİï,Artemisia,Asteraceae,8,9,9,10,CB
Artemisia keiskeana,ÈC&#x0000E027;,Artemisia,Asteraceae,7,9,9,10,WD
Artemisia lancea,°«İï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia latifolia,¿íÒ¶İï,NA,Asteraceae,7,10,7,10,CB
Artemisia lavandulifolia,Ò°°¬İï,NA,Asteraceae,7,10,7,10,CB
Artemisia macilenta,Ï¸¸ËÉ³İï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia manshurica,¶«±±Äµİï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia mongolica,ÃÉ¹Åİï,NA,Asteraceae,8,10,8,10,CB
Artemisia nakai,°«±õİï,Artemisia,Asteraceae,7,9,9,10,CB
Artemisia oxycephala,¹âÉ³İï,Artemisia,Asteraceae,8,9,9,10,WD
Artemisia oxycephala var. sporadantha,Êè»¨¹âÉ³İï,NA,Asteraceae,NA,NA,NA,NA,WD
Artemisia palustris,ºÚİï,Artemisia,Asteraceae,8,9,9,10,CB
Artemisia princeps,¿ıİï,Artemisia,Asteraceae,7,10,7,10,CB
Artemisia pubescens,ÈáÃ«İï,Artemisia,Asteraceae,8,10,8,10,CB
Artemisia pubescens var. gebleriana,´óÍ·ÈáÃ«İï,NA,Asteraceae,NA,NA,NA,NA,CB
Artemisia rubripes,ºì×ãİï,Artemisia,Asteraceae,8,8,9,10,CB
Artemisia sacrorum,°×Á«İï,NA,Asteraceae,NA,NA,NA,NA,WD
Artemisia sacrorum var. incana,»ÒÁ«İï,NA,Asteraceae,NA,NA,NA,NA,WD
Artemisia sacrorum var. messerschmidtiana,ÃÜÃ«°×Á«İï,NA,Asteraceae,NA,NA,NA,NA,WD
Artemisia scoparia,ÖíÃ«İï,Artemisia,Asteraceae,7,8,9,10,CB
Artemisia selengensis,İäİï,Artemisia,Asteraceae,7,10,7,10,CB
Artemisia sieversiana,´ó×Ñİï,Artemisia,Asteraceae,7,8,8,9,CB
Artemisia stolonifera,¿íÒ¶É½İï,NA,Asteraceae,7,9,9,10,CB
Artemisia subulata,ÏßÒ¶İï,NA,Asteraceae,NA,NA,NA,NA,CB
Artemisia sylvatica,ÒõµØİï,Artemisia,Asteraceae,8,8,8,9,CB
Artemisia verbenacea,ÁÉ¶«İï,Artemisia,Asteraceae,8,8,9,9,CB
Artemisia vestita,Ã«Á«İï,Artemisia,Asteraceae,9,10,9,10,WD
Artemisia viridissima,ÁÖ°¬İï,Artemisia,Asteraceae,7,10,7,10,CB
Arthraxon hispidus,İ£²İ,Arthraxon,Poaceae,8,10,8,10,CB
Arthraxon hispidus var. centrasiaticus,ÖĞÑÇİ£²İ,NA,Poaceae,8,9,8,9,CB
Aruncus sylvester,¼ÙÉıÂé,Aruncus,Rosaceae,5,7,7,9,CB
Arundinella hirta,Ã«¸ÑÒ°¹Å²İ,Arundinella,Poaceae,8,10,8,10,CB
Asarum heterotropoides,¿âÒ³Ï¸ĞÁ,NA,Aristolochiaceae,5,5,6,8,CB
Asarum sieboldii,ºº³ÇÏ¸ĞÁ,NA,Aristolochiaceae,5,5,6,6,CB
Asparagus brachyphyllus,ÅÊÔ®ÌìÃÅ¶¬,Asparagus,Liliaceae,5,6,8,8,CB
Asparagus dauricus,ĞË°²ÌìÃÅ¶¬,Asparagus,Liliaceae,5,6,7,8,CB
Asparagus longiflorus,³¤»¨ÌìÃÅ¶¬,NA,Liliaceae,4,5,6,8,CB
Asparagus officinalis,Ê¯µó°Ø,NA,Liliaceae,5,6,9,10,CB
Asparagus oligoclonos,ÄÏÓñ´ø,NA,Liliaceae,5,6,7,8,CB
Asparagus schoberioides,ÁúĞë²Ë,Asparagus,Liliaceae,5,6,8,9,CB
Asparagus trichophyllus,ÇúÖ¦ÌìÃÅ¶¬,Asparagus,Liliaceae,5,5,6,7,CB
Aster maackii,Ô²°ú×ÏİÒ,Aster,Asteraceae,8,10,8,10,CB
Aster tataricus,×ÏİÒ,NA,Asteraceae,7,9,9,10,CB
Astilbe chinensis,ÂäĞÂ¸¾,NA,Saxifragaceae,6,9,6,9,CB
Astilbe grandis,´óÂäĞÂ¸¾,Astilbe,Saxifragaceae,6,9,6,9,CB
Astilboides tabularis,´óÒ¶×Ó,Astilboides,Saxifragaceae,6,7,8,9,CB
Astragalus adsurgens,Ğ±¾¥»ÆêÈ,NA,Fabaceae,6,8,8,10,CB
Astragalus capillipes,²İÖé»ÆêÈ,NA,Fabaceae,7,9,9,10,CB
Astragalus chinensis,»ª»ÆêÈ,NA,Fabaceae,NA,NA,NA,NA,CB
Astragalus complanatus,±³±â»ÆêÈ,NA,Fabaceae,8,9,9,10,CB
Astragalus dahuricus,´ïÎÚÀï»ÆêÈ,NA,Fabaceae,7,9,8,10,CB
Astragalus melilotoides,²İÄ¾éØ×´»ÆêÈ,NA,Fabaceae,7,8,8,9,CB
Astragalus melilotoides var. tenuis,Ï¸Ò¶»ÆêÈ,NA,Fabaceae,NA,NA,NA,NA,CB
Astragalus scaberrimus,²ÚÒ¶»ÆêÈ,Astragalus,Fabaceae,4,8,5,9,CB
Asyneuma japonicum,ÄÁ¸ù²İ,Asyneuma,Campanulaceae,7,8,9,9,CB
Atractylodes coreana,³¯ÏÊ²ÔÊõ,Atractylodes,Asteraceae,7,9,7,9,CB
Atractylodes japonica,¹Ø²ÔÊõ,NA,Asteraceae,8,9,9,10,CB
Atractylodes lancea,²ÔÊõ,Atractylodes,Asteraceae,6,10,6,10,CB
Atraphaxis manshurica,¶«±±Ä¾Ş¤,NA,Polygonaceae,7,9,7,9,WD
Atriplex centralasiatica,ÖĞÑÇ±õŞ¼,NA,Chenopodiaceae,7,8,8,9,CB
Atriplex fera,Ò°±õŞ¼,Atriplex,Chenopodiaceae,7,8,8,9,CB
Atriplex sibirica,Î÷²®ÀûÑÇ±õŞ¼,Atriplex,Chenopodiaceae,7,8,8,9,CB
Axyris amaranthoides,ÖáŞ¼,NA,Chenopodiaceae,8,9,8,9,CB
Barbarea orthoceras,É½½æ,Barbarea,Brassicaceae,6,7,7,8,CB
Barnardia japonica,ÃàÔæ¶ù,Barnardia,Liliaceae,7,11,7,11,CB
Bassia dasyphylla,Îí±ùŞ¼,Bassia,Chenopodiaceae,7,9,7,9,CB
Batrachium bungei,Ë®Ã«İ¢,NA,Ranunculaceae,NA,NA,NA,NA,CB
Batrachium trichophyllum,Ã«±úË®Ã«İ¢,NA,Ranunculaceae,NA,NA,NA,NA,CB
Beckmannia syzigachne var. hirsutiflora,Ã«Ó±ÈD²İ,NA,Poaceae,NA,NA,NA,NA,CB
Belamcanda chinensis,Éä¸É,NA,Iridaceae,7,9,8,10,CB
Berberis amurensis,»ÆÂ«Ä¾,NA,Berberidaceae,5,6,8,9,WD
Berberis poiretii,Ï¸Ò¶Ğ¡éŞ,NA,Berberidaceae,5,6,8,9,WD
Berteroa incana,ÍÅÉÈÜù,Berteroa,Brassicaceae,6,7,6,7,CB
Berteroella maximowiczii,×¶¹û½æ,Berteroella,Brassicaceae,5,6,6,7,CB
Betula chinensis,¼áèë,NA,Betulaceae,5,6,7,8,WD
Betula costata,Ë¶èë,NA,Betulaceae,5,6,7,9,WD
Betula dahurica,ºÚèë,NA,Betulaceae,6,7,7,8,WD
Betula ermanii,ÔÀèë,NA,Betulaceae,6,7,7,8,WD
Betula fruticosa,²ñèë,NA,Betulaceae,6,7,7,8,WD
Betula platyphylla,°×èë,NA,Betulaceae,6,7,7,9,WD
Betula schmidtii,ÈüºÚèë,NA,Betulaceae,5,5,9,10,WD
Bidens cernua,ÁøÒ¶¹íÕë²İ,NA,Asteraceae,6,8,9,10,CB
Bidens parviflora,Ğ¡»¨¹íÕë²İ,NA,Asteraceae,6,8,9,10,CB
Blysmus rufus,ÄÚÃÉ¹Å±âËë²İ,NA,Cyperaceae,6,9,6,9,CB
Blyxa japonica,Ë®É¸,NA,Hydrocharitaceae,5,10,5,10,CB
Boea hygrometrica,ĞıİôÜÄÌ¦,Boea,Gesneriaceae,7,8,9,9,CB
Boehmeria silvestrii,³àÂé,Boehmeria,Urticaceae,7,8,8,9,CB
Boehmeria spicata,Ğ¡³àÂé,Boehmeria,Urticaceae,6,8,8,9,CB
Bolboschoenus yagara,¾£Èı¶ ,NA,Cyperaceae,5,7,5,7,CB
Bolbostemma paniculatum,¼Ù±´Ä¸,NA,Cucurbitaceae,6,8,8,9,CB
Bothriochloa ischaemum,°×Ñò²İ,NA,Poaceae,7,10,7,10,CB
Bothriospermum chinense,°ßÖÖ²İ,Bothriospermum,Boraginaceae,5,8,5,8,CB
Bothriospermum kusnezowii,ÏÁ°ú°ßÖÖ²İ,Bothriospermum,Boraginaceae,5,8,5,8,CB
Bothriospermum secundum,¶à°ú°ßÖÖ²İ,Bothriospermum,Boraginaceae,5,8,5,8,CB
Bothriospermum zeylanicum,ÈáÈõ°ßÖÖ²İ,Bothriospermum,Boraginaceae,2,10,2,10,CB
Brachyactis ciliata,¶ÌĞÇ¾Õ,NA,Asteraceae,8,9,9,10,CB
Brachybotrys paridiformis,É½ÇÑ×Ó,NA,Boraginaceae,6,8,6,8,CB
Brachypodium sylvaticum,¶Ì±ú²İ,Brachypodium,Poaceae,7,9,7,9,CB
Bromus inermis,ÎŞÃ¢È¸Âó,Bromus,Poaceae,6,8,6,8,CB
Bromus remotiflorus,Êè»¨È¸Âó,Bromus,Poaceae,6,7,6,7,CB
Broussonetia papyrifera,¹¹Ê÷,NA,Moraceae,4,5,6,7,WD
Brucea javanica,Ñ»µ¨×Ó,NA,Simaroubaceae,6,7,8,10,WD
Bulbostylis barbata,ÇòÖù²İ,Bulbostylis,Cyperaceae,4,10,4,10,CB
