scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Amaranthaceae,Achyranthes,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,6,8,9,2,Amaranthaceae,Achyranthes,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Lamiaceae,Achyrospermum,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Lamiaceae,Achyrospermum,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum delavayi,×ÏÎÚÍ·,8,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum episcopale,Î÷ÄÏÎÚÍ·,7,11,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum hemsleyanum,¹ÏÒ¶ÎÚÍ·,8,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum racemulosum,ÑÒÎÚÍ·,9,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum scaposum,»¨İãÎÚÍ·,8,8,9,10,Ranunculaceae,Aconitum,CB
Aconitum sinomontanum,¸ßÎÚÍ·,8,9,9,9,Ranunculaceae,Aconitum,CB
Aconitum vilmorinianum,»Æ²İÎÚ,8,10,NA,NA,Ranunculaceae,Aconitum,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Araceae,Acorus,CB
Acorus gramineus,½ğÇ®ÆÑ,5,10,5,10,Araceae,Acorus,CB
Acorus rumphianus,³¤°úİÅÆÑ,5,6,7,8,Araceae,Acorus,CB
Acorus tatarinowii,Ê¯İÅÆÑ,2,7,7,8,Araceae,Acorus,CB
Acrocarpus fraxinifolius,¶¥¹ûÊ÷,NA,NA,NA,NA,Fabaceae,Acrocarpus,WD
Acrocephalus hispidus,¼âÍ·»¨,NA,NA,NA,NA,Lamiaceae,Acrocephalus,CB
Acroglochin persicarioides,Ç§ÕëÜÈ,6,11,6,11,Chenopodiaceae,Acroglochin,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,9,Ranunculaceae,Actaea,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,6,7,8,9,Actinidiaceae,Actinidia,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,4,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia callosa var. discolor,ÒìÉ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia callosa var. strigillosa,Ã«Ò¶Ó²³İâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia chinensis var. deliciosa,ÃÀÎ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia chrysantha,½ğ»¨â¨ºïÌÒ,5.15,5.15,11,11,Actinidiaceae,Actinidia,WD
Actinidia cylindrica,Öù¹ûâ¨ºïÌÒ,5,5,10,10,Actinidiaceae,Actinidia,WD
Actinidia cylindrica var. reticulata,ÍøÂöâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia eriantha,Ã«»¨â¨ºïÌÒ,5,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia fortunatii,ÌõÒ¶â¨ºïÌÒ,5,6,7,8,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma,»ÆÃ«â¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. cinerascens,»ÒÃ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. hirsuta,²ÚÃ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia grandiflora,´ó»¨â¨ºïÌÒ,5,6,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia hemsleyana,³¤Ò¶â¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia henryi,ÃÉ×Ôâ¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia indochinensis,ÖĞÔ½â¨ºïÌÒ,3,4,9,10,Actinidiaceae,Actinidia,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,4,7,9,10,Actinidiaceae,Actinidia,WD
Actinidia laevissima,»¬Ò¶â¨ºïÌÒ,5,6,7,8,Actinidiaceae,Actinidia,WD
Actinidia lanceolata,Ğ¡Ò¶â¨ºïÌÒ,5.15,6.15,11,11,Actinidiaceae,Actinidia,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,5,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia melanandra,ºÚÈïâ¨ºïÌÒ,5,7,8,10,Actinidiaceae,Actinidia,WD
Actinidia obovata,µ¹ÂÑÒ¶â¨ºïÌÒ,5,6,9,9,Actinidiaceae,Actinidia,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,6,7,8,9,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis,ºì¾¥â¨ºïÌÒ,4,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis var. coriacea,¸ïÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia rufotricha,ºìÃ«â¨ºïÌÒ,5,6,7,8,Actinidiaceae,Actinidia,WD
Actinidia rufotricha var. glomerata,ÃÜ»¨â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia sorbifolia,»¨é±â¨ºïÌÒ,NA,NA,7,9,Actinidiaceae,Actinidia,WD
Actinidia styracifolia,°²Ï¢Ïãâ¨ºïÌÒ,5,5,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia trichogyna,Ã«Èïâ¨ºïÌÒ,5,7,10,10,Actinidiaceae,Actinidia,WD
Actinidia venosa,ÏÔÂöâ¨ºïÌÒ,5,7,9,9,Actinidiaceae,Actinidia,WD
Actinodaphne cupularis,ºì¹û»ÆÈâéª,10,11,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne forrestii,Ã«¼âÊ÷,11,3,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne kweichowensis,Ç­¹ğ»ÆÈâéª,5,6,10,10,Lauraceae,Actinodaphne,WD
Actinodaphne lecomtei,ÁøÒ¶»ÆÈâéª,8,9,10,11,Lauraceae,Actinodaphne,WD
Actinodaphne omeiensis,¶ëÃ¼»ÆÈâéª,2,3,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne trichocarpa,Ã«¹û»ÆÈâéª,3,4,7,8,Lauraceae,Actinodaphne,WD
Actinostemma tenerum,ºĞ×Ó²İ,7,9,9,11,Cucurbitaceae,Actinostemma,CB
Adelostemma gracillimum,ÈéÍ»¹û,9,11,NA,NA,Asclepiadaceae,Adelostemma,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Asteraceae,Adenocaulon,CB
Adenophora capillaris,Ë¿ÁÑÉ³²Î,7,8,NA,NA,Campanulaceae,Adenophora,CB
Adenophora longipedicellata,ºş±±É³²Î,8,10,8,10,Campanulaceae,Adenophora,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora sinensis,ÖĞ»ªÉ³²Î,8,10,8,10,Campanulaceae,Adenophora,CB
Adenophora stricta,´¨Î÷É³²Î,8,11,NA,NA,Campanulaceae,Adenophora,CB
Adenophora stricta subsp. aurita,´¨Î÷É³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora stricta subsp. sessilifolia,ÎŞ±úÉ³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,2,11,5,11,Campanulaceae,Adenophora,CB
Adenosma glutinosum,Ã«÷êÏã,7,10,7,10,Scrophulariaceae,Adenosma,CB
Adenosma indianum,Çò»¨Ã«ÉäÏã,9,11,9,11,Scrophulariaceae,Adenosma,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Asteraceae,Adenostemma,CB
Adenostemma lavenia var. latifolium,ÏÂÌï¾Õ¿íÒ¶±äÖÖ,NA,NA,NA,NA,Asteraceae,Adenostemma,CB
Adina pilulifera,Ë®ÍÅ»¨,6,7,7,12,Rubiaceae,Adina,WD
Adina rubella,Ï¸Ò¶Ë®ÍÅ»¨,5,12,5,12,Rubiaceae,Adina,WD
Adinandra bockiana,´¨ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adinandra bockiana var. acutifolia,¼âİà´¨ÑîÍ©,6,8,9,11,Theaceae,Adinandra,WD
Adinandra glischroloma,Á½¹ãÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. macrosepala,´óİàÑîÍ©,5,7,9,9,Theaceae,Adinandra,WD
Adinandra hirta,´ÖÃ«ÑîÍ©,4,5,7,8,Theaceae,Adinandra,WD
Adinandra hirta var. macrobracteata,´ó°ú´ÖÃ«ÑîÍ©,NA,NA,NA,NA,Theaceae,Adinandra,WD
Adinandra megaphylla,´óÒ¶ÑîÍ©,6,7,10,11,Theaceae,Adinandra,WD
Adinandra millettii,ÑîÍ©,5,7,8,10,Theaceae,Adinandra,WD
Adinandra nitida,ÁÁÒ¶ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adonis davidii,¶ÌÖù²à½ğÕµ»¨,4,8,NA,NA,Ranunculaceae,Adonis,CB
Aeginetia acaulis,¶Ì¹£Ò°İÔ,4,6,6,8,Orobanchaceae,Aeginetia,CB
Aeginetia indica,Ò°İÔ,9,9,11,11,Orobanchaceae,Aeginetia,CB
Aerides rosea,¶à»¨Ö¸¼×À¼,7,7,8,5,Orchidaceae,Aerides,CB
Aerva glabrata,ÉÙÃ«°×»¨ÜÈ,4,10,4,10,Amaranthaceae,Aerva,CB
Aerva sanguinolenta,°×»¨ÜÈ,4,6,8,10,Amaranthaceae,Aerva,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,10,12,12,5,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus austroyunnanensis var. guangxiensis,¹ãÎ÷Ã¢Ã«ÜÄÌ¦,7,7,12,12,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus buxifolius,»ÆÑîÒ¶Ã¢Ã«ÜÄÌ¦,6,11,11,11,Gesneriaceae,Aeschynanthus,WD
Aesculus assamica,³¤±úÆßÒ¶Ê÷,2,5,6,10,Hippocastanaceae,Aesculus,WD
Aesculus chinensis var. wilsonii,ÌìÊ¦Àõ,NA,NA,NA,NA,Hippocastanaceae,Aesculus,WD
Aesculus tsiangii,Ğ¡¹ûÆßÒ¶Ê÷,4,4,9,9,Hippocastanaceae,Aesculus,WD
Aesculus wangii,ÔÆÄÏÆßÒ¶Ê÷,4,5,10,10,Hippocastanaceae,Aesculus,WD
Aganosma marginata,Ïã»¨ÌÙ,3,9,6,12,Apocynaceae,Aganosma,WD
Aganosma schlechteriana,º£ÄÏÏã»¨ÌÙ,3,7,8,2,Apocynaceae,Aganosma,WD
Agapetes angulata,ÀâÖ¦Ê÷ÂÜ²·,2,3,5,5,Ericaceae,Agapetes,WD
Agapetes lacei,µÆÁı»¨,1,6,7,7,Ericaceae,Agapetes,WD
Agapetes rubrobracteata,ºì°úÊ÷ÂÜ²·,6,7,7,8,Ericaceae,Agapetes,WD
Agastache rugosa,Ş½Ïã,6,9,9,11,Lamiaceae,Agastache,CB
Aglaia elaeagnoidea,É½é¡,6,10,7,4,Meliaceae,Aglaia,WD
Aglaia lawii,ÍûÚÓÑÂÄ¦,5,12,1,12,Meliaceae,Aglaia,WD
Aglaia odorata,Ã××ĞÀ¼,5,12,7,3,Meliaceae,Aglaia,WD
Agrimonia nipponica var. occidentalis,Ğ¡»¨ÁúÑ¿²İ,8,11,8,11,Rosaceae,Agrimonia,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Rosaceae,Agrimonia,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,Rosaceae,Agrimonia,CB
Agrostis brachiata,´ó×¶¼ô¹ÉÓ±,7,8,7,8,Poaceae,Agrostis,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,6,11,6,11,Poaceae,Agrostis,CB
Agrostis micrantha,¶à»¨¼ô¹ÉÓ±,8,8,8,8,Poaceae,Agrostis,CB
Agrostis sozanensis,Ì¨Íå¼ô¹ÉÓ±,6,11,6,11,Poaceae,Agrostis,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,7,9,7,9,Poaceae,Agrostis,CB
Aidia canthioides,Ïãéª,4,6,5,2,Rubiaceae,Aidia,WD
Aidia cochinchinensis,ÜçÊ÷,3,6,5,2,Rubiaceae,Aidia,WD
Aidia pycnantha,¶àÃ«Üç²İÊ÷,3,9,4,12,Rubiaceae,Aidia,WD
Ailanthus altissima,³ô´»,4,5,8,10,Simaroubaceae,Ailanthus,WD
Ailanthus altissima var. sutchuenensis,´ó¹û³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ailanthus vilmoriniana,´Ì³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ainsliaea bonatii,ĞÄÒ¶ÍÃ¶ù·ç,10,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea elegans,ĞãÀöÍÃ¶ù·ç,11,3,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,11,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea glabra,¹âÒ¶ÍÃ¶ù·ç,8,10,8,10,Asteraceae,Ainsliaea,CB
Ainsliaea gracilis,ÏËÖ¦ÍÃ¶ù·ç,6,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea grossedentata,´Ö³İÍÃ¶ù·ç,8,8,8,8,Asteraceae,Ainsliaea,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,6,10,6,10,Asteraceae,Ainsliaea,CB
Ainsliaea lancifolia,ÄÂÆºÍÃ¶ù·ç,7,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea latifolia,¿íÒ¶ÍÃ¶ù·ç,7,11,7,11,Asteraceae,Ainsliaea,CB
Ainsliaea macroclinidioides,µÆÌ¨ÍÃ¶ù·ç,8,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea mairei,Ò©É½ÍÃ¶ù·ç,7,7,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea nervosa,Ö±ÂöÍÃ¶ù·ç,5,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea ramosa,Á«ãûÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea rubrifolia,ºì±³ÍÃ¶ù·ç,5,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea sutchuenensis,ËÄ´¨ÍÃ¶ù·ç,4,5,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea tenuicaulis,Ï¸¾¥ÍÃ¶ù·ç,4,7,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea trinervis,ÈıÂöÍÃ¶ù·ç,7,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea walkeri,»ªÄÏÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea yunnanensis,ÔÆÄÏÍÃ¶ù·ç,7,11,7,11,Asteraceae,Ainsliaea,CB
Ajuga decumbens,½ğ´¯Ğ¡²İ,3,7,5,11,Lamiaceae,Ajuga,CB
Ajuga decumbens var. oblancifolia,½ğ´¯Ğ¡²İÏÁÒ¶±äÖÖ,NA,NA,NA,NA,Lamiaceae,Ajuga,CB
Ajuga lupulina var. major,°×°ú½î¹Ç²İ³İ°ú±äÖÖ,NA,NA,NA,NA,Lamiaceae,Ajuga,CB
Ajuga macrosperma,´ó×Ñ½î¹Ç²İ,1,3,3,5,Lamiaceae,Ajuga,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,1,6,3,7,Lamiaceae,Ajuga,CB
Akebia quinata,Ä¾Í¨,4,5,6,8,Lardizabalaceae,Akebia,WD
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,5,5,8,9,Lardizabalaceae,Akebia,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,Lardizabalaceae,Akebia,WD
Alangium chinense,°Ë½Ç·ã,5,7,7,11,Alangiaceae,Alangium,WD
Alangium chinense subsp. pauciflorum,Ï¡»¨°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium chinense subsp. strigosum,·üÃ«°Ë½Ç·ã,6,7,8,9,Alangiaceae,Alangium,WD
Alangium chinense subsp. triangulare,ÉîÁÑ°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium faberi,Ğ¡»¨°Ë½Ç·ã,6,6,9,9,Alangiaceae,Alangium,WD
Alangium faberi var. heterophyllum,ÒìÒ¶°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium faberi var. perforatum,Ğ¡Ò¶°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium faberi var. platyphyllum,À«Ò¶°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium kurzii,Ã«°Ë½Ç·ã,5,6,8,9,Alangiaceae,Alangium,WD
Alangium kurzii var. handelii,ÔÆÉ½°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Albizia bracteata,ÃÉ×ÔºÏ»¶,5,6,7,11,Fabaceae,Albizia,WD
Albizia chinensis,éºÊ÷,5,6,6,11,Fabaceae,Albizia,WD
Albizia lucidior,¹âÒ¶ºÏ»¶,5,6,7,11,Fabaceae,Albizia,WD
Albizia mollis,Ã«Ò¶ºÏ»¶,5,6,8,12,Fabaceae,Albizia,WD
Albizia odoratissima,ÏãºÏ»¶,4,7,6,10,Fabaceae,Albizia,WD
Alchornea davidii,É½Âé¸Ë,4,5,6,7,Euphorbiaceae,Alchornea,WD
Alchornea tiliifolia,é²Ò¶É½Âé¸Ë,4,6,6,7,Euphorbiaceae,Alchornea,WD
Alchornea trewioides,ºì±³É½Âé¸Ë,3,5,6,8,Euphorbiaceae,Alchornea,WD
Alchornea trewioides var. sinica,ÂÌ±³É½Âé¸Ë,4,5,6,9,Euphorbiaceae,Alchornea,WD
Aletris alpestris,¸ßÉ½·ÛÌõ¶ù²Ë,6,6,8,8,Liliaceae,Aletris,CB
Aletris glabra,ÎŞÃ«·ÛÌõ¶ù²Ë,5,6,9,10,Liliaceae,Aletris,CB
Aletris spicata,·ÛÌõ¶ù²Ë,4,5,6,7,Liliaceae,Aletris,CB
Aletris stenoloba,ÏÁ°ê·ÛÌõ¶ù²Ë,5,7,5,7,Liliaceae,Aletris,CB
Alisma canaliculatum,Õ­Ò¶ÔóĞº,5,10,5,10,Alismataceae,Alisma,CB
Alisma orientale,¶«·½ÔóĞº,5,9,5,9,Alismataceae,Alisma,CB
Alisma plantago-aquatica,ÔóĞº,5,10,5,10,Alismataceae,Alisma,CB
Allium chinense,ËŠÍ·,10,11,10,11,Liliaceae,Allium,CB
Allium hookeri,¿íÒ¶¾Â,8,10,8,10,Liliaceae,Allium,CB
Allium macrostemon,Ş¯°×,5,7,5,7,Liliaceae,Allium,CB
Allium mairei,µá¾Â,8,10,8,10,Liliaceae,Allium,CB
Allium ovalifolium,ÂÑÒ¶É½´Ğ,7,9,7,9,Liliaceae,Allium,CB
Allium thunbergii,ÇòĞò¾Â,8.25,10,8.25,10,Liliaceae,Allium,CB
Allium tuberosum,¾Â,7,9,7,9,Liliaceae,Allium,CB
Allium wallichii,¶àĞÇ¾Â,7,10,7,10,Liliaceae,Allium,CB
Allocheilos cortusiflorus,Òì´½ÜÄÌ¦,7,8,8,9,Gesneriaceae,Allocheilos,CB
Allophylus longipes,³¤±úÒìÄ¾»¼,6,8,9,11,Sapindaceae,Allophylus,WD
Alloteropsis semialata,Ã«Ó±²İ,2,8,2,8,Poaceae,Alloteropsis,CB
Alniphyllum fortunei,³àÑîÒ¶,4,5,7,9,Styracaceae,Alniphyllum,WD
Alnus cremastogyne,èçÄ¾,5,7,8,9,Betulaceae,Alnus,WD
Alnus ferdinandi-coburgii,´¨µáèçÄ¾,5,7,8,9,Betulaceae,Alnus,WD
Alnus lanata,Ã«èçÄ¾,5,7,8,9,Betulaceae,Alnus,WD
Alnus nepalensis,Äá²´¶ûèçÄ¾,3,3,10,10,Betulaceae,Alnus,WD
Alnus trabeculosa,½­ÄÏèçÄ¾,5,6,7,8,Betulaceae,Alnus,WD
Alocasia cucullata,¼âÎ²Óó,5,5,NA,NA,Araceae,Alocasia,CB
