scientific name,Chinese name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Aidia pycnantha,¶àÃ«Üç²İÊ÷,Rubiaceae,3,9,4,12,WD
Ailanthus triphysa,ÁëÄÏ³ô´»,Simaroubaceae,10,11,1,3,WD
Ainsliaea chapaensis,±ßµØÍÃ¶ù·ç,Asteraceae,12,4,NA,NA,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,Asteraceae,7,9,NA,NA,CB
Ainsliaea latifolia,¿íÒ¶ÍÃ¶ù·ç,Asteraceae,4,10,NA,NA,CB
Ainsliaea reflexa,³¤±úÍÃ¶ù·ç,Asteraceae,12,12,NA,NA,CB
Ajuga macrosperma,´ó×Ñ½î¹Ç²İ,Lamiaceae,1,3,3,5,CB
Alangium barbatum,÷×Ã«°Ë½Ç·ã,Alangiaceae,5,6,7,9,WD
Alangium chinense,°Ë½Ç·ã,Alangiaceae,6,8,10,11,WD
Alangium faberi,Ğ¡»¨°Ë½Ç·ã,Alangiaceae,3,7,7,10,WD
Alangium faberi var. platyphyllum,À«Ò¶°Ë½Ç·ã,Alangiaceae,NA,NA,NA,NA,WD
Alangium kurzii,Ã«°Ë½Ç·ã,Alangiaceae,5,6,NA,NA,WD
Alangium kurzii var. handelii,ÔÆÉ½°Ë½Ç·ã,Alangiaceae,5,5,8,8,WD
Alangium salviifolium,ÍÁÌ³Ê÷,Alangiaceae,2,3,4,7,WD
Albertisia laurifolia,ÑÂÌÙ,Menispermaceae,4,9,4,9,WD
Albizia attopeuensis,º£ÄÏºÏ»¶,Fabaceae,2,6,6,10,WD
Albizia chinensis,éºÊ÷,Fabaceae,3,5,6,12,WD
Albizia corniculata,ÌìÏãÌÙ,Fabaceae,4,7,8,11,WD
Albizia odoratissima,ÏãºÏ»¶,Fabaceae,4,7,6,10,WD
Albizia procera,»Æ¶¹Ê÷,Fabaceae,5,9,9,2,WD
Alchornea rugosa,ÓğÂöÉ½Âé¸Ë,Euphorbiaceae,1,12,1,12,WD
Alchornea rugosa var. pubescens,º£ÄÏÉ½Âé¸Ë,Euphorbiaceae,4,11,4,11,WD
Alchornea trewioides,ºì±³É½Âé¸Ë,Euphorbiaceae,3,6,6,8,WD
Alleizettella leucocarpa,°×¹ûÏãéª,Rubiaceae,4,6,6,2,WD
Allium chinense,ËŠÍ·,Liliaceae,10,11,10,11,CB
Allium tuberosum,¾Â,Liliaceae,7,9,7,9,CB
Allmania nodiflora,É°ÜÈ,Amaranthaceae,5,6,7,8,CB
Allomorphia balansae,ÒìĞÎÄ¾,Melastomataceae,6,8,NA,NA,WD
Allophylus dimorphus,ÎåÒ¶ÒìÄ¾»¼,Sapindaceae,9,9,NA,NA,WD
Allophylus repandifolius,µ¥Ò¶ÒìÄ¾»¼,Sapindaceae,NA,NA,7,7,WD
Allophylus timorensis,º£±õÒìÄ¾»¼,Sapindaceae,7,7,10,11,WD
Allophylus trichophyllus,Ã«Ò¶ÒìÄ¾»¼,Sapindaceae,7,7,10,10,WD
Allophylus viridis,ÒìÄ¾»¼,Sapindaceae,8,9,11,11,WD
Alloteropsis cimicina,³ô³æ²İ,Poaceae,9,9,NA,NA,CB
Alloteropsis semialata,Ã«Ó±²İ,Poaceae,2,8,2,8,CB
Alniphyllum fortunei,³àÑîÒ¶,Styracaceae,4,7,8,10,WD
Alocasia cucullata,¼âÎ²Óó,Araceae,1,1,NA,NA,CB
Alocasia hainanica,ÄÏº£Óó,Araceae,11,11,NA,NA,CB
Alocasia odora,º£Óó,Araceae,6,9,NA,NA,CB
Alphitonia incana,ÂóÖé×Ó,Rhamnaceae,10,12,1,4,WD
Alphonsea hainanensis,º£ÄÏÌÙ´º,Annonaceae,10,3,3,7,WD
Alphonsea mollis,Ê¯ÃÜ,Annonaceae,3,4,6,8,WD
Alphonsea monogyna,ÌÙ´º,Annonaceae,1,9,9,5,WD
Alpinia blepharocalyx,ÔÆÄÏ²İŞ¢,Zingiberaceae,4,6,7,12,CB
Alpinia blepharocalyx var. glabrior,¹âÒ¶ÔÆÄÏ²İŞ¢,Zingiberaceae,3,7,4,11,CB
Alpinia brevis,Ğ¡»¨É½½ª,Zingiberaceae,8,8,10,12,CB
Alpinia calcarata,¾à»¨É½½ª,Zingiberaceae,5,5,NA,NA,CB
Alpinia coriacea,¸ïÒ¶É½½ª,Zingiberaceae,6,8,6,8,CB
Alpinia galanga,ºì¶¹Ş¢,Zingiberaceae,5,8,9,11,CB
Alpinia hainanensis,²İ¶¹Ş¢,Zingiberaceae,NA,NA,NA,NA,CB
Alpinia maclurei,¼ÙÒæÖÇ,Zingiberaceae,6,8,4,10,CB
Alpinia oblongifolia,»ªÉ½½ª,Zingiberaceae,5,7,6,12,CB
Alpinia officinarum,¸ßÁ¼½ª,Zingiberaceae,4,9,5,11,CB
Alpinia oxyphylla,ÒæÖÇ,Zingiberaceae,3,5,4,9,CB
Alpinia stachyodes,ÃÜ°úÉ½½ª,Zingiberaceae,6,8,6,8,CB
Alpinia strobiliformis,ÇòËëÉ½½ª,Zingiberaceae,5,6,8,10,CB
Alpinia strobiliformis var. glabra,¹âÒ¶ÇòËëÉ½½ª,Zingiberaceae,NA,NA,NA,NA,CB
Alpinia zerumbet,ÑŞÉ½½ª,Zingiberaceae,3,6,NA,NA,CB
Alseodaphne hainanensis,ÓÍµ¤,Lauraceae,7,7,10,2,WD
Alseodaphne rugosa,ÖåÆ¤ÓÍµ¤,Lauraceae,NA,NA,7,12,WD
Alstonia rostrata,Åè¼ÜÊ÷,Apocynaceae,4,7,8,11,WD
Alternanthera sessilis,Á«×Ó²İ,Amaranthaceae,5,7,7,9,CB
Altingia chinensis,Ş¦Ê÷,Hamamelidaceae,NA,NA,NA,NA,WD
Altingia obovata,º£ÄÏŞ¦Ê÷,Hamamelidaceae,1,4,NA,NA,WD
Alysicarpus bupleurifolius,²ñºúÒ¶Á´¼Ô¶¹,Fabaceae,9,11,9,11,CB
Alysicarpus ovalifolius,Ô²Ò¶Á¶¼Ô¶¹,Fabaceae,NA,NA,NA,NA,CB
Alysicarpus vaginalis,Á´¼Ô¶¹,Fabaceae,9,9,9,11,CB
Alyxia funingensis,¸»ÄşÁ´ÖéÌÙ,Apocynaceae,9,11,11,12,WD
Alyxia levinei,½îÌÙ,Apocynaceae,3,8,8,6,WD
Alyxia odorata,º£ÄÏÁ´ÖéÌÙ,Apocynaceae,8,10,12,4,WD
Alyxia sinensis,Á´ÖéÌÙ,Apocynaceae,4,9,5,11,WD
Amaranthus spinosus,´ÌÜÈ,Amaranthaceae,7,11,7,11,CB
Amaranthus viridis,Öå¹ûÜÈ,Amaranthaceae,6,8,8,10,CB
Ambroma augusta,°ºÌìÁ«,Sterculiaceae,3,8,NA,NA,WD
Amesiodendron chinense,Ï¸×ÓÁú,Sapindaceae,5,5,8,9,WD
Amischotolype hispida,´©ÇÊ»¨,Commelinaceae,7,8,9,10,CB
Ammannia auriculata,¶ú»ùË®ÜÈ,Lythraceae,8,12,8,12,CB
Ammannia baccifera,Ë®ÜÈ²Ë,Lythraceae,12,2,NA,NA,CB
Amomum chinense,º£ÄÏ¼ÙÉ°ÈÊ,Zingiberaceae,4,5,6,8,CB
Amomum longiligulare,º£ÄÏÉ°ÈÊ,Zingiberaceae,4,6,6,9,CB
Amomum longipetiolatum,³¤±ú¶¹Ş¢,Zingiberaceae,4,5,NA,NA,CB
Amomum maximum,¾Å³á¶¹Ş¢,Zingiberaceae,5,6,6,8,CB
Amomum muricarpum,ğà¹û¶¹Ş¢,Zingiberaceae,5,9,6,12,CB
Amomum villosum,É°ÈÊ,Zingiberaceae,5,6,8,9,CB
Amorphophallus dunnii,ÄÏÉß°ô,Araceae,3,5,NA,NA,CB
Amorphophallus konjac,Ä¥Óó,Araceae,4,6,8,9,CB
Amorphophallus variabilis,Ò°Ä¥Óó,Araceae,7,7,NA,NA,CB
Ampelocalamus actinotrichus,ÉäÃ«ĞüÖñ,Poaceae,2,7,5,5,WD
Ampelopsis cantoniensis,¹ã¶«ÉßÆÏÌÑ,Vitaceae,4,7,5,8,WD
Ampelopsis glandulosa var. brevipedunculata,¶«±±ÉßÆÏÌÑ,Vitaceae,7,8,9,10,WD
Ampelopsis glandulosa var. hancei,¹âÒ¶ÉßÆÏÌÑ,Vitaceae,4,6,8,10,WD
Amphicarpaea bracteata subsp. edgeworthii,Á½ĞÍ¶¹,Fabaceae,NA,NA,NA,NA,CB
Amydrium hainanense,´©ĞÄÌÙ,Araceae,4,4,NA,NA,CB
Amygdalus persica,ÌÒ,Rosaceae,3,4,8,9,WD
Anadendrum montanum,ÉÏÊ÷ÄÏĞÇ,Araceae,6,8,NA,NA,CB
Anaxagorea luzonensis,ÃÉİï×Ó,Annonaceae,NA,NA,10,1,WD
Ancistrocladus tectorius,¹³Ö¦ÌÙ,Ancistrocladaceae,4,7,6,7,WD
Andrographis laxiflora,Êè»¨´©ĞÄÁ«,Acanthaceae,9,11,11,3,CB
Andropogon chinensis,»ªĞëÃ¢²İ,Poaceae,8,12,8,12,CB
Androsace umbellata,µãµØÃ·,Primulaceae,2,4,5,6,CB
Anisomeles indica,¹ã·À·ç,Lamiaceae,8,9,9,11,CB
Anisopappus chinensis,É½»Æ¾Õ,Asteraceae,10,12,10,12,CB
Anodendron affine,÷­ÌÙ,Apocynaceae,11,4,6,8,WD
Anodendron howii,±£Í¤÷­ÌÙ,Apocynaceae,5,6,6,6,WD
Anodendron punctatum,ÏÙÒ¶÷­ÌÙ,Apocynaceae,4,5,7,12,WD
Anoectochilus abbreviatus,Ğ¡Æ¬³İ´½À¼,Orchidaceae,NA,NA,NA,NA,CB
Anoectochilus baotingensis,±£Í¤½ğÏßÀ¼,Orchidaceae,4,4,NA,NA,CB
Anoectochilus lanceolatus,³İ´½À¼,Orchidaceae,6,9,NA,NA,CB
Antiaris toxicaria,¼ûÑª·âºí,Moraceae,3,4,5,6,WD
Antidesma bunius,ÎåÔÂ²è,Euphorbiaceae,3,5,6,11,WD
Antidesma fordii,»ÆÃ«ÎåÔÂ²è,Euphorbiaceae,3,7,7,1,WD
Antidesma ghaesembilla,·½Ò¶ÎåÔÂ²è,Euphorbiaceae,3,5,6,12,WD
Antidesma hainanense,º£ÄÏÎåÔÂ²è,Euphorbiaceae,4,7,8,11,WD
Antidesma japonicum,ÈÕ±¾ÎåÔÂ²è,Euphorbiaceae,5,6,7,9,WD
Antidesma maclurei,¶à»¨ÎåÔÂ²è,Euphorbiaceae,3,6,5,10,WD
Antidesma montanum,É½µØÎåÔÂ²è,Euphorbiaceae,4,7,7,11,WD
Antidesma montanum var. microphyllum,Ğ¡Ò¶ÎåÔÂ²è,Euphorbiaceae,5,6,6,11,WD
Antidesma nienkui,´ó¹ûÎåÔÂ²è,Euphorbiaceae,5,8,10,11,WD
Antirhea chinensis,Ã«²è,Rubiaceae,4,4,NA,NA,WD
Aphanamixis polystachya,É½é¬,Meliaceae,5,9,10,4,WD
Aphananthe cuspidata,µá²ÚÒ¶Ê÷,Ulmaceae,3,4,9,11,WD
Aphyllodium biarticulatum,Á½½Ú¶¹,Fabaceae,8,9,9,10,WD
Aphyllorchis montana,ÎŞÒ¶À¼,Orchidaceae,8,9,NA,NA,CB
Aphyllorchis simplex,µ¥´½ÎŞÒ¶À¼,Orchidaceae,8,8,NA,NA,CB
Apluda mutica,Ë®Õá²İ,Poaceae,6,11,6,11,CB
Apodytes dimidiata,²ñÁúÊ÷,Icacinaceae,1,12,1,12,WD
Aponogeton lakhonensis,Ë®Ş³,Aponogetonaceae,4,10,NA,NA,CB
Aporusa dioica,Òø²ñ,Euphorbiaceae,1,12,1,12,WD
Aporusa villosa,Ã«Òø²ñ,Euphorbiaceae,1,12,1,12,WD
Aporusa yunnanensis,ÔÆÄÏÒø²ñ,Euphorbiaceae,1,10,1,10,WD
Apostasia odorata,ÄâÀ¼,Orchidaceae,5,7,5,7,CB
Apostasia ramifera,¶àÖ¦ÄâÀ¼,Orchidaceae,5,6,NA,NA,CB
Appendicula annamensis,º£ÄÏÅ£³İÀ¼,Orchidaceae,6,8,NA,NA,CB
Appendicula cornuta,Å£³İÀ¼,Orchidaceae,7,8,9,10,CB
Apterosperma oblata,Ô²×ÑºÉ,Theaceae,5,6,NA,NA,WD
Aquilaria sinensis,ÍÁ³ÁÏã,Thymelaeaceae,3,6,10,11,WD
Arachnis labrosa,Õ­´½Ö©ÖëÀ¼,Orchidaceae,8,8,NA,NA,CB
Aralia armata,Ò°˜BÍ·,Araliaceae,8,10,9,11,WD
Aralia chinensis,»ÆÃ«˜BÄ¾,Araliaceae,7,9,9,12,WD
Aralia decaisneana,Ì¨ÍåÃ«˜BÄ¾,Araliaceae,10,1,12,2,WD
Arcangelisia gusanlung,¹ÅÉ½Áú,Menispermaceae,6,8,NA,NA,WD
Archiboehmeria atrata,ÉàÖùÂé,Urticaceae,5,8,8,10,WD
Archidendron bigeminum,ÁÁÒ¶Î§ÏÑÊ÷,Fabaceae,NA,NA,NA,NA,WD
Ardisia affinis,ÂŞÉ¡Ê÷,Myrsinaceae,5,7,10,1,WD
Ardisia baotingensis,±£Í¤×Ï½ğÅ£,Myrsinaceae,NA,NA,NA,NA,WD
Ardisia conspersa,É¢»¨×Ï½ğÅ£,Myrsinaceae,5,6,10,12,WD
Ardisia crassinervosa,´ÖÂö×Ï½ğÅ£,Myrsinaceae,12,4,6,7,WD
Ardisia crenata,ÖìÉ°¸ù,Myrsinaceae,5,6,9,11,WD
Ardisia crispa,°ÙÁ½½ğ,Myrsinaceae,5,6,10,12,WD
Ardisia densilepidotula,ÃÜÁÛ×Ï½ğÅ£,Myrsinaceae,5,6,8,10,WD
Ardisia faberi,ÔÂÔÂºì,Myrsinaceae,5,7,1,1,WD
Ardisia gigantifolia,×ßÂíÌ¥,Myrsinaceae,4,6,8,12,WD
Ardisia hanceana,ÀÉÉ¡Ê÷,Myrsinaceae,5,6,11,12,WD
Ardisia humilis,°«×Ï½ğÅ£,Myrsinaceae,1,3,8,11,WD
Ardisia maclurei,ĞÄÒ¶×Ï½ğÅ£,Myrsinaceae,4,4,10,12,WD
Ardisia maculosa,ÕäÖéÉ¡,Myrsinaceae,5,6,12,3,WD
Ardisia mamillata,»¢Éàºì,Myrsinaceae,4,4,11,12,WD
Ardisia obtusa,Í­Åè»¨,Myrsinaceae,2,4,4,7,WD
Ardisia obtusa subsp. pachyphylla,ºñÒ¶Í­Åè»¨,Myrsinaceae,NA,NA,NA,NA,WD
Ardisia ordinata,ÂÖÒ¶×Ï½ğÅ£,Myrsinaceae,6,6,9,9,WD
Ardisia porifera,Ï¸¿××Ï½ğÅ£,Myrsinaceae,NA,NA,7,7,WD
Ardisia primulifolia,Á«×ù×Ï½ğÅ£,Myrsinaceae,6,6,9,12,WD
Ardisia pubivenula,Ã«Âö×Ï½ğÅ£,Myrsinaceae,NA,NA,9,9,WD
Ardisia quinquegona,ÂŞÉ¡Ê÷,Myrsinaceae,2,4,11,12,WD
Ardisia retroflexa,Íä¹£×Ï½ğÅ£,Myrsinaceae,4,4,8,8,WD
Ardisia thyrsiflora,ÄÏ·½×Ï½ğÅ£,Myrsinaceae,1,5,4,12,WD
Ardisia verbascifolia,³¤Ã«×Ï½ğÅ£,Myrsinaceae,6,7,12,2,WD
Ardisia villosa,Ñ©ÏÂºì,Myrsinaceae,5,7,2,5,WD
Ardisia waitakii,Ô½ÄÏ×Ï½ğÅ£,Myrsinaceae,4,5,4,4,WD
Argostemma discolor,ÒìÉ«Ñ©»¨,Rubiaceae,3,5,9,10,CB
Argostemma hainanicum,º£ÄÏÑ©»¨,Rubiaceae,4,4,NA,NA,CB
Argostemma saxatile,ÑÒÑ©»¨,Rubiaceae,6,8,NA,NA,CB
Argyreia acuta,°×º×ÌÙ,Convolvulaceae,6,9,NA,NA,WD
Argyreia capitiformis,Í·»¨Òø±³ÌÙ,Convolvulaceae,11,4,NA,NA,WD
Argyreia formosana,Ì¨ÍåÒø±³ÌÙ,Convolvulaceae,NA,NA,NA,NA,WD
Argyreia mollis,Òø±³ÌÙ,Convolvulaceae,NA,NA,NA,NA,WD
Argyreia osyrensis,¾Û»¨°×º×ÌÙ,Convolvulaceae,11,12,NA,NA,WD
Arisaema hainanense,ÀèÆÅ»¨,Araceae,6,6,7,11,CB
Arisaema handelii,ğàĞòÄÏĞÇ,Araceae,5,6,NA,NA,CB
Arisaema penicillatum,»­±ÊÄÏĞÇ,Araceae,4,6,4,6,CB
Aristida chinensis,»ªÈıÃ¢²İ,Poaceae,4,12,4,12,CB
Aristolochia fulvicoma,»ÆÃ«Âí¶µÁå,Aristolochiaceae,5,5,NA,NA,WD
Aristolochia hainanensis,º£ÄÏÂí¶µÁå,Aristolochiaceae,10,2,6,7,WD
Aristolochia howii,ÄÏÔÁÂí¶µÁå,Aristolochiaceae,5,5,10,12,WD
Aristolochia polymorpha,¶àĞÍÂí¶µÁå,Aristolochiaceae,10,12,5,8,CB
Aristolochia tagala,¶úÒ¶Âí¶µÁå,Aristolochiaceae,5,8,10,12,CB
Arivela viscosa,»Æ»¨²İ,Cleomaceae,1,12,2,12,CB
Armeniaca mume,Ã·,Rosaceae,12,5,5,6,WD
Artabotrys hainanensis,ÏÁ°êÓ¥×¦»¨,Annonaceae,5,5,8,8,WD
Artabotrys hongkongensis,Ïã¸ÛÓ¥×¦»¨,Annonaceae,5,7,5,12,WD
Artabotrys pilosus,Ã«Ò¶Ó¥×¦»¨,Annonaceae,4,4,5,11,WD
Artemisia capillaris,Òğ³Âİï,Asteraceae,7,10,7,10,CB
Artemisia hancei,À×ÇíÄµİï,Asteraceae,9,11,9,11,WD
Artemisia indica,ÎåÔÂ°¬,Asteraceae,8,10,8,10,WD
Artemisia japonica,Äµİï,Asteraceae,8,10,8,10,CB
Artemisia japonica var. hainanensis,º£ÄÏÄµİï,Asteraceae,NA,NA,NA,NA,CB
Artemisia lactiflora,°×°úİï,Asteraceae,9,12,8,11,CB
Artemisia vulgaris,±±°¬,Asteraceae,8,10,8,10,CB
Arthraxon castratus,º£ÄÏİ£²İ,Poaceae,NA,NA,9,2,CB
Arthraxon hispidus,İ£²İ,Poaceae,9,11,9,11,CB
Artocarpus hypargyreus,°×¹ğÄ¾,Moraceae,5,6,NA,NA,WD
Artocarpus nitidus,¹âÒ¶¹ğÄ¾,Moraceae,4,5,NA,NA,WD
Artocarpus nitidus subsp. lingnanensis,¹ğÄ¾,Moraceae,4,5,NA,NA,WD
Artocarpus styracifolius,¶şÉ«²¨ÂŞÃÛ,Moraceae,8,9,11,12,WD
Artocarpus tonkinensis,ëÙÖ¬,Moraceae,6,9,2,3,WD
Arundina graminifolia,ÖñÒ¶À¼,Orchidaceae,9,11,9,11,CB
Arundinella bengalensis,ÃÏ¼ÓÀ­Ò°¹Å²İ,Poaceae,8,10,8,10,CB
Arundinella nepalensis,Ê¯Ã¢²İ,Poaceae,9,11,9,11,CB
Arundinella setosa,´ÌÃ¢Ò°¹Å²İ,Poaceae,8,12,8,12,CB
Arundo donax,Â«Öñ,Poaceae,9,12,9,12,WD
Arytera littoralis,±õÄ¾»¼,Sapindaceae,6,7,9,11,WD
Asarum epigynum,Ì¨ÍåÏ¸ĞÁ,Aristolochiaceae,2,3,NA,NA,CB
Asparagus cochinchinensis,ÌìÃÅ¶¬,Liliaceae,5,6,8,10,CB
Aspidistra fimbriata,Á÷ËÕÖ©Öë±§µ°,Liliaceae,11,12,NA,NA,CB
Aspidistra hainanensis,º£ÄÏÖ©Öë±§µ°,Liliaceae,3,4,NA,NA,CB
Aspidistra minutiflora,Ğ¡»¨Ö©Öë±§µ°,Liliaceae,10,11,NA,NA,CB
Aspidopterys glabriuscula,¶Ü³áÌÙ,Malpighiaceae,8,9,9,10,WD
Aspidopterys obcordata,µ¹ĞÄ¶Ü³áÌÙ,Malpighiaceae,3,4,4,5,WD
Aspidopterys obcordata var. hainanensis,º£ÄÏ¶Ü³áÌÙ,Malpighiaceae,NA,NA,NA,NA,WD
Aster ageratoides var. lasiocladus,ÈıÂö×ÏİÒÃ«Ö¦±äÖÖ,Asteraceae,NA,NA,NA,NA,CB
Aster trinervius,Èı»ùÂö×ÏİÒ,Asteraceae,6,12,NA,NA,CB
Atalantia buxifolia,¾Æ±ıº{,Rutaceae,5,12,8,11,WD
Atalantia kwangtungensis,¹ã¶«¾Æ±ıº{,Rutaceae,4,6,8,10,WD
Atriplex repens,ÙéÙë±õŞ¼,Chenopodiaceae,NA,NA,12,1,WD
Aucuba chinensis,ÌÒÒ¶Éºº÷,Aucubaceae,2,3,NA,NA,WD
Aucuba himalaica var. oblanceolata,µ¹ÅûÕëÒ¶Éºº÷,Aucubaceae,NA,NA,NA,NA,WD
Avicennia marina,º£é­´Æ,Verbenaceae,7,10,7,10,WD
Azima sarmentosa,´ÌÜÔÀò,Salvadoraceae,1,3,NA,NA,WD
Baccaurea ramiflora,Ä¾ÄÌ¹û,Euphorbiaceae,1,10,1,10,WD
Bacopa floribunda,Âó»¨²İ,Scrophulariaceae,11,1,11,1,CB
Bacopa repens,ÌïĞş²Î,Scrophulariaceae,NA,NA,NA,NA,CB
