scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Acorus gramineus,½ğÇ®ÆÑ,5,6,7,8,Araceae,Acorus,CB
Acorus rumphianus,³¤°úİÅÆÑ,5,6,7,8,Araceae,Acorus,CB
Acorus tatarinowii,Ê¯İÅÆÑ,5,6,7,8,Araceae,Acorus,CB
Acrocarpus fraxinifolius,¶¥¹ûÊ÷,3,4,6,7,Fabaceae,Acrocarpus,WD
Acrocephalus hispidus,¼âÍ·»¨,NA,NA,11,11,Lamiaceae,Acrocephalus,CB
Acronychia pedunculata,É½ÓÍ¸Ì,4,8,8,12,Rutaceae,Acronychia,WD
Actephila excelsa,Ã«Ï²¹â»¨,2,9,7,10,Euphorbiaceae,Actephila,WD
Actephila merrilliana,Ï²¹â»¨,1,12,1,12,Euphorbiaceae,Actephila,WD
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,4,4,8,10,Actinidiaceae,Actinidia,WD
Actinidia arguta var. giraldii,ÉÂÎ÷â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,4,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia callosa var. discolor,ÒìÉ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia callosa var. strigillosa,Ã«Ò¶Ó²³İâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia chinensis,ÖĞ»ªâ¨ºïÌÒ,4,5,9,9,Actinidiaceae,NA,NA
Actinidia chinensis var. deliciosa,ÃÀÎ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia chrysantha,½ğ»¨â¨ºïÌÒ,5.15,5.15,11,11,Actinidiaceae,Actinidia,WD
Actinidia cylindrica,Öù¹ûâ¨ºïÌÒ,5,5,10,10,Actinidiaceae,Actinidia,WD
Actinidia cylindrica var. reticulata,ÍøÂöâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia eriantha,Ã«»¨â¨ºïÌÒ,5,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia farinosa,·ÛÃ«â¨ºïÌÒ,6,6,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fasciculoides,´Ø»¨â¨ºïÌÒ,NA,NA,9,11,Actinidiaceae,Actinidia,WD
Actinidia fasciculoides var. cuneata,Ğ¨Ò¶â¨ºïÌÒ,NA,NA,11,11,Actinidiaceae,Actinidia,WD
Actinidia fasciculoides var. orbiculata,Ô²Ò¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fortunatii,ÌõÒ¶â¨ºïÌÒ,4,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma,»ÆÃ«â¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. cinerascens,»ÒÃ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. hirsuta,²ÚÃ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. pachyphylla,ºñÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia henryi,ÃÉ×Ôâ¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia indochinensis,ÖĞÔ½â¨ºïÌÒ,3,4,9,10,Actinidiaceae,Actinidia,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,3,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia latifolia var. mollis,³¤ÈŞâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia liangguangensis,Á½¹ãâ¨ºïÌÒ,4.2,5,11,11,Actinidiaceae,Actinidia,WD
Actinidia lijiangensis,Àì½­â¨ºïÌÒ,4,5,10,10,Actinidiaceae,Actinidia,WD
Actinidia melanandra,ºÚÈïâ¨ºïÌÒ,5,6,9,9,Actinidiaceae,Actinidia,WD
Actinidia melliana,ÃÀÀöâ¨ºïÌÒ,5,6,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,6,7,9,10,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis,ºì¾¥â¨ºïÌÒ,4,5,9,11,Actinidiaceae,Actinidia,WD
Actinidia rubricaulis var. coriacea,¸ïÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia rudis var. glabricaulis,ĞË¾¥â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia rufotricha,ºìÃ«â¨ºïÌÒ,5,5,11,11,Actinidiaceae,Actinidia,WD
Actinidia rufotricha var. glomerata,ÃÜ»¨â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia sabiifolia,Çå·çÌÙâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia trichogyna,Ã«Èïâ¨ºïÌÒ,5.2,7.1,10,10,Actinidiaceae,Actinidia,WD
Actinodaphne acuminata,ÄÏÍ¶»ÆÈâéª,2,3,NA,NA,Lauraceae,Actinodaphne,WD
Actinodaphne cupularis,ºì¹û»ÆÈâéª,10,11,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne forrestii,Ã«¼âÊ÷,11,3,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne koshepangii,¹ã¶«»ÆÈâéª,11,11,NA,NA,Lauraceae,Actinodaphne,WD
Actinodaphne kweichowensis,Ç­¹ğ»ÆÈâéª,5,6,10,10,Lauraceae,Actinodaphne,WD
Actinodaphne lecomtei,ÁøÒ¶»ÆÈâéª,8,9,10,11,Lauraceae,Actinodaphne,WD
Actinodaphne obovata,µ¹ÂÑÒ¶»ÆÈâéª,4,5,3,3,Lauraceae,Actinodaphne,WD
Actinodaphne omeiensis,¶ëÃ¼»ÆÈâéª,2,3,8,9,Lauraceae,Actinodaphne,WD
Actinodaphne pilosa,Ã«»ÆÈâéª,8,12,2,3,Lauraceae,Actinodaphne,WD
Actinodaphne tsaii,Âí¹Ø»ÆÈâéª,3,4,6,7,Lauraceae,Actinodaphne,WD
Actinoscirpus grossus,´óË‘²İ,6,10,6,10,Cyperaceae,Actinoscirpus,CB
Actinostemma tenerum,ºĞ×Ó²İ,7,9,9,11,Cucurbitaceae,Actinostemma,CB
Adelostemma gracillimum,ÈéÍ»¹û,9,11,NA,NA,Asclepiadaceae,Adelostemma,CB
Adenanthera microsperma,º£ºì¶¹,4,7,7,10,Fabaceae,NA,NA
Adenanthera pavonina var. microsperma,Ğ¡×Ñº£ºì¶¹,NA,NA,NA,NA,Fabaceae,Adenanthera,WD
Adenia heterophylla,ÒìÒ¶İôÁ«,1,7,8,10,Passifloraceae,Adenia,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,7,9,NA,NA,Campanulaceae,Adenophora,CB
Adenophora sinensis,ÖĞ»ªÉ³²Î,8,10,NA,NA,Campanulaceae,Adenophora,CB
Adenophora stricta,´¨Î÷É³²Î,8,10,NA,NA,Campanulaceae,Adenophora,CB
Adenophora stricta subsp. sessilifolia,ÎŞ±úÉ³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,3,11,5,11,Campanulaceae,Adenophora,CB
Adenophora wilsonii,¾ÛÒ¶É³²Î,8,10,9,10,Campanulaceae,NA,NA
Adenosma glutinosum,Ã«÷êÏã,7,10,7,10,Scrophulariaceae,Adenosma,CB
Adenosma indianum,Çò»¨Ã«ÉäÏã,9,11,9,11,Scrophulariaceae,Adenosma,CB
Adenosma retusilobum,°¼ÁÑÃ«ÉäÏã,8,11,8,11,Scrophulariaceae,Adenosma,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Asteraceae,Adenostemma,CB
Adenostemma lavenia var. latifolium,ÏÂÌï¾Õ¿íÒ¶±äÖÖ,NA,NA,NA,NA,Asteraceae,Adenostemma,CB
Adina pilulifera,Ë®ÍÅ»¨,6,7,NA,NA,Rubiaceae,Adina,WD
Adina rubella,Ï¸Ò¶Ë®ÍÅ»¨,5,12,5,12,Rubiaceae,Adina,WD
Adinandra bockiana,´¨ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adinandra bockiana var. acutifolia,¼âİà´¨ÑîÍ©,6,8,9,11,Theaceae,Adinandra,WD
Adinandra filipes,Ï¸¹£ÑîÍ©,4,4,8,9,Theaceae,Adinandra,WD
Adinandra glischroloma,Á½¹ãÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. jubata,³¤Ã«ÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. macrosepala,´óİàÑîÍ©,5,7,9,9,Theaceae,Adinandra,WD
Adinandra grandis,´óÑîÍ©,6,7,NA,NA,Theaceae,Adinandra,WD
Adinandra hainanensis,º£ÄÏÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra hirta,´ÖÃ«ÑîÍ©,4,5,7,8,Theaceae,Adinandra,WD
Adinandra hirta var. macrobracteata,´ó°ú´ÖÃ«ÑîÍ©,NA,NA,NA,NA,Theaceae,Adinandra,WD
Adinandra lancipetala,ÏÁ°êÑîÍ©,1,2,5,6,Theaceae,Adinandra,WD
Adinandra megaphylla,´óÒ¶ÑîÍ©,6,7,10,11,Theaceae,Adinandra,WD
Adinandra millettii,ÑîÍ©,5,7,8,10,Theaceae,Adinandra,WD
Adinandra nitida,ÁÁÒ¶ÑîÍ©,6,7,9,10,Theaceae,Adinandra,WD
Adinandra retusa,°¼İàÑîÍ©,6,7,NA,NA,Theaceae,Adinandra,WD
Aegiceras corniculatum,À¯Öò¹û,12,2,10,12,Myrsinaceae,Aegiceras,WD
Aeginetia acaulis,¶Ì¹£Ò°İÔ,4,6,6,8,Orobanchaceae,Aeginetia,CB
Aeginetia indica,Ò°İÔ,4,8,8,10,Orobanchaceae,Aeginetia,CB
Aegopodium handelii,Ïæ¹ğÑò½ÇÇÛ,7,8,7,8,Apiaceae,Aegopodium,CB
Aerides rosea,¶à»¨Ö¸¼×À¼,7,7,8,5,Orchidaceae,Aerides,CB
Aerva glabrata,ÉÙÃ«°×»¨ÜÈ,4,10,4,10,Amaranthaceae,Aerva,CB
Aerva sanguinolenta,°×»¨ÜÈ,4,6,8,10,Amaranthaceae,Aerva,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,10,12,NA,NA,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus austroyunnanensis,µáÄÏÃ¢Ã«ÜÄÌ¦,7,7,12,12,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus austroyunnanensis var. guangxiensis,¹ãÎ÷Ã¢Ã«ÜÄÌ¦,7,7,12,12,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus bracteatus var. orientalis,»Æ×ØÃ¢Ã«ÜÄÌ¦,NA,NA,NA,NA,Gesneriaceae,Aeschynanthus,WD
Aeschynanthus buxifolius,»ÆÑîÒ¶Ã¢Ã«ÜÄÌ¦,6,11,NA,NA,Gesneriaceae,Aeschynanthus,WD
Aesculus assamica,³¤±úÆßÒ¶Ê÷,2,5,6,10,Hippocastanaceae,Aesculus,WD
Aesculus chinensis var. wilsonii,ÌìÊ¦Àõ,4,5,9,10,Hippocastanaceae,Aesculus,WD
Aesculus tsiangii,Ğ¡¹ûÆßÒ¶Ê÷,4,4,7,7,Hippocastanaceae,Aesculus,WD
Aesculus wangii,ÔÆÄÏÆßÒ¶Ê÷,4,5,10,10,Hippocastanaceae,Aesculus,WD
Afgekia filipes,ÖíÑü¶¹,7,8,9,11,Fabaceae,Afgekia,WD
Afgekia filipes var. tomentosa,Ã«Ò¶ÖíÑü¶¹,NA,NA,NA,NA,Fabaceae,Afgekia,WD
Aganosma cymosa,ÔÆÄÏÏã»¨ÌÙ,5,8,9,2,Apocynaceae,Aganosma,WD
Aganosma marginata,Ïã»¨ÌÙ,5,9,6,12,Apocynaceae,Aganosma,WD
Aganosma schlechteriana,º£ÄÏÏã»¨ÌÙ,3,7,8,2,Apocynaceae,Aganosma,WD
Aganosma siamensis,¹ãÎ÷Ïã»¨ÌÙ,5,6,NA,NA,Apocynaceae,Aganosma,WD
Agapetes angulata,ÀâÖ¦Ê÷ÂÜ²·,2,3,5,5,Ericaceae,Agapetes,WD
Agapetes guangxiensis,¹ãÎ÷Ê÷ÂÜ²·,9,9,NA,NA,Ericaceae,Agapetes,WD
Agapetes obovata,µ¹ÂÑÒ¶Ê÷ÂÜ²·,8,9,NA,NA,Ericaceae,Agapetes,WD
Agapetes rubrobracteata,ºì°úÊ÷ÂÜ²·,3,6,10,12,Ericaceae,Agapetes,WD
Agastache rugosa,Ş½Ïã,6,9,9,11,Lamiaceae,Agastache,CB
Aglaia elaeagnoidea,É½é¡,6,10,7,4,Meliaceae,Aglaia,WD
Aglaia lawii,ÍûÚÓÑÂÄ¦,5,12,1,12,Meliaceae,Aglaia,WD
Aglaia odorata,Ã××ĞÀ¼,6,6,NA,NA,Meliaceae,Aglaia,WD
Aglaia perviridis,±ÌÂÌÃ××ĞÀ¼,3,5,9,12,Meliaceae,Aglaia,WD
Aglaia testicularis,ÂíÉö¹û,NA,NA,NA,NA,Meliaceae,Aglaia,WD
Aglaonema modestum,¹ã¶«ÍòÄêÇà,5,5,10,11,Araceae,NA,NA
Aglaonema simplex,Ô½ÄÏÍòÄêÇà,4,6,9,10,Araceae,NA,NA
Aglaonema tenuipes,Ô½ÄÏÍòÄêÇà,4,6,9,10,Araceae,Aglaonema,CB
Agrimonia eupatoria,Å·ÖŞÁúÑ¿²İ,6,6,7,7,Rosaceae,NA,NA
Agrimonia nipponica var. occidentalis,Ğ¡»¨ÁúÑ¿²İ,8,11,8,11,Rosaceae,Agrimonia,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Rosaceae,Agrimonia,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,Rosaceae,Agrimonia,CB
Agrostis arisan-montana,°¢ÀïÉ½¼ô¹ÉÓ±,NA,NA,7,7,Poaceae,Agrostis,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,6,11,6,11,Poaceae,Agrostis,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,6,11,6,11,Poaceae,Agrostis,CB
Agrostis infirma,ÓñÉ½¼ô¹ÉÓ±,NA,NA,11,11,Poaceae,Agrostis,CB
Agrostis micrantha,¶à»¨¼ô¹ÉÓ±,8,8,8,8,Poaceae,Agrostis,CB
Aidia canthioides,Ïãéª,4,6,5,2,Rubiaceae,Aidia,WD
Aidia cochinchinensis,ÜçÊ÷,3,6,5,2,Rubiaceae,Aidia,WD
Aidia henryi,ºàÊÏÏãéª,3,6,5,2,Rubiaceae,NA,NA
Aidia oxyodonta,¼âİàÜçÊ÷,4,9,5,10,Rubiaceae,Aidia,WD
Aidia pycnantha,¶àÃ«Üç²İÊ÷,3,9,4,12,Rubiaceae,Aidia,WD
Aidia racemosa,×Ü×´Üç²İÊ÷,NA,NA,NA,NA,Rubiaceae,NA,NA
Aidia salicifolia,ÁøÒ¶Ïãéª,NA,NA,11,11,Rubiaceae,Aidia,WD
Ailanthus altissima,³ô´»,6,7,8,11,Simaroubaceae,Ailanthus,WD
Ailanthus altissima var. sutchuenensis,´ó¹û³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ailanthus fordii,³£ÂÌ³ô´»,NA,NA,12,4,Simaroubaceae,Ailanthus,WD
Ailanthus guangxiensis,¹ãÎ÷³ô´»,NA,NA,8,10,Simaroubaceae,NA,NA
Ailanthus triphysa,ÁëÄÏ³ô´»,10,11,1,3,Simaroubaceae,Ailanthus,WD
Ailanthus vilmoriniana,´Ì³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ainsliaea chapaensis,±ßµØÍÃ¶ù·ç,12,4,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea elegans,ĞãÀöÍÃ¶ù·ç,12,3,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,11,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea gracilis,ÏËÖ¦ÍÃ¶ù·ç,9,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea grossedentata,´Ö³İÍÃ¶ù·ç,9,10,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,6,3,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea latifolia,¿íÒ¶ÍÃ¶ù·ç,4,10,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea macrocephala,´óÍ·ÍÃ¶ù·ç,8,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea macroclinidioides,µÆÌ¨ÍÃ¶ù·ç,8,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea ramosa,Á«ãûÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea rubrifolia,ºì±³ÍÃ¶ù·ç,5,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea spicata,Ï¸ËëÍÃ¶ù·ç,4,6,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea trinervis,ÈıÂöÍÃ¶ù·ç,7,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea walkeri,»ªÄÏÍÃ¶ù·ç,10,12,NA,NA,Asteraceae,Ainsliaea,CB
Ajuga decumbens,½ğ´¯Ğ¡²İ,3,7,5,11,Lamiaceae,Ajuga,CB
Ajuga decumbens var. oblancifolia,½ğ´¯Ğ¡²İÏÁÒ¶±äÖÖ,NA,NA,NA,NA,Lamiaceae,Ajuga,CB
Ajuga macrosperma,´ó×Ñ½î¹Ç²İ,1,3,3,5,Lamiaceae,Ajuga,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,1,6,3,7,Lamiaceae,Ajuga,CB
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,4,5,6,9,Lardizabalaceae,Akebia,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,Lardizabalaceae,Akebia,WD
Alangium barbatum,÷×Ã«°Ë½Ç·ã,5,6,7,9,Alangiaceae,Alangium,WD
