scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,genus name,woodinese
Ajuga decumbens,½ğ´¯Ğ¡²İ,2,11,2,11,Lamiaceae,Ajuga,CB
Ajuga dictyocarpa,Íø¹û½î¹Ç²İ,2,6,2,6,Lamiaceae,Ajuga,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,3,7,3,7,Lamiaceae,Ajuga,CB
Akebia quinata,Ä¾Í¨,3,4,7,8,Lardizabalaceae,Akebia,WD
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,3,4,7,9,Lardizabalaceae,Akebia,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,Lardizabalaceae,Akebia,WD
Alangium chinense,°Ë½Ç·ã,6,6,8,8,Alangiaceae,Alangium,WD
Alangium chinense subsp. strigosum,·üÃ«°Ë½Ç·ã,6,7,8,9,Alangiaceae,Alangium,WD
Alangium kurzii,Ã«°Ë½Ç·ã,5,6,9,9,Alangiaceae,Alangium,WD
Alangium kurzii var. handelii,ÔÆÉ½°Ë½Ç·ã,NA,NA,NA,NA,Alangiaceae,Alangium,WD
Alangium platanifolium,,4,5,7,7,Alangiaceae,NA,NA
Albizia chinensis,éºÊ÷,3,5,6,12,Fabaceae,Albizia,WD
Albizia corniculata,ÌìÏãÌÙ,4,11,4,11,Fabaceae,Albizia,WD
Albizia odoratissima,ÏãºÏ»¶,4,7,6,10,Fabaceae,Albizia,WD
Alchornea davidii,É½Âé¸Ë,4,5,6,7,Euphorbiaceae,Alchornea,WD
Alchornea trewioides,ºì±³É½Âé¸Ë,5,8,9,2,Euphorbiaceae,Alchornea,WD
Alectra arvensis,ºÚİô,NA,NA,NA,NA,Scrophulariaceae,Alectra,CB
Aletris glabra,ÎŞÃ«·ÛÌõ¶ù²Ë,5,6,7,9,Liliaceae,Aletris,CB
Aletris scopulorum,¶Ì±ú·ÛÌõ¶ù²Ë,5,5,4,4,Liliaceae,Aletris,CB
Aletris spicata,·ÛÌõ¶ù²Ë,5,6,7,8,Liliaceae,Aletris,CB
Aleurites moluccanus,Ê¯Àõ,NA,NA,NA,NA,Euphorbiaceae,Aleurites,WD
Alleizettella leucocarpa,°×¹ûÏãéª,4,6,6,2,Rubiaceae,Alleizettella,WD
Allium chinense,ËŠÍ·,10,11,10,11,Liliaceae,Allium,CB
Alloteropsis semialata,Ã«Ó±²İ,2,8,2,8,Poaceae,Alloteropsis,CB
Alniphyllum fortunei,³àÑîÒ¶,4,7,8,10,Styracaceae,Alniphyllum,WD
Alnus japonica,ÈÕ±¾èçÄ¾,8,9,9,11,Betulaceae,Alnus,WD
Alnus trabeculosa,½­ÄÏèçÄ¾,5,6,7,8,Betulaceae,Alnus,WD
Alopecurus aequalis,¿´ÂóÄï,3,5,3,5,Poaceae,Alopecurus,CB
Alpinia galanga,ºì¶¹Ş¢,6,10,9,11,Zingiberaceae,Alpinia,CB
Alpinia hainanensis,²İ¶¹Ş¢,4,6,5,8,Zingiberaceae,Alpinia,CB
Alpinia japonica,É½½ª,5,7,8,10,Zingiberaceae,Alpinia,CB
Alpinia oblongifolia,»ªÉ½½ª,5,7,6,12,Zingiberaceae,Alpinia,CB
Alpinia officinarum,¸ßÁ¼½ª,4,8,5,10,Zingiberaceae,Alpinia,CB
Alpinia oxyphylla,ÒæÖÇ,3,5,4,9,Zingiberaceae,Alpinia,CB
Alpinia stachyodes,ÃÜ°úÉ½½ª,6,8,6,8,Zingiberaceae,Alpinia,CB
Alpinia zerumbet,ÑŞÉ½½ª,4,6,7,10,Zingiberaceae,Alpinia,CB
Alternanthera sessilis,Á«×Ó²İ,6,11,6,11,Amaranthaceae,Alternanthera,CB
Altingia chinensis,Ş¦Ê÷,4,6,9,10,Hamamelidaceae,Altingia,WD
Altingia gracilipes,Ï¸±úŞ¦Ê÷,3,4,9,10,Hamamelidaceae,Altingia,WD
Altingia obovata,º£ÄÏŞ¦Ê÷,3,6,7,9,Hamamelidaceae,Altingia,WD
Alysicarpus vaginalis,Á´¼Ô¶¹,6,11,6,11,Fabaceae,Alysicarpus,CB
Alyxia sinensis,Á´ÖéÌÙ,5,10,6,12,Apocynaceae,Alyxia,WD
Amaranthus spinosus,´ÌÜÈ,8,9,8,9,Amaranthaceae,Amaranthus,CB
Amaranthus viridis,Öå¹ûÜÈ,8,9,8,9,Amaranthaceae,Amaranthus,CB
Amischotolype hispida,´©ÇÊ»¨,9,12,9,12,Commelinaceae,Amischotolype,CB
Amitostigma gracile,ÎŞÖùÀ¼,6,7,9,10,Orchidaceae,Amitostigma,CB
Ammannia auriculata,¶ú»ùË®ÜÈ,8,9,8,12,Lythraceae,Ammannia,CB
Ammannia baccifera,Ë®ÜÈ²Ë,9,2,9,2,Lythraceae,Ammannia,CB
Amomum villosum,É°ÈÊ,5,6,8,10,Zingiberaceae,Amomum,CB
Amorphophallus konjac,Ä¥Óó,4,4,NA,NA,Araceae,Amorphophallus,CB
Amorphophallus variabilis,Ò°Ä¥Óó,7,7,NA,NA,Araceae,Amorphophallus,CB
Ampelocalamus actinotrichus,ÉäÃ«ĞüÖñ,2,7,NA,NA,Poaceae,Ampelocalamus,WD
Ampelopsis cantoniensis,¹ã¶«ÉßÆÏÌÑ,6,8,8,11,Vitaceae,Ampelopsis,WD
Ampelopsis delavayana,ÈıÁÑÉßÆÏÌÑ,5,8,7,8,Vitaceae,Ampelopsis,WD
Ampelopsis delavayana var. setulosa,Ã«ÈıÁÑÉßÆÏÌÑ,6,7,9,11,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa,ÉßÆÏÌÑ,4,8,7,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. brevipedunculata,¶«±±ÉßÆÏÌÑ,7,8,9,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. hancei,¹âÒ¶ÉßÆÏÌÑ,4,6,8,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. heterophylla,ÒìÒ¶ÉßÆÏÌÑ,4,6,7,10,Vitaceae,Ampelopsis,WD
Ampelopsis glandulosa var. kulingensis,êôÁëÉßÆÏÌÑ,5,7,8,9,Vitaceae,Ampelopsis,WD
Ampelopsis grossedentata,ÏÔ³İÉßÆÏÌÑ,6,9,7,11,Vitaceae,Ampelopsis,WD
Ampelopsis humulifolia,È„Ò¶ÉßÆÏÌÑ,5,6,7,9,Vitaceae,Ampelopsis,WD
Ampelopsis japonica,°×İü,5,6,7,9,Vitaceae,Ampelopsis,WD
Ampelopsis megalophylla var. jiangxiensis,ÈáÃ«´óÒ¶ÉßÆÏÌÑ,5,7,NA,NA,Vitaceae,Ampelopsis,WD
Amphicarpaea bracteata subsp. edgeworthii,Á½ĞÍ¶¹,NA,NA,NA,NA,Fabaceae,Amphicarpaea,CB
Amygdalus persica,ÌÒ,3,4,8,9,Rosaceae,Amygdalus,WD
Anagallis arvensis,ÁğÁ§·±ÂÆ,3,4,NA,NA,Primulaceae,Anagallis,CB
Anaphalis aureopunctata,»ÆÏÙÏãÇà,7,9,9,10,Asteraceae,Anaphalis,CB
Anaphalis sinica,ÏãÇà,6,9,8,10,Asteraceae,Anaphalis,CB
Anemone hupehensis,´òÆÆÍë»¨»¨,7,10,NA,NA,Ranunculaceae,Anemone,CB
Anemone hupehensis var. japonica,ÇïÄµµ¤,NA,NA,NA,NA,Ranunculaceae,Anemone,CB
Angelica dahurica,°×ÜÆ,7,8,8,9,Apiaceae,Angelica,CB
Angelica decursiva,²ñ»¨Ç°ºú,8,9,9,11,Apiaceae,Angelica,CB
Angelica morii,¸£²Î,4,5,5,6,Apiaceae,Angelica,CB
Aniselytron treutleri,¹µïû²İ,7,7,NA,NA,Poaceae,Aniselytron,CB
Anisomeles indica,¹ã·À·ç,8,9,9,11,Lamiaceae,Anisomeles,CB
Anisopappus chinensis,É½»Æ¾Õ,8,11,8,11,Asteraceae,Anisopappus,CB
Anodendron affine,÷­ÌÙ,1,12,1,12,Apocynaceae,Anodendron,WD
Anoectochilus abbreviatus,Ğ¡Æ¬³İ´½À¼,NA,NA,NA,NA,Orchidaceae,Anoectochilus,CB
Anoectochilus roxburghii,½ğÏßÀ¼,10,11,NA,NA,Orchidaceae,NA,NA
Anoectochilus zhejiangensis,Õã½­½ğÏßÀ¼,8,8,NA,NA,Orchidaceae,Anoectochilus,CB
Antenoron filiforme,½ğÏß²İ,6,2,6,2,Polygonaceae,Antenoron,CB
Antenoron filiforme var. kachinum,Ã«Ò¶ºìÖéÆß,8,9,9,11,Polygonaceae,Antenoron,CB
Antenoron filiforme var. neofiliforme,¶ÌÃ«½ğÏß²İ,8,10,9,11,Polygonaceae,Antenoron,CB
Anthriscus sylvestris,¶ë²Î,4,5,4,5,Apiaceae,Anthriscus,CB
Antidesma fordii,»ÆÃ«ÎåÔÂ²è,6,11,6,11,Euphorbiaceae,Antidesma,WD
Antidesma japonicum,ÈÕ±¾ÎåÔÂ²è,6,11,6,11,Euphorbiaceae,Antidesma,WD
Antidesma montanum,É½µØÎåÔÂ²è,4,7,7,11,Euphorbiaceae,Antidesma,WD
Antidesma montanum var. microphyllum,Ğ¡Ò¶ÎåÔÂ²è,4,6,6,11,Euphorbiaceae,Antidesma,WD
Antirhea chinensis,Ã«²è,6,11,6,11,Rubiaceae,Antirhea,WD
Aphananthe aspera,²ÚÒ¶Ê÷,3,5,8,10,Ulmaceae,Aphananthe,WD
Aphananthe aspera var. pubescens,ÈáÃ«²ÚÒ¶Ê÷,NA,NA,NA,NA,Ulmaceae,Aphananthe,WD
Aphyllorchis montana,ÎŞÒ¶À¼,8,9,NA,NA,Orchidaceae,Aphyllorchis,CB
Apios carnea,ÈâÉ«ÍÁˆK¶ù,8,11,8,11,Fabaceae,Apios,CB
Apios fortunei,ÍÁˆK¶ù,6,8,9,10,Fabaceae,Apios,CB
Apluda mutica,Ë®Õá²İ,9,11,9,11,Poaceae,Apluda,CB
Apocopis wrightii,ÈğÊÏĞ¨Ó±²İ,8,10,8,10,Poaceae,Apocopis,CB
Aponogeton lakhonensis,Ë®Ş³,4,10,4,10,Aponogetonaceae,Aponogeton,CB
Appendicula cornuta,Å£³İÀ¼,7,8,9,10,Orchidaceae,Appendicula,CB
Aquilaria sinensis,ÍÁ³ÁÏã,4,5,9,10,Thymelaeaceae,Aquilaria,WD
Arabidopsis thaliana,Êó¶ú½æ,3,4,4,5,Brassicaceae,Arabidopsis,CB
Aralia armata,Ò°˜BÍ·,8,10,9,11,Araliaceae,Aralia,WD
Aralia chinensis,»ÆÃ«˜BÄ¾,7,9,9,12,Araliaceae,Aralia,WD
Aralia cordata,Ê³ÓÃÍÁµ±¹é,7,8,9,10,Araliaceae,Aralia,CB
Aralia dasyphylla,Í·Ğò˜BÄ¾,8,10,10,12,Araliaceae,Aralia,WD
Aralia decaisneana,Ì¨ÍåÃ«˜BÄ¾,10,1,12,2,Araliaceae,Aralia,WD
Aralia echinocaulis,¼¬¾¥˜BÄ¾,6,8,9,11,Araliaceae,Aralia,WD
Aralia elata,˜BÄ¾,6,8,9,10,Araliaceae,Aralia,WD
Aralia scaberula,²ÚÒ¶˜BÄ¾,7,8,8,9,Araliaceae,Aralia,WD
Aralia spinifolia,³¤´Ì˜BÄ¾,8,10,10,12,Araliaceae,Aralia,WD
Archidendron clypearia,ºï¶ú»·,2,6,4,8,Fabaceae,NA,NA
Ardisia alyxiifolia,ÉÙÄêºì,6,7,10,12,Myrsinaceae,Ardisia,WD
Ardisia brevicaulis,¾Å¹ÜÑª,6,7,10,12,Myrsinaceae,Ardisia,WD
Ardisia chinensis,Ğ¡×Ï½ğÅ£,5,6,3,12,Myrsinaceae,Ardisia,WD
Ardisia cornudentata,ÏÙ³İ×Ï½ğÅ£,1,8,8,3,Myrsinaceae,Ardisia,WD
Ardisia crenata,ÖìÉ°¸ù,5,6,10,12,Myrsinaceae,Ardisia,WD
Ardisia crispa,°ÙÁ½½ğ,5,6,10,12,Myrsinaceae,Ardisia,WD
Ardisia fordii,»ÒÉ«×Ï½ğÅ£,6,7,10,12,Myrsinaceae,Ardisia,WD
Ardisia gigantifolia,×ßÂíÌ¥,4,6,11,3,Myrsinaceae,Ardisia,WD
Ardisia hanceana,ÀÉÉ¡Ê÷,5,6,11,12,Myrsinaceae,Ardisia,WD
Ardisia japonica,×Ï½ğÅ£,5,6,11,12,Myrsinaceae,Ardisia,WD
Ardisia lindleyana,É½Ñªµ¤,5,7,10,12,Myrsinaceae,Ardisia,WD
Ardisia maclurei,ĞÄÒ¶×Ï½ğÅ£,5,6,12,1,Myrsinaceae,Ardisia,WD
Ardisia mamillata,»¢Éàºì,6,7,11,6,Myrsinaceae,Ardisia,WD
Ardisia primulifolia,Á«×ù×Ï½ğÅ£,6,7,11,5,Myrsinaceae,Ardisia,WD
Ardisia pusilla,¾Å½ÚÁú,5,7,11,12,Myrsinaceae,Ardisia,WD
Ardisia quinquegona,ÂŞÉ¡Ê÷,5,6,12,2,Myrsinaceae,Ardisia,WD
Ardisia sieboldii,¶àÖ¦×Ï½ğÅ£,5,6,1,1,Myrsinaceae,Ardisia,WD
Arisaema consanguineum,³¤ĞĞÌìÄÏĞÇ,4,5,NA,NA,Araceae,Arisaema,CB
Arisaema erubescens,Ò»°ÑÉ¡ÄÏĞÇ,5,7,9,9,Araceae,Arisaema,CB
Arisaema heterophyllum,ÌìÄÏĞÇ,4,5,7,9,Araceae,Arisaema,CB
Aristida chinensis,»ªÈıÃ¢²İ,6,11,6,11,Poaceae,Aristida,CB
Aristida cumingiana,»Æ²İÃ«,6,11,6,11,Poaceae,Aristida,CB
Aristolochia contorta,±±Âí¶µÁå,5,7,8,10,Aristolochiaceae,Aristolochia,CB
Aristolochia debilis,Âí¶µÁå,9,10,9,10,Aristolochiaceae,Aristolochia,CB
Aristolochia foveolata,·äÎÑÂí¶µÁå,4,6,7,10,Aristolochiaceae,Aristolochia,CB
Aristolochia fujianensis,¸£½¨Âí¶µÁå,3,4,5,8,Aristolochiaceae,Aristolochia,CB
Aristolochia kaempferi,ÒìÒ¶Âí¶µÁå,4,5,6,8,Aristolochiaceae,Aristolochia,CB
Aristolochia kwangsiensis,¹ãÎ÷Âí¶µÁå,4,5,8,9,Aristolochiaceae,Aristolochia,WD
Aristolochia moupinensis,±¦ĞËÂí¶µÁå,5,6,8,10,Aristolochiaceae,Aristolochia,WD
Aristolochia tubiflora,¹Ü»¨Âí¶µÁå,4,8,4,8,Aristolochiaceae,Aristolochia,CB
Arivela viscosa,»Æ»¨²İ,7,9,10,10,Cleomaceae,Arivela,CB
Arivela viscosa var. deglabrata,ÎŞÃ«»Æ»¨²İ,NA,NA,10,10,Cleomaceae,Arivela,CB
Armeniaca mume,Ã·,12,1,5,5,Rosaceae,Armeniaca,WD
Armeniaca zhengheensis,ÕşºÍĞÓ,3,4,6,7,Rosaceae,Armeniaca,WD
Artemisia annua,»Æ»¨İï,8,11,8,11,Asteraceae,Artemisia,CB
Artemisia anomala,Ææİï,6,11,6,11,Asteraceae,Artemisia,CB
