scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Acer lucidum,亮叶槭,3.2,4.1,8,9,WD
Acer lungshengense,龙胜槭,NA,NA,9,9,WD
Acer maximowiczianum,毛果槭,NA,NA,NA,NA,WD
Acer maximowiczii,五尖槭,5,5,9,9,WD
Acer metcalfii,南岭槭,NA,NA,9,9,WD
Acer miaoshanicum,苗山槭,4,4,9,9,WD
Acer oblongum,飞蛾槭,4,4,9,9,WD
Acer oliverianum,五裂槭,5,5,9,9,WD
Acer palmatum,鸡爪槭,4,5,9,9,WD
Acer pictum subsp. mono,五角枫,4,5,9,9,WD
Acer poliophyllum,灰叶槭,NA,NA,9,9,WD
Acer pubinerve,毛脉槭,4,4,10,10,WD
Acer robustum,杈叶槭,5,5,9,9,WD
Acer shenkanense,陕甘槭,4,5,7,9,WD
Acer sinense,中华槭,5,5,9,9,WD
Acer sinopurpurascens,天目槭,4,4,9,9,WD
Acer stachyophyllum,毛叶槭,4,5,9,10,WD
Acer sterculiaceum subsp. franchetii,房县槭,NA,NA,NA,NA,WD
Acer sutchuenense,四川槭,5,5,9,9,WD
Acer tenellum,薄叶槭,5,5,9,9,WD
Acer tenellum var. septemlobum,七裂薄叶槭,NA,NA,NA,NA,WD
Acer tonkinense,粗柄槭,4,5,9,9,WD
Acer truncatum,元宝槭,4,4,8,8,WD
Acer tutcheri,岭南槭,4,4,9,9,WD
Acer wilsonii,三峡槭,4,4,9,9,WD
Achillea wilsoniana,云南蓍,7,9,7,9,CB
Achnatherum coreanum,大叶直芒草,8,10,8,10,CB
Achyranthes aspera var. rubrofusca,禾叶土牛膝,NA,NA,NA,NA,CB
Achyranthes bidentata,牛膝,8,9,9,11,CB
Achyranthes bidentata var. japonica,少毛牛膝,NA,NA,NA,NA,CB
Achyranthes longifolia,柳叶牛膝,8,11,8,11,CB
Achyrospermum wallichianum,西藏鳞果草,8,9,NA,NA,CB
Acidosasa chienouensis,粉酸竹,6,6,NA,NA,WD
Acidosasa nanunica,长舌酸黎竹,NA,NA,NA,NA,WD
Acidosasa notata,斑箨酸竹,4,5,4,5,WD
Aconitum cannabifolium,大麻叶乌头,8,9,NA,NA,CB
Aconitum carmichaelii,乌头,9,10,NA,NA,CB
Aconitum finetianum,赣皖乌头,8,9,10,10,CB
Aconitum hemsleyanum,瓜叶乌头,8,10,NA,NA,CB
Aconitum henryi,川鄂乌头,9,10,NA,NA,CB
Aconitum refractum,狭裂乌头,9,9,NA,NA,CB
Aconitum scaposum,花葶乌头,7,8,9,10,CB
Aconitum sinomontanum,高乌头,6,9,8,9,CB
Aconitum sinomontanum var. angustius,狭盔高乌头,NA,NA,NA,NA,CB
Acorus calamus,菖蒲,6,9,NA,NA,CB
Acorus gramineus,金钱蒲,2,7,7,8,CB
Acorus tatarinowii,石菖蒲,NA,NA,NA,NA,CB
Acroglochin persicarioides,千针苋,7,11,7,11,CB
Actaea asiatica,类叶升麻,4,6,6,9,CB
Actinidia arguta,软枣猕猴桃,4,4,8,10,WD
Actinidia arguta var. giraldii,陕西猕猴桃,NA,NA,NA,NA,WD
Actinidia callosa,硬齿猕猴桃,5,6,7,9,WD
Actinidia callosa var. acuminata,尖叶猕猴桃,NA,NA,NA,NA,WD
Actinidia callosa var. discolor,异色猕猴桃,NA,NA,NA,NA,WD
Actinidia callosa var. henryi,京梨猕猴桃,NA,NA,NA,NA,WD
Actinidia callosa var. strigillosa,毛叶硬齿猕猴桃,NA,NA,NA,NA,WD
Actinidia chinensis var. deliciosa,美味猕猴桃,NA,NA,NA,NA,WD
Actinidia chrysantha,金花猕猴桃,5,5,11,11,WD
Actinidia eriantha,毛花猕猴桃,5,6,8,9,WD
Actinidia fortunatii,条叶猕猴桃,4,6,11,11,WD
Actinidia fulvicoma,黄毛猕猴桃,5,6,10,10,WD
Actinidia fulvicoma var. cinerascens,灰毛猕猴桃,NA,NA,NA,NA,WD
Actinidia fulvicoma var. hirsuta,糙毛猕猴桃,NA,NA,NA,NA,WD
Actinidia hemsleyana,长叶猕猴桃,5,6,10,10,WD
Actinidia henryi,蒙自猕猴桃,5,6,10,10,WD
Actinidia kolomikta,狗枣猕猴桃,6,6,8,8,WD
Actinidia lanceolata,小叶猕猴桃,5,6,10,11,WD
Actinidia latifolia,阔叶猕猴桃,5,6,8,9,WD
Actinidia liangguangensis,两广猕猴桃,4,5,8,9,WD
Actinidia melanandra,黑蕊猕猴桃,5,6,9,9,WD
Actinidia melanandra var. glabrescens,无髯猕猴桃,NA,NA,NA,NA,WD
Actinidia melliana,美丽猕猴桃,5,6,7,8,WD
Actinidia polygama,葛枣猕猴桃,6,7,9,10,WD
Actinidia rubricaulis,红茎猕猴桃,4,5,7,8,WD
Actinidia rubricaulis var. coriacea,革叶猕猴桃,NA,NA,NA,NA,WD
Actinidia sabiifolia,清风藤猕猴桃,5,5,NA,NA,WD
Actinidia sorbifolia,花楸猕猴桃,NA,NA,NA,NA,WD
Actinidia styracifolia,安息香猕猴桃,5,5,NA,NA,WD
Actinidia trichogyna,毛蕊猕猴桃,5.2,7.1,10,10,WD
Actinidia valvata,对萼猕猴桃,5,5,9,10,WD
Actinidia venosa,显脉猕猴桃,5,7,9,9,WD
Actinodaphne cupularis,红果黄肉楠,10,11,次年8,次年9,WD
Actinodaphne koshepangii,广东黄肉楠,10,11,NA,NA,WD
Actinodaphne lecomtei,柳叶黄肉楠,8,9,10,11,WD
Actinodaphne obscurinervia,隐脉黄肉楠,NA,NA,6,7,WD
Actinostemma tenerum,盒子草,7,9,9,11,CB
Adenocaulon himalaicum,和尚菜,6,11,6,11,CB
Adenophora capillaris,丝裂沙参,NA,NA,NA,NA,CB
Adenophora liliifolia,新疆沙参,7,8,NA,NA,CB
Adenophora morrisonensis,台湾沙参,7,11,9,11,CB
Adenophora petiolata subsp. hunanensis,杏叶沙参,NA,NA,NA,NA,CB
Adenophora rupincola,多毛沙参,7,10,NA,NA,CB
Adenophora sinensis,中华沙参,8,10,8,10,CB
Adenophora stricta,川西沙参,8,10,NA,NA,CB
Adenophora stricta subsp. aurita,川西沙参,NA,NA,NA,NA,CB
Adenophora stricta subsp. sessilifolia,无柄沙参,NA,NA,NA,NA,CB
Adenophora tetraphylla,轮叶沙参,3,11,5,11,CB
Adenosma glutinosum,毛麝香,7,10,7,10,CB
Adenostemma lavenia,下田菊,8,10,8,10,CB
Adenostemma lavenia var. latifolium,下田菊宽叶变种,NA,NA,NA,NA,CB
Adenostemma lavenia var. parviflorum,下田菊小花变种,NA,NA,NA,NA,CB
Adina pilulifera,水团花,6,7,7,12,WD
Adina rubella,细叶水团花,5,12,5,12,WD
Adinandra bockiana,川杨桐,5,6,7,8,WD
Adinandra bockiana var. acutifolia,尖萼川杨桐,5,6,7,8,WD
Adinandra glischroloma,两广杨桐,5,6,9,10,WD
Adinandra glischroloma var. macrosepala,大萼杨桐,5,7,9,9,WD
Adinandra hirta,粗毛杨桐,4,5,7,8,WD
Adinandra millettii,杨桐,5,6,7,8,WD
Aeginetia indica,野菰,4,8,8,10,CB
Aeginetia sinensis,中国野菰,4,6,6,8,CB
Aegopodium handelii,湘桂羊角芹,7,8,7,8,CB
Aegopodium henryi,巴东羊角芹,6,8,6,8,CB
Aesculus chinensis var. wilsonii,天师栗,NA,NA,NA,NA,WD
Agastache rugosa,藿香,NA,NA,NA,NA,CB
Aglaia odorata,米仔兰,5,12,7,3,WD
Agrimonia nipponica var. occidentalis,小花龙芽草,8,11,8,11,CB
Agrimonia pilosa,龙芽草,7,8,9,10,CB
Agrimonia pilosa var. nepalensis,黄龙尾,NA,NA,NA,NA,CB
Agrostis clavata,华北剪股颖,6,11,6,11,CB
Agrostis infirma,玉山剪股颖,NA,NA,11,11,CB
Agrostis micrantha,多花剪股颖,8,8,8,8,CB
Agrostis sozanensis,台湾剪股颖,NA,NA,NA,NA,CB
Aidia canthioides,香楠,4,6,5,2,WD
Aidia cochinchinensis,茜树,3,6,5,2,WD
Ailanthus altissima,臭椿,4,5,8,10,WD
Ailanthus altissima var. sutchuenensis,大果臭椿,NA,NA,NA,NA,WD
Ailanthus altissima var. tanakai,台湾臭椿,NA,NA,NA,NA,WD
Ailanthus vilmoriniana,刺臭椿,NA,NA,NA,NA,WD
Ainsliaea caesia,蓝兔儿风,10,12,NA,NA,CB
Ainsliaea fragrans,杏香兔儿风,11,12,NA,NA,CB
Ainsliaea glabra,光叶兔儿风,7,9,NA,NA,CB
Ainsliaea gracilis,纤枝兔儿风,9,11,NA,NA,CB
Ainsliaea grossedentata,粗齿兔儿风,9,10,NA,NA,CB
Ainsliaea henryi,长穗兔儿风,6,3,NA,NA,CB
Ainsliaea latifolia,宽叶兔儿风,4,10,NA,NA,CB
Ainsliaea macrocephala,大头兔儿风,8,9,NA,NA,CB
Ainsliaea macroclinidioides,灯台兔儿风,8,11,NA,NA,CB
Ainsliaea plantaginifolia,车前兔儿风,8,10,NA,NA,CB
Ainsliaea ramosa,莲沱兔儿风,10,12,NA,NA,CB
Ainsliaea tenuicaulis,细茎兔儿风,4,7,NA,NA,CB
Ajuga ciliata,筋骨草,4,8,7,9,CB
Ajuga decumbens,金疮小草,NA,NA,NA,NA,CB
Ajuga decumbens var. oblancifolia,金疮小草狭叶变种,NA,NA,NA,NA,CB
Ajuga nipponensis,紫背金盘,1,6,3,7,CB
Akebia longeracemosa,长序木通,3,4,8,8,WD
Akebia quinata,木通,4,6,8,10,WD
Akebia trifoliata,三叶木通,5,5,8,9,WD
Akebia trifoliata subsp. australis,白木通,4,5,6,9,WD
Alangium chinense,八角枫,9,10,7,11,WD
Alangium chinense subsp. pauciflorum,稀花八角枫,NA,NA,NA,NA,WD
Alangium chinense subsp. strigosum,伏毛八角枫,6,7,8,9,WD
Alangium chinense subsp. triangulare,深裂八角枫,NA,NA,NA,NA,WD
Alangium faberi,小花八角枫,6,6,9,9,WD
Alangium faberi var. heterophyllum,异叶八角枫,NA,NA,NA,NA,WD
Alangium kurzii,毛八角枫,5,6,9,9,WD
Alangium kurzii var. handelii,云山八角枫,NA,NA,NA,NA,WD
Alangium kwangsiense,广西八角枫,5,5,8,8,WD
Albizia chinensis,楹树,3,5,6,9,WD
Albizia garrettii,黄毛合欢,5,5,8,11,WD
Albizia kalkora,山槐,5,6,8,10,WD
Albizia odoratissima,香合欢,4,7,6,9,WD
Alcea rosea,蜀葵,2,8,NA,NA,CB
Alchornea davidii,山麻杆,3,5,6,7,WD
Alchornea hunanensis,湖南山麻杆,4,5,6,7,WD
Alchornea tiliifolia,椴叶山麻杆,4,6,6,7,WD
Alchornea trewioides,红背山麻杆,3,5,6,8,WD
Alchornea trewioides var. sinica,绿背山麻杆,4,5,6,9,WD
Alectra arvensis,黑蒴,NA,NA,NA,NA,CB
Aletris scopulorum,短柄粉条儿菜,3,3,4,4,CB
Aletris spicata,粉条儿菜,4,5,6,7,CB
Aletris stenoloba,狭瓣粉条儿菜,5,7,5,7,CB
Alisma canaliculatum,窄叶泽泻,5,10,5,10,CB
Alisma orientale,东方泽泻,5,9,5,9,CB
Allium chinense,藠头,10,11,10,11,CB
Allium hookeri,宽叶韭,8,10,8,10,CB
Allium thunbergii,球序韭,8.25,10,8.25,10,CB
Allium tuberosum,韭,7,9,7,9,CB
Allium victorialis,茖葱,6,8,6,8,CB
Allium wallichii,多星韭,6,9,7,10,CB
Alniphyllum fortunei,赤杨叶,4,7,8,10,WD
Alnus cremastogyne,桤木,5,7,8,9,WD
Alnus trabeculosa,江南桤木,2,3,10,12,WD
Alpinia japonica,山姜,4,8,7,12,CB
Alpinia oblongifolia,华山姜,5,7,6,12,CB
Alpinia pumila,花叶山姜,4,6,6,11,CB
Alpinia stachyodes,密苞山姜,6,8,6,8,CB
Alpinia zerumbet,艳山姜,4,6,7,10,CB
Alternanthera sessilis,莲子草,6,9,8,10,CB
Altingia chinensis,蕈树,3,6,7,9,WD
Alyxia levinei,筋藤,3,8,9,12,WD
Alyxia odorata,海南链珠藤,3,10,6,12,WD
Alyxia schlechteri,狭叶链珠藤,NA,NA,NA,NA,WD
Alyxia sinensis,链珠藤,4,9,5,11,WD
Amelanchier asiatica,东亚唐棣,4,5,8,9,WD
Amelanchier sinica,唐棣,5,5,9,10,WD
Amitostigma gracile,无柱兰,6,7,9,10,CB
Ammannia baccifera,水苋菜,8,10,9,12,CB
Amomum austrosinense,三叶豆蔻,6,6,NA,NA,CB
Amomum villosum,砂仁,5,6,8,9,CB
Amorphophallus dunnii,南蛇棒,3,5,NA,NA,CB
Amorphophallus konjac,磨芋,4,4,NA,NA,CB
Amorphophallus paeoniifolius,疣柄磨芋,4,5,10,11,CB
Ampelocalamus calcareus,贵州悬竹,NA,NA,NA,NA,WD
Ampelopsis bodinieri,蓝果蛇葡萄,4,6,7,8,WD
Ampelopsis bodinieri var. cinerea,灰毛蛇葡萄,NA,NA,NA,NA,WD
Ampelopsis cantoniensis,广东蛇葡萄,4,7,8,11,WD
Ampelopsis chaffanjonii,羽叶蛇葡萄,5,7,7,9,WD
Ampelopsis delavayana,三裂蛇葡萄,6,8,9,11,WD
Ampelopsis delavayana var. setulosa,毛三裂蛇葡萄,6,7,9,11,WD
Ampelopsis delavayana var. tomentella,狭叶蛇葡萄,5,6,7,10,WD
Ampelopsis glandulosa,蛇葡萄,4,8,7,10,WD
Ampelopsis glandulosa var. brevipedunculata,东北蛇葡萄,7,8,9,10,WD
Ampelopsis glandulosa var. hancei,光叶蛇葡萄,4,6,8,10,WD
Ampelopsis glandulosa var. heterophylla,异叶蛇葡萄,4,6,7,10,WD
Ampelopsis glandulosa var. kulingensis,牯岭蛇葡萄,5,7,8,9,WD
Ampelopsis grossedentata,显齿蛇葡萄,5,8,8,12,WD
Ampelopsis humulifolia,葎叶蛇葡萄,5,7,5,9,WD
Ampelopsis japonica,白蔹,5,6,7,9,WD
Ampelopsis megalophylla,大叶蛇葡萄,6,8,7,10,WD
Ampelopsis megalophylla var. jiangxiensis,柔毛大叶蛇葡萄,5,7,NA,NA,WD
Ampelopsis rubifolia,毛枝蛇葡萄,6,7,9,10,WD
Amphicarpaea bracteata subsp. edgeworthii,两型豆,8,9,10,11,CB
Amydrium hainanense,穿心藤,4,4,NA,NA,CB
Amydrium sinense,雷公连,6,7,7,11,CB
Amygdalus davidiana,山桃,3,4,7,8,WD
Amygdalus persica,桃,3,4,6,9,WD
Anaphalis aureopunctata,黄腺香青,7,9,9,10,CB
Anaphalis aureopunctata var. atrata,黄腺香青黑鳞变种,NA,NA,NA,NA,CB
Anaphalis aureopunctata var. plantaginifolia,黄腺香青车前叶变种,NA,NA,NA,NA,CB
Anaphalis aureopunctata var. tomentosa,黄腺香青绒毛变种,NA,NA,NA,NA,CB
Anaphalis busua,蛛毛香青,9,10,10,10,CB
Anaphalis contorta,旋叶香青,8,10,8,10,CB
Anaphalis margaritacea,珠光香青,8,11,8,11,CB
Anaphalis margaritacea var. cinnamomea,珠光香青黄褐变种,NA,NA,NA,NA,CB
Anaphalis margaritacea var. japonica,珠光香青线叶变种,NA,NA,NA,NA,CB
Anaphalis sinica,香青,7,9,8,10,CB
Ancylostemon saxatilis,直瓣苣苔,6,7,7,8,CB
Androsace henryi,莲叶点地梅,4,5,5,6,CB
Androsace runcinata,异叶点地梅,4,5,NA,NA,CB
Androsace umbellata,点地梅,2,4,5,6,CB
Anemone baicalensis,毛果银莲花,4,7,NA,NA,CB
Anemone davidii,西南银莲花,4,6,7,8,CB
Anemone flaccida,鹅掌草,4,6,7,8,CB
Anemone flaccida var. hofengensis,鹤峰银莲花,5,8,NA,NA,CB
Anemone hupehensis,打破碗花花,7,10,10,11,CB
Anemone hupehensis var. japonica,秋牡丹,NA,NA,NA,NA,CB
Anemone rivularis,草玉梅,6,8,NA,NA,CB
Anemone vitifolia,野棉花,7,10,NA,NA,CB
Angelica biserrata,重齿当归,8,9,9,10,CB
Angelica dahurica,白芷,7,8,8,9,CB
Angelica dahurica cv. Hangbaizhi,杭白芷,NA,NA,NA,NA,CB
Angelica decursiva,柴花前胡,8,9,9,11,CB
Angelica polymorpha,拐芹,8,9,9,10,CB
Angelica sinensis,当归,6,7,7,9,CB
Aniselytron treutleri,沟稃草,7,7,NA,NA,CB
Aniselytron treutleri,水蔗草,7,7,NA,NA,CB
Anisodus luridus,铃铛子,5,7,10,11,CB
Anisomeles indica,广防风,NA,NA,NA,NA,CB
Annamocarya sinensis,喙核桃,4,5,8,11,WD
Anodendron affine,鳝藤,11,4,6,8,WD
Anoectochilus lanceolatus,齿唇兰,NA,NA,NA,NA,CB
Anoectochilus moulmeinensis,艳丽齿唇兰,NA,NA,NA,NA,CB
Anoectochilus zhejiangensis,浙江金线兰,7,9,NA,NA,CB
Antenoron filiforme,金线草,7,8,9,10,CB
Antenoron filiforme var. neofiliforme,短毛金线草,NA,NA,NA,NA,CB
Anthriscus sylvestris,峨参,4,5,4,5,CB
Antidesma bunius,五月茶,3,5,6,11,WD
Antidesma japonicum,日本五月茶,4,6,7,9,WD
Antidesma montanum,山地五月茶,4,7,7,11,WD
Antidesma montanum var. microphyllum,小叶五月茶,4,6,6,11,WD
Aphananthe aspera,糙叶树,4,5,7,8,WD
Apios carnea,肉色土圞儿,7,9,8,11,CB
Apios fortunei,土圞儿,6,8,9,10,CB
Aquilegia oxysepala var. kansuensis,甘肃耧斗菜,NA,NA,NA,NA,CB
Arabidopsis thaliana,鼠耳芥,4,6,1,6,CB
Arabis paniculata,圆锥南芥,5,6,7,9,CB
Aralia atropurpurea,浓紫龙眼独活,6,7,8,9,CB
Aralia chinensis,黄毛楤木,9,12,11,1,WD
Aralia cordata,食用土当归,NA,NA,NA,NA,CB
Aralia dasyphylla,头序楤木,8,10,10,12,WD
Aralia debilis,秀丽楤木,6,7,NA,NA,WD
Aralia decaisneana,台湾毛楤木,10,1,12,2,WD
Aralia echinocaulis,棘茎楤木,6,8,9,11,WD
Aralia elata,楤木,6,8,9,10,WD
Aralia henryi,柔毛龙眼独活,7,8,9,11,CB
Aralia hypoglauca,粉背羽叶参,NA,NA,NA,NA,
Aralia spinifolia,长刺楤木,8,10,10,12,WD
Aralia undulata,波缘楤木,6,8,10,10,WD
Archiboehmeria atrata,舌柱麻,7,8,9,9,WD
Ardisia affinis,罗伞树,5,7,10,1,WD
Ardisia alyxiifolia,少年红,6,7,10,12,WD
Ardisia brevicaulis,九管血,6,7,10,12,WD
Ardisia brunnescens,凹脉紫金牛,4,4,10,1,WD
Ardisia chinensis,小紫金牛,4,6,10,12,WD
Ardisia crenata,朱砂根,5,6,10,12,WD
Ardisia crispa,百两金,4,6,10,1,WD
Ardisia ensifolia,剑叶紫金牛,5,7,11,1,WD
Ardisia faberi,月月红,5,7,11,11,WD
Ardisia hanceana,郎伞树,5,6,11,12,WD
Ardisia japonica,紫金牛,5,6,11,12,WD
Ardisia lindleyana,山血丹,5,7,10,12,WD
Ardisia mamillata,虎舌红,6,7,11,1,WD
Ardisia primulifolia,莲座紫金牛,6,7,11,5,WD
Ardisia pusilla,九节龙,5,7,6,7,WD
Ardisia quinquegona,罗伞树,5,6,12,12,WD
Ardisia thyrsiflora,南方紫金牛,1,5,4,12,WD
Arisaema amurense,东北南星,5,5,9,9,CB
Arisaema asperatum,刺柄南星,5,6,NA,NA,CB
Arisaema auriculatum,长耳南星,4,6,NA,NA,CB
Arisaema bockii,灯台莲,5,5,10,10,CB
Arisaema consanguineum,长行天南星,4,5,NA,NA,CB
Arisaema du-bois-reymondiae,云台南星,4,5,NA,NA,CB
Arisaema erubescens,一把伞南星,5,7,9,9,CB
Arisaema fargesii,螃蟹七,5,6,NA,NA,CB
Arisaema franchetianum,象头花,5,7,9,10,CB
Arisaema heterophyllum,天南星,4,5,7,9,CB
Arisaema hunanense,湘南星,3,5,NA,NA,CB
Arisaema lingyunense,凌云南星,4,6,7,7,CB
Arisaema lobatum,花南星,4,7,8,9,CB
Arisaema rhizomatum,雪里见,8,11,1,2,CB
Arisaema silvestrii,鄂西南星,4,5,NA,NA,CB
Arisaema sinii,瑶山南星,5,6,7,8,CB
Arisaema yunnanense,山珠南星,5,7,8,9,CB
Aristida cumingiana,黄草毛,6,11,6,11,CB
Aristolochia debilis,马兜铃,6,7,9,10,CB
Aristolochia kaempferi,异叶马兜铃,5,6,7,8,CB
Aristolochia kwangsiensis,广西马兜铃,4,5,8,9,WD
Aristolochia mollissima,寻骨风,4,6,8,10,WD
Aristolochia moupinensis,宝兴马兜铃,5,6,8,10,WD
Aristolochia tuberosa,背蛇生,11,4,6,10,CB
Aristolochia tubiflora,管花马兜铃,4,8,9,11,CB
Arivela viscosa,黄花草,7,9,10,10,CB
Armeniaca mume,梅,3,4,5,6,WD
Armeniaca vulgaris,杏,3,4,5,6,WD
Artabotrys hongkongensis,香港鹰爪花,3,6,6,12,WD
Artabotrys multiflorus,多花鹰爪花,5,8,7,10,WD
Artemisia absinthium,中亚苦蒿,8,9,8,9,CB
Artemisia anomala,奇蒿,6,11,6,11,CB
Artemisia anomala var. tomentella,密毛奇蒿,NA,NA,NA,NA,CB
Artemisia argyi,艾,7,10,7,10,CB
Artemisia atrovirens,暗绿蒿,8,10,8,10,CB
Artemisia capillaris,茵陈蒿,NA,NA,NA,NA,CB
Artemisia carvifolia,青蒿,6,9,6,9,CB
Artemisia chingii,南毛蒿,8,10,8,10,CB
Artemisia indica,五月艾,8,10,8,10,WD
Artemisia japonica,牡蒿,7,10,7,10,CB
Artemisia lactiflora,白苞蒿,8,11,8,11,CB
Artemisia lancea,矮蒿,8,10,8,10,CB
Artemisia lavandulifolia,野艾蒿,7,10,7,10,CB
Artemisia myriantha var. pleiocephala,白毛多花蒿,NA,NA,NA,NA,CB
Artemisia princeps,魁蒿,7,11,7,11,CB
Artemisia roxburghiana,灰苞蒿,8,10,8,10,WD
Artemisia scoparia,猪毛蒿,7,10,7,10,CB
Artemisia shennongjiaensis,神农架蒿,8,10,8,10,CB
Artemisia sylvatica,阴地蒿,9,10,9,10,CB
Artemisia velutina,黄毛蒿,9,11,9,11,CB
Artemisia verlotorum,南艾蒿,7,10,7,10,CB
Artemisia viridissima,林艾蒿,7,10,7,10,CB
Artemisia vulgaris,北艾,8,10,8,10,CB
Arthraxon hispidus,荩草,8,11,8,11,CB
Arthraxon prionodes,茅叶荩草,7,10,7,10,CB
Artocarpus hypargyreus,白桂木,5,7,8,9,WD
Artocarpus styracifolius,二色波罗蜜,8,9,10,11,WD
Aruncus sylvester,假升麻,6,6,8,8,CB
Arundina graminifolia,竹叶兰,9,11,9,11,CB
Arundinella bengalensis,孟加拉野古草,8,10,8,10,CB
Arundinella fluviatilis,溪边野古草,9,11,9,11,CB
Arundinella hirta,毛秆野古草,8,10,8,10,CB
Arundinella nepalensis,石芒草,9,11,9,11,CB
Arundinella setosa,刺芒野古草,8,12,8,12,CB
Arundinella setosa var. esetosa,无刺野古草,7,11,7,11,CB
Asarum caudigerum,尾花细辛,4,8,4,8,CB
Asarum caulescens,双叶细辛,4,5,NA,NA,CB
Asarum debile,铜钱细辛,4,5,NA,NA,CB
Asarum forbesii,杜衡,4,5,NA,NA,CB
Asarum fukienense,福建细辛,4,11,NA,NA,CB
Asarum geophilum,地花细辛,4,6,NA,NA,CB
Asarum himalaicum,单叶细辛,4,6,NA,NA,CB
Asarum ichangense,小叶马蹄香,4,7,NA,NA,CB
Asarum insigne,金耳环,3,4,5,7,CB
Asarum magnificum,祁阳细辛,3,5,NA,NA,CB
Asarum maximum,大叶马蹄香,4,5,NA,NA,CB
Asarum pulchellum,长毛细辛,4,5,7,8,CB
Asarum sieboldii,汉城细辛,4,5,NA,NA,CB
Asarum wulingense,五岭细辛,9,10,NA,NA,CB
Asparagus acicularis,山文竹,6,11,6,11,CB
Asparagus cochinchinensis,天门冬,5,6,8,10,CB
Asparagus filicinus,羊齿天门冬,5,7,8,9,CB
Asparagus lycopodineus,短梗天门冬,5,6,8,9,CB
Asparagus officinalis,石刁柏,5,6,8,8,CB
Aspidistra lurida,九龙盘,NA,NA,NA,NA,CB
Aspidistra minutiflora,小花蜘蛛抱蛋,7,10,NA,NA,CB
Aspidistra sichuanensis,四川蜘蛛抱蛋,1,3,1,3,CB
Aspidistra triloba,湖南蜘蛛抱蛋,4,4,NA,NA,CB
Aster ageratoides var. firmus,三脉紫菀坚叶变种,NA,NA,NA,NA,CB
Aster ageratoides var. lasiocladus,三脉紫菀毛枝变种,NA,NA,NA,NA,CB
Aster ageratoides var. laticorymbus,三脉紫菀宽伞变种,NA,NA,NA,NA,CB
Aster ageratoides var. oophyllus,三脉紫菀卵叶变种,NA,NA,NA,NA,CB
Aster ageratoides var. scaberulus,三脉紫菀微糙变种,NA,NA,NA,NA,CB
Aster baccharoides,白舌紫菀,7,10,8,11,CB
Aster dolichophyllus,长叶紫菀,10,10,NA,NA,CB
Aster hunanensis,湖南紫菀,NA,NA,8,8,CB
Aster jishouensis,吉首紫菀,NA,NA,NA,NA,
Aster mangshanensis,莽山紫菀,NA,NA,NA,NA,CB
Aster panduratus,琴叶紫菀,2,9,6,10,CB
Aster sampsonii,短舌紫菀,7,10,7,10,CB
Aster sampsonii var. isochaetus,短舌紫菀等毛变种,NA,NA,NA,NA,CB
Aster sinianus,岳麓紫菀,7,9,7,9,CB
Aster smithianus,甘川紫菀,8,10,9,10,CB
Aster trinervius,三基脉紫菀,7,12,7,12,CB
Asteropyrum peltatum,星果草,5,6,6,7,CB
Astilbe chinensis,落新妇,6,9,6,9,CB
Astilbe grandis,大落新妇,6,9,6,9,CB
