sentific name,chinese name,first flowerin month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,NA,Aceraceae,WD
Acer gracilifolium,³¤Ò¶·ã,3,4,9,10,NA,Aceraceae,WD
Acer griseum,ÑªÆ¤éÊ,4,4,7,7,Acer,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,6,6,Acer,Aceraceae,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,NA,Aceraceae,WD
Acer linganense,ÁÙ°²éÊ,4,5,9,9,Acer,Aceraceae,WD
Acer mandshuricum,¶«±±éÊ,6,6,9,9,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,NA,Aceraceae,WD
Acer miaotaiense,ÃíÌ¨éÊ,NA,NA,6,7,NA,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,9,7,9,Acer,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,6,7,NA,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,5,5,9,9,NA,Aceraceae,WD
Acer paxii,½ğÉ³éÊ,3,3,8,9,Acer,Aceraceae,WD
Acer pictum subsp. macropterum,´ó³áÉ«Ä¾éÊ,4.5,4.25,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pilosum,ÊèÃ«éÊ,4,5,7,8,Acer,Aceraceae,WD
Acer pilosum var. stenolobum,Ï¸ÁÑéÊ,4,4,9,9,NA,Aceraceae,WD
Acer robustum,è¾Ò¶éÊ,4,5,7,7,NA,Aceraceae,WD
Acer shenkanense,ÉÂ¸ÊéÊ,4,5,7,9,NA,Aceraceae,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. betulifolium,ËÄÈï·ã,4,5,9,9,NA,Aceraceae,NA
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer sterculiaceum subsp. franchetii,·¿ÏØéÊ,5,5,9,9,NA,Aceraceae,WD
Acer tataricum,,5,6,9,9,Acer,Aceraceae,NA
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tsinglingense,ÇØÁë·ã,4,4,7,7,NA,Aceraceae,WD
Acer ukurundense,»¨¿¬éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer ukurunduense,»¨¿¬·ã,NA,NA,NA,NA,NA,Aceraceae,NA
Acer yui,´¨¸ÊéÊ,NA,NA,7,7,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,7,8,9,10,NA,Asteraceae,CB
Achillea wilsoniana,ÔÆÄÏİé,7,9,10,10,Achillea,Asteraceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,5,7,5,7,NA,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum duthiei,²ØÜ¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum henryi,ºş±±Ü¸Ü¸²İ,4,6,NA,NA,NA,Poaceae,CB
Achnatherum inaequiglume,ÒìÓ±Ü¸Ü¸²İ,6,8,6,8,Achnatherum,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum psilantherum,¹âÒ©Ü¸Ü¸²İ,6,9,6,9,Achnatherum,Poaceae,CB
Achnatherum saposhnikovii,¶Û»ù²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,9,11,9,11,NA,Amaranthaceae,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Aconitum abietetorum,ÀäÉ¼ÁÖÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum brunneum,ºÖ×ÏÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum campylorrhynchum,Íäà¹ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,10,10,NA,Ranunculaceae,CB
Aconitum carmichaelii var. pubescens,Ã«Ò¶ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum carmichaelii var. truppelianum,Õ¹Ã«ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum chilienshanicum,ÆîÁ¬É½ÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum gymnandrum,Â¶ÈïÎÚÍ·,7,7,8,9,Aconitum,Ranunculaceae,CB
Aconitum hemsleyanum,¹ÏÒ¶ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum kirinense var. australe,Ã«¹û¼ªÁÖÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum leucostomum,°×ºíÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum pendulum,Ìú°ô´¸,7,9,NA,NA,NA,Ranunculaceae,CB
Aconitum scaposum,»¨İãÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sczukinii,¿íÒ¶ÂûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum sinomontanum,¸ßÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sinomontanum var. pilocarpum,Ã«¹û¸ßÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum tanguticum,¸ÊÇàÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum volubile,ÂûÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,7,NA,NA,Acorus,Araceae,CB
Acorus gramineus,½ğÇ®ÆÑ,2,7,7,8,NA,Araceae,CB
Acroglochin persicarioides,Ç§ÕëÜÈ,7,9,8,10,NA,Chenopodiaceae,CB
Acronema chienii,ÌõÒ¶Ë¿°êÇÛ,6,7,8,9,Acronema,Apiaceae,CB
Acronema chienii var. dissectum,Ï¸ÁÑË¿°êÇÛ,NA,NA,NA,NA,NA,Apiaceae,CB
Acronema chinense,¼â°êÇÛ,7,7,8,9,Acronema,Apiaceae,CB
Acronema chinense var. humile,°«¼â°êÇÛ,NA,NA,9,9,NA,Apiaceae,CB
Acronema tenerum,Ë¿°êÇÛ,8,8,NA,NA,Acronema,Apiaceae,CB
Acroptilon repens,ÏîÓğ¾Õ,5,9,5,9,NA,Asteraceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,9,Actaea,Ranunculaceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,6,7,9,9,NA,Actinidiaceae,WD
Actinidia arguta var. giraldii,ÉÂÎ÷â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,5,6,9,10,NA,Actinidiaceae,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia chinensis,,6,7,8,9,NA,Actinidiaceae,NA
Actinidia chinensis var. deliciosa,ÃÀÎ¶â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia chinensis var. setosa,´ÌÃ«â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,6,7,9,10,Actinidia,Actinidiaceae,WD
Actinidia melanandra,ºÚÈïâ¨ºïÌÒ,6,7,9,10,NA,Actinidiaceae,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,6,6,9,10,NA,Actinidiaceae,WD
Actinidia tetramera,ËÄİàâ¨ºïÌÒ,6,6,8,8,NA,Actinidiaceae,WD
Actinocarya tibetica,Ãª´Ì¹û,7,8,7,8,Actinocarya,Boraginaceae,CB
Adelostemma gracillimum,ÈéÍ»¹û,9,11,12,2,NA,Asclepiadaceae,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Adenocaulon,Asteraceae,CB
Adenophora capillaris,Ë¿ÁÑÉ³²Î,7,8,NA,NA,NA,Campanulaceae,CB
Adenophora capillaris subsp. paniculata,Ï¸Ò¶É³²Î,6,9,8,10,NA,Campanulaceae,NA
Adenophora himalayana,Ï²ÂíÀ­ÑÅÉ³²Î,7,9,8,9,Adenophora,Campanulaceae,CB
Adenophora himalayana subsp. alpina,¸ßÉ½É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora liliifolia,ĞÂ½®É³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora liliifolioides,´¨²ØÉ³²Î,7,9,9,10,NA,Campanulaceae,CB
Adenophora ningxianica,ÄşÏÄÉ³²Î,7,8,9,9,Adenophora,Campanulaceae,CB
Adenophora petiolata,ÇØÁëÉ³²Î,8,9,9,10,Adenophora,Campanulaceae,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora polyantha,¹âİàÉ³²Î,8,9,10,10,Adenophora,Campanulaceae,CB
Adenophora polyantha subsp. scabricalyx,Ê¯É³²Î,8,10,8,10,NA,Campanulaceae,CB
Adenophora potaninii,ÅİÉ³²Î,8,9,10,10,Adenophora,Campanulaceae,CB
Adenophora potaninii subsp. wawreana,¶àÆçÉ³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora rupincola,¶àÃ«É³²Î,8,9,9,10,Adenophora,Campanulaceae,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,8,9,8,9,Adenophora,Campanulaceae,CB
Adenophora stenanthina subsp. sylvatica,ÁÖÉ³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora stricta,´¨Î÷É³²Î,8,9,9,10,Adenophora,Campanulaceae,CB
Adenophora stricta subsp. sessilifolia,ÎŞ±úÉ³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora wilsonii,¾ÛÒ¶É³²Î,8,9,10,10,Adenophora,Campanulaceae,NA
Adonis amurensis,²à½ğÕµ»¨,3,4,NA,NA,NA,Ranunculaceae,CB
Adonis bobroviana,¸ÊÇà²à½ğÕµ»¨,4,7,NA,NA,Adonis,Ranunculaceae,CB
Adonis coerulea,À¶²à½ğÕµ»¨,4,7,NA,NA,Adonis,Ranunculaceae,CB
Adonis davidii,¶ÌÖù²à½ğÕµ»¨,4.5,4.15,4.25,6,Adonis,Ranunculaceae,CB
Adonis sibirica,±±²à½ğÕµ»¨,6,6,NA,NA,NA,Ranunculaceae,CB
Adonis sutchuenensis,Êñ²à½ğÕµ»¨,4,6,NA,NA,Adonis,Ranunculaceae,CB
Adoxa moschatellina,Îå¸£»¨,6,8,8,10,Adoxa,Adoxaceae,CB
Aegopodium alpestre,¶«±±Ñò½ÇÇÛ,6,8,6,8,NA,Apiaceae,CB
Aeluropus pungens,Ğ¡â¯Ã«,5,8,5,8,NA,Poaceae,CB
Aeluropus sinensis,â¯Ã«,6,8,6,8,NA,Poaceae,CB
Aesculus chinensis,,4,6,9,10,NA,Hippocastanaceae,NA
Aesculus chinensis var. wilsonii,ÌìÊ¦Àõ,4,5,9,10,NA,Hippocastanaceae,WD
Agastache rugosa,Ş½Ïã,6,9,9,10,NA,Lamiaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,7,8,9,Agrimonia,Rosaceae,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,NA,Rosaceae,CB
Agriophyllum lateriflorum,²à»¨É³Åî,7,9,7,9,Agriophyllum,Chenopodiaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agropyron desertorum,É³Éú±ù²İ,6,8,6,8,NA,Poaceae,CB
Agropyron desertorum var. pilosiusculum,Ã«É³Éú±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron michnoi,¸ù¾¥±ù²İ,7,9,7,9,NA,Poaceae,CB
Agropyron mongolicum,É³Â«²İ,7,9,7,9,NA,Poaceae,CB
Agrostis capillaris,Ï¸Èõ¼ô¹ÉÓ±,8,8,NA,NA,NA,Poaceae,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis hookeriana,Êè»¨¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Agrostis hugoniana,¸ÊËà¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Agrostis micrantha,¶à»¨¼ô¹ÉÓ±,8,8,8,8,Agrostis,Poaceae,CB
Agrostis pilosula,ÈáÃ«¼ô¹ÉÓ±,8,8,NA,NA,Agrostis,Poaceae,CB
Agrostis sinorupestris,ÑÒÉú¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis sozanensis,Ì¨Íå¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,6,11,6,11,Agrostis,Poaceae,CB
Agrostis vinealis,Ã¢¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Ailanthus altissima,³ô´»,5,6,9,10,Ailanthus,Simaroubaceae,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,NA,Simaroubaceae,WD
Ailanthus giraldii,Ã«³ô´»,4,5,9,10,NA,Simaroubaceae,WD
Ailanthus vilmoriniana,´Ì³ô´»,NA,NA,NA,NA,NA,Simaroubaceae,WD
Ainsliaea angustata,Âí±ßÍÃ¶ù·ç,3,5,5,5,Ainsliaea,Asteraceae,CB
Ainsliaea glabra,¹âÒ¶ÍÃ¶ù·ç,7,9,NA,NA,Ainsliaea,Asteraceae,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,7,9,NA,NA,NA,Asteraceae,CB
Ainsliaea latifolia,¿íÒ¶ÍÃ¶ù·ç,4,10,NA,NA,Ainsliaea,Asteraceae,CB
Ainsliaea rubrifolia,ºì±³ÍÃ¶ù·ç,7,7,8,8,Ainsliaea,Asteraceae,CB
Ajania achilloides,İé×´ÑÇ¾Õ,8,8,NA,NA,Ajania,Asteraceae,WD
Ajania fastigiata,ĞÂ½®ÑÇ¾Õ,8,10,8,10,Ajania,Asteraceae,CB
Ajania fruticulosa,¹àÄ¾ÑÇ¾Õ,6,10,6,10,Ajania,Asteraceae,WD
Ajania hypoleuca,ÏÂ°×ÑÇ¾Õ,7,7,7,7,NA,Asteraceae,WD
Ajania myriantha,¶à»¨ÑÇ¾Õ,7,10,7,10,Ajania,Asteraceae,CB
Ajania nematoloba,Ë¿ÁÑÑÇ¾Õ,9,10,9,10,Ajania,Asteraceae,WD
Ajania pallasiana,ÑÇ¾Õ,9,9,10,10,Ajania,Asteraceae,CB
Ajania parviflora,ÊøÉ¡ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,WD
Ajania potaninii,´¨¸ÊÑÇ¾Õ,9,10,10,11,Ajania,Asteraceae,WD
Ajania przewalskii,Ï¸ÁÑÑÇ¾Õ,7,9,7,9,NA,Asteraceae,CB
Ajania remotipinna,Êè³İÑÇ¾Õ,8,10,8,10,Ajania,Asteraceae,CB
Ajania salicifolia,ÁøÒ¶ÑÇ¾Õ,9,9,10,10,Ajania,Asteraceae,WD
Ajania scharnhorstii,µ¥Í·ÑÇ¾Õ,7,8,7,8,NA,Asteraceae,WD
Ajania tenuifolia,Ï¸Ò¶ÑÇ¾Õ,6,10,6,10,Ajania,Asteraceae,CB
Ajuga campylanthoides,¿µ¶¨½î¹Ç²İ,7,9,NA,NA,Ajuga,Lamiaceae,CB
Ajuga campylanthoides var. subacaulis,¿µ¶¨½î¹Ç²İ¶Ì¾¥±äÖÖ,NA,NA,NA,NA,NA,Lamiaceae,CB
Ajuga ciliata,½î¹Ç²İ,4,8,7,9,Ajuga,Lamiaceae,CB
Ajuga ciliata var. chanetii,½î¹Ç²İÉÂ¸Ê±äÖÖ,NA,NA,NA,NA,NA,Lamiaceae,CB
Ajuga ciliata var. glabrescens,½î¹Ç²İÎ¢Ã«±äÖÖ,NA,NA,NA,NA,NA,Lamiaceae,CB
Ajuga ciliata var. hirta,½î¹Ç²İ³¤Ã«±äÖÖ,NA,NA,NA,NA,NA,Lamiaceae,CB
Ajuga decumbens,½ğ´¯Ğ¡²İ,3,7,5,11,NA,Lamiaceae,CB
Ajuga lupulina,°×°ú½î¹Ç²İ,7,9,8,10,Ajuga,Lamiaceae,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,12,´ÎÄê3,1,5,Ajuga,Lamiaceae,CB
Ajuga ovalifolia,Ô²Ò¶½î¹Ç²İ,6,8,8,8,Ajuga,Lamiaceae,CB
Ajuga ovalifolia var. calantha,Ô²Ò¶½î¹Ç²İÃÀ»¨±äÖÖ,NA,NA,NA,NA,NA,Lamiaceae,CB
Akebia quinata,Ä¾Í¨,4,5,6,8,Akebia,Lardizabalaceae,WD
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,5,5,8,9,NA,Lardizabalaceae,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,NA,Lardizabalaceae,WD
Akebia trifoliata subsp. longisepala,³¤İàÈıÒ¶Ä¾Í¨,4,4,NA,NA,NA,Lardizabalaceae,WD
Alangium chinense,°Ë½Ç·ã,5,7,8,8,NA,Alangiaceae,WD
Alangium chinense subsp. pauciflorum,Ï¡»¨°Ë½Ç·ã,NA,NA,NA,NA,NA,Alangiaceae,WD
Alangium chinense subsp. triangulare,ÉîÁÑ°Ë½Ç·ã,NA,NA,NA,NA,NA,Alangiaceae,WD
Alangium platanifolium,,5,7,7,9,NA,Alangiaceae,NA
Alcea rosea,Êñ¿û,5,9,5,9,NA,Malvaceae,CB
Alchemilla gracilis,ÏËÏ¸ÓğÒÂ²İ,NA,NA,NA,NA,NA,Rosaceae,CB
Alchemilla japonica,ÓğÒÂ²İ,7,8,9,9,NA,Rosaceae,CB
Alchornea davidii,É½Âé¸Ë,4,5,6,8,NA,Euphorbiaceae,WD
Aletris alpestris,¸ßÉ½·ÛÌõ¶ù²Ë,7,7,8,9,Aletris,Liliaceae,CB
Aletris glabra,ÎŞÃ«·ÛÌõ¶ù²Ë,6,8,8,11,Aletris,Liliaceae,CB
Aletris glandulifera,ÏÙÃ«·ÛÌõ¶ù²Ë,7,9,7,9,Aletris,Liliaceae,CB
Aletris spicata,·ÛÌõ¶ù²Ë,5,5,5,8,Aletris,Liliaceae,CB
Aletris stenoloba,ÏÁ°ê·ÛÌõ¶ù²Ë,5,7,5,7,Aletris,Liliaceae,CB
Alhagi sparsifolia,ÂæÍÕ´Ì,6,7,7,8,NA,Fabaceae,NA
Alisma gramineum,²İÔóĞº,6,9,6,9,NA,Alismataceae,CB
Alisma orientale,¶«·½ÔóĞº,5,9,5,9,NA,Alismataceae,CB
Alisma plantago-aquatica,ÔóĞº,5,10,5,10,NA,Alismataceae,CB
Allium anisopodium,°«¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium anisopodium var. zimmermannianum,²Úİã¾Â,6,9,6,9,NA,Liliaceae,CB
Allium atrosanguineum,À¶°ú´Ğ,6,9,6,9,NA,Liliaceae,CB
Allium chinense,ËŠÍ·,10,11,10,11,NA,Liliaceae,CB
Allium chrysanthum,Ò°´Ğ,7,9,7,9,Allium,Liliaceae,CB
Allium chrysocephalum,ÕÛ±»¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium cyaneum,ÌìÀ¶¾Â,6,7,8,10,Allium,Liliaceae,CB
Allium cyathophorum,±­»¨¾Â,6,8,6,8,Allium,Liliaceae,CB
Allium cyathophorum var. farreri,´¨¸Ê¾Â,NA,NA,NA,NA,NA,Liliaceae,CB
Allium dentigerum,¶Ì³İ¾Â,8,8,NA,NA,Allium,Liliaceae,CB
Allium eduardii,ºØÀ¼¾Â,8,8,NA,NA,NA,Liliaceae,CB
Allium herderianum,½ğÍ·¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium leucocephalum,°×Í·¾Â,7,8,7,8,NA,Liliaceae,CB
Allium lineare,±±¾Â,6,6,NA,NA,NA,Liliaceae,CB
Allium listera,¶ÔÒ¶É½´Ğ,6,8,6,8,NA,Liliaceae,CB
Allium mongolicum,ÃÉ¹Å¾Â,7,9,7,9,NA,Liliaceae,CB
Allium oreoprasum,Ì²µØ¾Â,6,8,6,8,NA,Liliaceae,CB
Allium ovalifolium,ÂÑÒ¶É½´Ğ,7,9,7,9,Allium,Liliaceae,CB
Allium ovalifolium var. leuconeurum,°×ÂöÉ½´Ğ,NA,NA,NA,NA,NA,Liliaceae,CB
Allium paepalanthoides,ÌìËâ,8,9,8,9,Allium,Liliaceae,CB
Allium platyspathum,¿í°ú¾Â,6,8,6,8,NA,Liliaceae,CB
Allium plurifoliatum,¶àÒ¶¾Â,7,8,7,10,Allium,Liliaceae,CB
Allium polyrhizum,¼î¾Â,6,8,6,8,NA,Liliaceae,CB
Allium prattii,Ì«°×É½´Ğ,7,8,6.25,9,Allium,Liliaceae,CB
Allium przewalskianum,Çà¸Ê¾Â,6,9,6,9,NA,Liliaceae,CB
Allium ramosum,Ò°¾Â,6,9,6,9,NA,Liliaceae,CB
Allium rude,Ò°»Æ¾Â,7.25,9,7.25,9,Allium,Liliaceae,CB
Allium sikkimense,¸ßÉ½¾Â,8,9,8,9,Allium,Liliaceae,CB
Allium strictum,»Ô¾Â,6,6,NA,NA,NA,Liliaceae,CB
Allium subangulatum,×Ï»¨¾Â,6,8,6,8,NA,Liliaceae,CB
Allium tanguticum,ÌÆ¹ÅŞ¯,7,9.1,7,9.1,Allium,Liliaceae,CB
Allium tenuissimum,Ï¸Ò¶¾Â,8,8,7,9,Allium,Liliaceae,CB
Allium thunbergii,ÇòĞò¾Â,8.25,10,8.25,10,Allium,Liliaceae,CB
Allium tuberosum,¾Â,8,9,8,9,NA,Liliaceae,CB
Allium tubiflorum,ºÏ±»¾Â,8,8,7,10,NA,Liliaceae,CB
Allium victorialis,ÆŒ´Ğ,7,7,9,9,Allium,Liliaceae,CB
Allium yanchiense,°×»¨Ş¯,8,9,8,9,Allium,Liliaceae,CB
Allium yongdengense,ÓÀµÇ¾Â,8,9,8,9,NA,Liliaceae,CB
Alnus cremastogyne,èçÄ¾,4,5,8,9,NA,Betulaceae,WD
Alopecurus arundinaceus,Î­×´¿´ÂóÄï,7,9,7,9,Alopecurus,Poaceae,CB
Alyssum canescens,»ÒÃ«Í¥Üù,7,10,7,10,NA,Brassicaceae,CB
Alyssum lenense,±±·½Í¥Üù,5,6,7,8,Alyssum,Brassicaceae,CB
Amelanchier asiatica,¶«ÑÇÌÆé¦,4,5,8,9,Amelanchier,Rosaceae,WD
Amelanchier sinica,ÌÆé¦,4,5,8,9,NA,Rosaceae,WD
Amethystea caerulea,Ë®¼¬Õë,7,8,9,10,Amethystea,Lamiaceae,CB
Amitostigma bifoliatum,°ô¾àÎŞÖùÀ¼,9,9,NA,NA,Amitostigma,Orchidaceae,CB
Amitostigma monanthum,Ò»»¨ÎŞÖùÀ¼,7,7,NA,NA,Amitostigma,Orchidaceae,CB
Amitostigma monanthum var. forrestii,²Ú¾¥ÎŞÖùÀ¼,7,8,NA,NA,NA,Orchidaceae,CB
Ammannia auriculata,¶ú»ùË®ÜÈ,8,9,8,12,Ammannia,Lythraceae,CB
Ammopiptanthus mongolicus,É³¶¬Çà,4,6,5,8,NA,Fabaceae,WD
Amorphophallus konjac,Ä¥Óó,6,8,NA,NA,Amorphophallus,Araceae,CB
Ampelopsis aconitifolia,ÎÚÍ·Ò¶ÉßÆÏÌÑ,6,7,7,8,Ampelopsis,Vitaceae,WD
